OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date,POSTCODE
"663457",place-bomnl,,Bowdoin,,,,42.361365,-71.062037,,"Cambridge St and New Chardon St, Boston, MA 02114",https://www.mbta.com/stops/place-bomnl,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02114"
"663464",place-boyls,,Boylston,,,,42.35302,-71.06459,,"Boylston St and Tremont St, Boston, MA",https://www.mbta.com/stops/place-boyls,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02116"
"663469",place-brdwy,,Broadway,,,,42.342622,-71.056967,,"Dorchester Ave and Broadway, Boston, MA",https://www.mbta.com/stops/place-brdwy,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02127"
"663474",place-brico,,Packard's Corner,,,,42.351967,-71.125031,,"Commonwealth Ave and Brighton Ave, Boston, MA 02215",https://www.mbta.com/stops/place-brico,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02134"
"663477",place-brkhl,,Brookline Hills,,,,42.331316,-71.126683,,"Tappan St and Cypress St, Brookline, MA 02445",https://www.mbta.com/stops/place-brkhl,,"1",,"1",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02445"
"663482",place-brmnl,,Brigham Circle,,,,42.334229,-71.104609,,"Huntington Ave and Francis St, Boston, MA",https://www.mbta.com/stops/place-brmnl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02115"
"663485",place-brntn,,Braintree,,,,42.207854,-71.001138,CR-zone-2,"197 Ivory St, Braintree, MA 02184",https://www.mbta.com/stops/place-brntn,,"1",,"1",Braintree,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02184"
"663495",place-bucen,,Boston University Central,,,,42.350082,-71.106865,,"Commonwealth Ave and Marsh Chapel, Boston, MA 02215",https://www.mbta.com/stops/place-bucen,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02215"
"663498",place-buest,,Boston University East,,,,42.349735,-71.103889,,"Commonwealth Ave and Granby St, Boston, MA 02215",https://www.mbta.com/stops/place-buest,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02215"
"663501",place-butlr,,Butler,,,,42.272429,-71.062519,,"Butler St and Branchfield St, Dorchester, MA 02124",https://www.mbta.com/stops/place-butlr,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02124"
"663506",place-bvmnl,,Brookline Village,,,,42.332608,-71.116857,,"31 Station St, Brookline, MA 02445",https://www.mbta.com/stops/place-bvmnl,,"1",,"1",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02445"
"663513",place-capst,,Capen Street,,,,42.267563,-71.087338,,"50 Capen St, Milton, MA 02186",https://www.mbta.com/stops/place-capst,,"1",,"1",Milton,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02186"
"663518",place-ccmnl,,Community College,,,,42.373622,-71.069533,,"Austin St and Rutherford Ave, Charlestown, MA",https://www.mbta.com/stops/place-ccmnl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02129"
"663522",place-cedgr,,Cedar Grove,,,,42.279629,-71.060394,,"Fellsway St and Milton St, Dorchester, MA 02124",https://www.mbta.com/stops/place-cedgr,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02124"
"663527",place-cenav,,Central Avenue,,,,42.270027,-71.073444,,"23 Central Ave, Milton, MA 02186",https://www.mbta.com/stops/place-cenav,,"1",,"1",Milton,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02186"
"663544",place-chhil,,Chestnut Hill,,,,42.326753,-71.164699,,"Hammond St and Chestnut Hill Rd, Newton, MA 02467",https://www.mbta.com/stops/place-chhil,,"1",,"2",Newton,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02467"
"663551",place-chill,,Chestnut Hill Avenue,,,,42.338169,-71.15316,,"Commonwealth Ave and Chestnut Hill Ave, Boston, MA",https://www.mbta.com/stops/place-chill,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02135"
"663554",place-chmnl,,Charles/MGH,,,,42.361166,-71.070628,,"Cambridge St and Charles St, Boston, MA",https://www.mbta.com/stops/place-chmnl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02114"
"663558",place-chncl,,Chinatown,,,,42.352547,-71.062752,,"Washington St and Boylston St, Boston, MA",https://www.mbta.com/stops/place-chncl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02111"
"663565",place-chswk,,Chiswick Road,,,,42.340805,-71.150711,,"Commonwealth Ave and Chiswick Rd, Boston, MA",https://www.mbta.com/stops/place-chswk,,"1",,"2",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02135"
"663568",place-clmnl,,Cleveland Circle,,,,42.336142,-71.149326,,"Beacon St and Chestnut Hill Ave, Brighton, MA",https://www.mbta.com/stops/place-clmnl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02135"
"663571",place-cntsq,,Central,,,,42.365486,-71.103802,,"Massachusetts Ave and Prospect St, Cambridge, MA 02139",https://www.mbta.com/stops/place-cntsq,,"1",,"1",Cambridge,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02139"
"663580",place-coecl,,Copley,,,,42.349974,-71.077447,,"Boylston St and Dartmouth St, Boston, MA",https://www.mbta.com/stops/place-coecl,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02116"
"663586",place-conrd,,Silver Line Way,,,,42.347154,-71.038385,,,https://www.mbta.com/stops/place-conrd,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02210"
"663589",place-cool,,Coolidge Corner,,,,42.342116,-71.121263,,"Beacon St and Harvard St, Brookline, MA",https://www.mbta.com/stops/place-cool,,"1",,"1",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02446"
"663597",place-davis,,Davis,,,,42.39674,-71.121815,,"College Ave and Elm St, Somerville, MA",https://www.mbta.com/stops/place-davis,,"1",,"1",Somerville,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02144"
"663603",place-denrd,,Dean Road,,,,42.337807,-71.141853,,"Beacon St and Dean Rd, Brookline, MA",https://www.mbta.com/stops/place-denrd,,"1",,"2",Brookline,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02445"
"663606",place-dwnxg,,Downtown Crossing,,,,42.355518,-71.060225,,"Washington St and Summer St, Boston, MA",https://www.mbta.com/stops/place-dwnxg,,"1",,"1",Boston,,,,,,,,,,,,DOT_ADMIN,12/11/23 19:40:12 (UTC),DOT_ADMIN,12/11/23 19:40:12 (UTC),"02110"
