Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van: - Drove alone","Margin of Error - Car, truck, or van: - Drove alone","Estimate - Car, truck, or van: - Carpooled:","Margin of Error - Car, truck, or van: - Carpooled:","Estimate - Car, truck, or van: - In 2-person carpool","Margin of Error - Car, truck, or van: - In 2-person carpool","Estimate - Car, truck, or van: - In 3-person carpool","Margin of Error - Car, truck, or van: - In 3-person carpool","Estimate - Car, truck, or van: - In 4-person carpool","Margin of Error - Car, truck, or van: - In 4-person carpool","Estimate - Car, truck, or van: - In 5- or 6-person carpool","Margin of Error - Car, truck, or van: - In 5- or 6-person carpool","Estimate - Car, truck, or van: - In 7-or-more-person carpool","Margin of Error - Car, truck, or van: - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab): - Bus,Margin of Error - Public transportation (excluding taxicab): - Bus,Estimate - Public transportation (excluding taxicab): - Subway or elevated rail,Margin of Error - Public transportation (excluding taxicab): - Subway or elevated rail,Estimate - Public transportation (excluding taxicab): - Long-distance train or commuter rail,Margin of Error - Public transportation (excluding taxicab): - Long-distance train or commuter rail,"Estimate - Public transportation (excluding taxicab): - Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error - Public transportation (excluding taxicab): - Light rail, streetcar or trolley (carro público in Puerto Rico)",Estimate - Public transportation (excluding taxicab): - Ferryboat,Margin of Error - Public transportation (excluding taxicab): - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked from home,Margin of Error - Worked from home,Block Group,Census Tract,County,State
1500000US250250001011,533,167,263,117,250,116,13,15,13,15,0,13,0,13,0,13,0,13,172,96,123,82,49,34,0,13,0,13,0,13,5,8,0,13,26,33,40,49,0,13,27,29,1,1.01,Suffolk County,Massachusetts
1500000US250250001012,554,150,337,150,228,97,109,69,109,69,0,13,0,13,0,13,0,13,47,35,47,35,0,13,0,13,0,13,0,13,0,13,0,13,69,50,75,44,0,13,26,31,2,1.01,Suffolk County,Massachusetts
1500000US250250001021,944,321,581,250,513,220,68,79,68,79,0,13,0,13,0,13,0,13,273,162,170,129,44,65,59,64,0,13,0,13,16,22,0,13,23,30,9,13,0,13,42,52,1,1.02,Suffolk County,Massachusetts
1500000US250250001022,1845,760,1083,718,997,710,86,49,86,49,0,13,0,13,0,13,0,13,445,289,198,143,113,118,134,218,0,13,0,13,0,13,0,13,28,40,75,67,0,13,214,145,2,1.02,Suffolk County,Massachusetts
1500000US250250002011,894,228,628,202,500,153,128,85,128,85,0,13,0,13,0,13,0,13,188,102,120,94,48,31,0,13,20,16,0,13,0,13,0,13,20,21,6,9,0,13,52,44,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,583,287,421,262,401,259,20,23,20,23,0,13,0,13,0,13,0,13,87,52,79,51,5,10,0,13,3,6,0,13,0,13,0,13,0,13,5,9,0,13,70,61,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,741,198,453,144,416,134,37,33,37,33,0,13,0,13,0,13,0,13,194,116,188,116,6,9,0,13,0,13,0,13,0,13,0,13,0,13,0,13,40,53,54,53,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,739,226,404,139,274,102,130,85,112,82,18,28,0,13,0,13,0,13,195,133,188,132,0,13,0,13,7,12,0,13,0,13,0,13,10,15,65,62,0,13,65,65,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,437,103,242,92,219,89,23,27,9,16,14,20,0,13,0,13,0,13,130,94,130,94,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,25,0,13,34,33,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,467,168,320,120,301,120,19,29,19,29,0,13,0,13,0,13,0,13,49,50,49,50,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,98,114,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,1479,289,901,234,799,192,102,78,74,78,12,22,0,13,0,13,16,27,299,87,221,79,36,30,31,37,11,18,0,13,0,13,0,13,16,20,162,101,0,13,101,83,3,2.02,Suffolk County,Massachusetts
1500000US250250003011,422,187,205,100,174,95,31,28,0,13,19,30,0,13,0,13,12,18,61,48,61,48,0,13,0,13,0,13,0,13,0,13,0,13,11,18,48,68,0,13,97,117,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,497,197,334,161,321,158,13,27,13,27,0,13,0,13,0,13,0,13,47,56,34,56,0,13,13,28,0,13,0,13,0,13,0,13,0,13,17,19,0,13,99,63,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,603,192,282,109,259,93,23,38,23,38,0,13,0,13,0,13,0,13,204,117,167,100,14,22,23,24,0,13,0,13,0,13,0,13,0,13,44,69,8,12,65,48,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,500,170,161,91,156,91,5,8,5,8,0,13,0,13,0,13,0,13,208,117,193,117,0,13,7,11,8,13,0,13,0,13,0,13,25,17,4,7,0,13,102,90,4,3.01,Suffolk County,Massachusetts
