Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van","Margin of Error - Car, truck, or van","Estimate - Car, truck, or van - Drove alone","Margin of Error - Car, truck, or van - Drove alone","Estimate - Car, truck, or van - Carpooled","Margin of Error - Car, truck, or van - Carpooled","Estimate - Car, truck, or van - In 2-person carpool","Margin of Error - Car, truck, or van - In 2-person carpool","Estimate - Car, truck, or van - In 3-person carpool","Margin of Error - Car, truck, or van - In 3-person carpool","Estimate - Car, truck, or van - In 4-person carpool","Margin of Error - Car, truck, or van - In 4-person carpool","Estimate - Car, truck, or van - In 5- or 6-person carpool","Margin of Error - Car, truck, or van - In 5- or 6-person carpool","Estimate - Car, truck, or van - In 7-or-more-person carpool","Margin of Error - Car, truck, or van - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab),Margin of Error - Public transportation (excluding taxicab),Estimate - Public transportation (excluding taxicab) - Bus or trolley bus,Margin of Error - Public transportation (excluding taxicab) - Bus or trolley bus,Estimate - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Estimate - Public transportation (excluding taxicab) - Subway or elevated,Margin of Error - Public transportation (excluding taxicab) - Subway or elevated,Estimate - Public transportation (excluding taxicab) - Railroad,Margin of Error - Public transportation (excluding taxicab) - Railroad,Estimate - Public transportation (excluding taxicab) - Ferryboat,Margin of Error - Public transportation (excluding taxicab) - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked at home,Margin of Error - Worked at home,Block Group,Census Tract,County,State
1500000US250250001001,758,327,524,259,515,260,9,14,9,14,0,12,0,12,0,12,0,12,200,195,193,194,0,12,7,12,0,12,0,12,0,12,0,12,0,12,29,36,0,12,5,9,1,1,Suffolk County,Massachusetts
1500000US250250001002,534,196,232,124,203,90,29,46,29,46,0,12,0,12,0,12,0,12,120,91,54,47,0,12,57,57,9,15,0,12,0,12,8,12,19,24,138,129,0,12,17,19,2,1,Suffolk County,Massachusetts
1500000US250250001003,240,81,132,65,132,65,0,12,0,12,0,12,0,12,0,12,0,12,52,41,25,35,0,12,27,20,0,12,0,12,0,12,0,12,8,13,48,43,0,12,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,270,140,192,121,192,121,0,12,0,12,0,12,0,12,0,12,0,12,26,20,18,20,0,12,8,13,0,12,0,12,0,12,0,12,32,29,0,12,0,12,20,31,4,1,Suffolk County,Massachusetts
1500000US250250002011,451,133,351,116,285,108,66,50,55,43,0,12,0,12,11,18,0,12,61,37,39,35,0,12,22,25,0,12,0,12,0,12,0,12,0,12,8,13,0,12,31,24,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,322,150,225,121,225,121,0,12,0,12,0,12,0,12,0,12,0,12,57,67,57,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,28,0,12,13,16,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,969,237,559,178,559,178,0,12,0,12,0,12,0,12,0,12,0,12,306,132,202,91,64,84,40,45,0,12,0,12,0,12,0,12,16,19,80,63,8,13,0,12,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,404,112,285,107,243,99,42,46,28,38,14,21,0,12,0,12,0,12,69,43,61,40,8,12,0,12,0,12,0,12,0,12,0,12,9,13,8,13,0,12,33,32,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,706,202,492,179,464,174,28,36,28,36,0,12,0,12,0,12,0,12,76,50,49,37,0,12,27,36,0,12,0,12,0,12,0,12,27,33,66,62,0,12,45,32,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,501,196,285,135,285,135,0,12,0,12,0,12,0,12,0,12,0,12,177,108,165,111,0,12,12,16,0,12,0,12,0,12,0,12,0,12,39,40,0,12,0,12,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,373,187,327,160,290,162,37,39,37,39,0,12,0,12,0,12,0,12,28,36,8,13,20,32,0,12,0,12,0,12,0,12,0,12,0,12,9,21,0,12,9,15,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,211,99,94,55,76,52,18,20,0,12,8,13,10,16,0,12,0,12,30,35,19,31,11,18,0,12,0,12,0,12,0,12,0,12,0,12,75,51,0,12,12,20,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,351,187,195,85,184,86,11,16,0,12,11,16,0,12,0,12,0,12,29,24,17,15,12,20,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,119,145,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,393,112,272,91,207,68,65,69,34,38,21,31,0,12,0,12,10,17,88,68,88,68,0,12,0,12,0,12,0,12,0,12,0,12,15,23,0,12,0,12,18,26,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,372,155,248,109,248,109,0,12,0,12,0,12,0,12,0,12,0,12,26,23,26,23,0,12,0,12,0,12,0,12,0,12,0,12,43,54,39,63,0,12,16,25,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,305,123,233,97,215,98,18,27,0,12,18,27,0,12,0,12,0,12,71,54,71,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,2,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,617,173,439,144,414,137,25,23,14,19,11,16,0,12,0,12,0,12,145,67,145,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,29,0,12,0,12,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,1116,260,744,178,598,173,146,81,95,56,0,12,51,59,0,12,0,12,271,144,140,105,39,41,92,76,0,12,0,12,0,12,0,12,0,12,80,59,0,12,21,22,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,1055,279,386,171,358,162,28,44,28,44,0,12,0,12,0,12,0,12,503,231,128,76,60,46,315,170,0,12,0,12,0,12,0,12,50,41,85,78,0,12,31,49,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,446,169,206,114,195,110,11,17,0,12,0,12,0,12,0,12,11,17,137,76,65,38,42,40,30,33,0,12,0,12,0,12,0,12,68,80,24,26,0,12,11,19,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,589,174,320,129,253,114,67,70,67,70,0,12,0,12,0,12,0,12,153,89,120,75,0,12,33,28,0,12,0,12,0,12,0,12,0,12,102,85,0,12,14,23,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,535,177,255,127,242,125,13,20,13,20,0,12,0,12,0,12,0,12,105,57,34,33,0,12,71,55,0,12,0,12,22,18,0,12,13,21,53,55,0,12,87,75,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,597,144,370,133,340,131,30,32,30,32,0,12,0,12,0,12,0,12,173,84,33,34,35,29,105,60,0,12,0,12,0,12,0,12,0,12,44,32,0,12,10,15,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,421,176,202,148,202,148,0,12,0,12,0,12,0,12,0,12,0,12,96,63,60,49,8,13,22,29,6,11,0,12,0,12,0,12,31,50,77,46,0,12,15,19,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,737,200,454,176,402,176,52,44,52,44,0,12,0,12,0,12,0,12,218,136,205,138,6,12,7,12,0,12,0,12,0,12,0,12,10,17,6,12,0,12,49,47,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,461,148,109,64,96,53,13,38,0,12,13,38,0,12,0,12,0,12,260,107,76,54,30,29,154,74,0,12,0,12,0,12,0,12,0,12,26,25,34,53,32,29,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,324,100,151,63,79,43,72,53,44,46,16,18,0,12,0,12,12,19,82,48,33,32,23,25,26,29,0,12,0,12,0,12,0,12,8,12,40,39,0,12,43,51,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,687,135,188,68,173,68,15,23,15,23,0,12,0,12,0,12,0,12,328,113,24,22,101,67,198,94,5,8,0,12,0,12,0,12,6,10,77,59,12,15,76,67,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1172,299,111,84,77,67,34,50,11,21,23,46,0,12,0,12,0,12,176,108,61,64,34,50,81,61,0,12,0,12,0,12,0,12,0,12,769,229,0,12,116,88,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,500,184,189,82,184,82,5,9,5,9,0,12,0,12,0,12,0,12,275,127,105,87,79,61,91,66,0,12,0,12,0,12,0,12,0,12,17,24,0,12,19,20,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,776,154,250,84,218,85,32,38,32,38,0,12,0,12,0,12,0,12,437,120,30,29,94,57,313,117,0,12,0,12,0,12,0,12,0,12,41,35,0,12,48,56,2,5.03,Suffolk County,Massachusetts
1500000US250250005041,876,208,408,168,338,121,70,69,70,69,0,12,0,12,0,12,0,12,389,150,35,35,172,116,182,103,0,12,0,12,0,12,0,12,27,30,39,36,0,12,13,19,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,648,170,234,121,179,116,55,61,55,61,0,12,0,12,0,12,0,12,267,121,42,40,77,74,123,94,25,42,0,12,0,12,13,20,29,33,44,38,0,12,61,51,2,5.04,Suffolk County,Massachusetts
1500000US250250005043,620,186,239,120,210,109,29,36,29,36,0,12,0,12,0,12,0,12,344,144,14,22,12,20,318,141,0,12,0,12,0,12,0,12,11,20,0,12,0,12,26,29,3,5.04,Suffolk County,Massachusetts
1500000US250250005044,477,232,199,182,199,182,0,12,0,12,0,12,0,12,0,12,0,12,213,124,0,12,39,46,174,103,0,12,0,12,0,12,0,12,0,12,19,29,10,15,36,59,4,5.04,Suffolk County,Massachusetts
1500000US250250006011,231,119,95,79,88,78,7,13,7,13,0,12,0,12,0,12,0,12,75,63,20,22,0,12,55,52,0,12,0,12,0,12,0,12,0,12,23,39,0,12,38,53,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,625,185,330,101,308,97,22,25,22,25,0,12,0,12,0,12,0,12,186,104,104,65,0,12,82,64,0,12,0,12,34,43,0,12,0,12,17,20,0,12,58,44,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,344,124,149,63,113,55,36,27,29,25,7,11,0,12,0,12,0,12,167,93,102,77,20,31,45,45,0,12,0,12,0,12,0,12,7,16,0,12,0,12,21,24,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,437,140,296,105,237,94,59,40,43,37,0,12,6,11,10,15,0,12,101,50,62,41,0,12,39,30,0,12,0,12,0,12,0,12,11,18,29,26,0,12,0,12,4,6.01,Suffolk County,Massachusetts
1500000US250250006021,1003,226,547,157,433,122,114,77,70,59,0,12,14,23,0,12,30,47,333,91,96,57,38,29,199,85,0,12,0,12,0,12,0,12,8,14,74,48,0,12,41,44,1,6.02,Suffolk County,Massachusetts
1500000US250250006022,555,123,176,72,149,64,27,31,0,12,17,27,0,12,10,16,0,12,216,96,105,82,0,12,111,45,0,12,0,12,0,12,0,12,47,37,59,53,17,26,40,33,2,6.02,Suffolk County,Massachusetts
1500000US250250006023,217,88,94,63,84,55,10,16,10,16,0,12,0,12,0,12,0,12,99,57,35,31,0,12,64,46,0,12,0,12,0,12,0,12,0,12,24,24,0,12,0,12,3,6.02,Suffolk County,Massachusetts
