Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van: - Drove alone","Margin of Error - Car, truck, or van: - Drove alone","Estimate - Car, truck, or van: - Carpooled:","Margin of Error - Car, truck, or van: - Carpooled:","Estimate - Car, truck, or van: - In 2-person carpool","Margin of Error - Car, truck, or van: - In 2-person carpool","Estimate - Car, truck, or van: - In 3-person carpool","Margin of Error - Car, truck, or van: - In 3-person carpool","Estimate - Car, truck, or van: - In 4-person carpool","Margin of Error - Car, truck, or van: - In 4-person carpool","Estimate - Car, truck, or van: - In 5- or 6-person carpool","Margin of Error - Car, truck, or van: - In 5- or 6-person carpool","Estimate - Car, truck, or van: - In 7-or-more-person carpool","Margin of Error - Car, truck, or van: - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab): - Bus,Margin of Error - Public transportation (excluding taxicab): - Bus,Estimate - Public transportation (excluding taxicab): - Subway or elevated rail,Margin of Error - Public transportation (excluding taxicab): - Subway or elevated rail,Estimate - Public transportation (excluding taxicab): - Long-distance train or commuter rail,Margin of Error - Public transportation (excluding taxicab): - Long-distance train or commuter rail,"Estimate - Public transportation (excluding taxicab): - Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error - Public transportation (excluding taxicab): - Light rail, streetcar or trolley (carro público in Puerto Rico)",Estimate - Public transportation (excluding taxicab): - Ferryboat,Margin of Error - Public transportation (excluding taxicab): - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked from home,Margin of Error - Worked from home,Block Group,Census Tract,County,State
1500000US250251701003,572,259,418,202,272,149,146,117,146,117,0,12,0,12,0,12,0,12,106,87,73,86,33,37,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,40,64,3,1701,Suffolk County,Massachusetts
1500000US250251701004,500,202,397,205,347,197,50,63,50,63,0,12,0,12,0,12,0,12,72,42,72,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,25,0,12,15,24,4,1701,Suffolk County,Massachusetts
1500000US250251701005,502,221,259,133,259,133,0,12,0,12,0,12,0,12,0,12,0,12,114,82,40,57,37,41,0,12,37,55,0,12,0,12,0,12,38,52,91,100,0,12,0,12,5,1701,Suffolk County,Massachusetts
1500000US250251701006,366,186,305,189,181,113,124,129,107,104,0,12,0,12,17,28,0,12,61,64,0,12,61,64,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,1701,Suffolk County,Massachusetts
1500000US250251701007,552,266,457,241,414,233,43,49,43,49,0,12,0,12,0,12,0,12,49,47,13,23,36,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,55,7,1701,Suffolk County,Massachusetts
1500000US250251702001,299,102,233,86,200,79,33,22,24,21,9,13,0,12,0,12,0,12,31,29,17,26,14,15,0,12,0,12,0,12,0,12,0,12,0,12,28,28,0,12,7,11,1,1702,Suffolk County,Massachusetts
1500000US250251702002,630,206,438,126,348,103,90,47,58,36,0,12,32,38,0,12,0,12,192,175,156,177,36,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,1702,Suffolk County,Massachusetts
1500000US250251702003,545,223,495,209,446,215,49,58,28,45,0,12,21,35,0,12,0,12,22,24,9,15,13,19,0,12,0,12,0,12,0,12,0,12,28,44,0,12,0,12,0,12,3,1702,Suffolk County,Massachusetts
1500000US250251702004,609,174,521,171,434,139,87,67,81,67,6,8,0,12,0,12,0,12,81,51,27,27,29,22,25,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,4,1702,Suffolk County,Massachusetts
1500000US250251703001,1285,405,1128,410,922,371,206,126,206,126,0,12,0,12,0,12,0,12,157,101,79,66,78,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,1703,Suffolk County,Massachusetts
1500000US250251703002,802,273,603,242,565,240,38,49,38,49,0,12,0,12,0,12,0,12,174,116,84,71,90,88,0,12,0,12,0,12,0,12,0,12,0,12,25,40,0,12,0,12,2,1703,Suffolk County,Massachusetts
1500000US250251703003,121,87,111,84,95,75,16,27,0,12,16,27,0,12,0,12,0,12,10,16,0,12,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3,1703,Suffolk County,Massachusetts
1500000US250251703004,821,278,626,237,564,230,62,60,62,60,0,12,0,12,0,12,0,12,63,52,32,30,31,41,0,12,0,12,0,12,19,29,0,12,0,12,67,65,0,12,46,46,4,1703,Suffolk County,Massachusetts
1500000US250251703005,858,361,675,352,605,328,70,73,70,73,0,12,0,12,0,12,0,12,109,87,12,21,97,83,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,74,59,5,1703,Suffolk County,Massachusetts
1500000US250251703006,823,288,643,230,554,209,89,83,44,62,0,12,0,12,0,12,45,64,180,119,42,43,138,121,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,1703,Suffolk County,Massachusetts
1500000US250251703007,292,148,219,137,144,84,75,86,44,70,31,50,0,12,0,12,0,12,58,50,0,12,58,50,0,12,0,12,0,12,0,12,0,12,0,12,15,23,0,12,0,12,7,1703,Suffolk County,Massachusetts
1500000US250251704001,284,193,196,127,196,127,0,12,0,12,0,12,0,12,0,12,0,12,19,30,0,12,19,30,0,12,0,12,0,12,0,12,0,12,0,12,45,70,0,12,24,38,1,1704,Suffolk County,Massachusetts
