Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van","Margin of Error - Car, truck, or van","Estimate - Car, truck, or van - Drove alone","Margin of Error - Car, truck, or van - Drove alone","Estimate - Car, truck, or van - Carpooled","Margin of Error - Car, truck, or van - Carpooled","Estimate - Car, truck, or van - In 2-person carpool","Margin of Error - Car, truck, or van - In 2-person carpool","Estimate - Car, truck, or van - In 3-person carpool","Margin of Error - Car, truck, or van - In 3-person carpool","Estimate - Car, truck, or van - In 4-person carpool","Margin of Error - Car, truck, or van - In 4-person carpool","Estimate - Car, truck, or van - In 5- or 6-person carpool","Margin of Error - Car, truck, or van - In 5- or 6-person carpool","Estimate - Car, truck, or van - In 7-or-more-person carpool","Margin of Error - Car, truck, or van - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab),Margin of Error - Public transportation (excluding taxicab),Estimate - Public transportation (excluding taxicab) - Bus or trolley bus,Margin of Error - Public transportation (excluding taxicab) - Bus or trolley bus,Estimate - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Estimate - Public transportation (excluding taxicab) - Subway or elevated,Margin of Error - Public transportation (excluding taxicab) - Subway or elevated,Estimate - Public transportation (excluding taxicab) - Railroad,Margin of Error - Public transportation (excluding taxicab) - Railroad,Estimate - Public transportation (excluding taxicab) - Ferryboat,Margin of Error - Public transportation (excluding taxicab) - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked at home,Margin of Error - Worked at home,Block Group,Census Tract,County,State
1500000US250250001001,843,224,706,233,699,231,7,11,0,12,0,12,0,12,0,12,7,11,132,61,125,62,0,12,7,13,0,12,0,12,0,12,0,12,4,6,1,4,0,12,0,12,1,1,Suffolk County,Massachusetts
1500000US250250001002,725,240,291,118,239,90,52,62,0,12,0,12,24,47,19,30,9,16,285,172,135,76,0,12,140,109,10,16,0,12,0,12,0,12,73,51,76,62,0,12,0,12,2,1,Suffolk County,Massachusetts
1500000US250250001003,281,118,159,91,159,91,0,12,0,12,0,12,0,12,0,12,0,12,46,45,9,13,0,12,37,44,0,12,0,12,0,12,0,12,24,34,52,38,0,12,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,471,146,253,97,220,91,33,41,33,41,0,12,0,12,0,12,0,12,118,66,113,62,0,12,5,7,0,12,0,12,9,13,0,12,41,40,26,24,0,12,24,28,4,1,Suffolk County,Massachusetts
1500000US250250002011,640,192,499,181,467,185,32,27,32,27,0,12,0,12,0,12,0,12,119,69,82,66,0,12,37,33,0,12,0,12,0,12,0,12,8,13,8,14,0,12,6,10,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,393,184,355,181,325,172,30,31,30,31,0,12,0,12,0,12,0,12,24,29,24,29,0,12,0,12,0,12,0,12,0,12,0,12,5,9,0,12,0,12,9,16,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,941,199,496,139,453,130,43,46,21,23,11,27,0,12,0,12,11,18,294,119,237,103,39,50,18,28,0,12,0,12,0,12,0,12,109,85,24,26,8,13,10,15,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,440,155,277,142,261,139,16,26,0,12,0,12,16,26,0,12,0,12,123,66,113,64,10,16,0,12,0,12,0,12,0,12,0,12,8,14,16,19,0,12,16,17,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,742,227,388,144,327,143,61,52,40,40,0,12,16,20,0,12,5,11,244,121,172,98,0,12,72,58,0,12,0,12,0,12,0,12,42,43,15,16,11,16,42,40,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,729,166,541,177,489,181,52,47,52,47,0,12,0,12,0,12,0,12,159,89,145,87,0,12,14,16,0,12,0,12,0,12,0,12,0,12,29,38,0,12,0,12,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,399,126,331,112,324,112,7,12,0,12,7,12,0,12,0,12,0,12,50,34,50,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,21,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,190,82,98,52,98,52,0,12,0,12,0,12,0,12,0,12,0,12,74,51,59,44,15,23,0,12,0,12,0,12,0,12,0,12,0,12,18,20,0,12,0,12,4,2.02,Suffolk County,Massachusetts
