Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van","Margin of Error - Car, truck, or van","Estimate - Car, truck, or van - Drove alone","Margin of Error - Car, truck, or van - Drove alone","Estimate - Car, truck, or van - Carpooled","Margin of Error - Car, truck, or van - Carpooled","Estimate - Car, truck, or van - In 2-person carpool","Margin of Error - Car, truck, or van - In 2-person carpool","Estimate - Car, truck, or van - In 3-person carpool","Margin of Error - Car, truck, or van - In 3-person carpool","Estimate - Car, truck, or van - In 4-person carpool","Margin of Error - Car, truck, or van - In 4-person carpool","Estimate - Car, truck, or van - In 5- or 6-person carpool","Margin of Error - Car, truck, or van - In 5- or 6-person carpool","Estimate - Car, truck, or van - In 7-or-more-person carpool","Margin of Error - Car, truck, or van - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab),Margin of Error - Public transportation (excluding taxicab),Estimate - Public transportation (excluding taxicab) - Bus or trolley bus,Margin of Error - Public transportation (excluding taxicab) - Bus or trolley bus,Estimate - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Estimate - Public transportation (excluding taxicab) - Subway or elevated,Margin of Error - Public transportation (excluding taxicab) - Subway or elevated,Estimate - Public transportation (excluding taxicab) - Railroad,Margin of Error - Public transportation (excluding taxicab) - Railroad,Estimate - Public transportation (excluding taxicab) - Ferryboat,Margin of Error - Public transportation (excluding taxicab) - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked at home,Margin of Error - Worked at home,Block Group,Census Tract,County,State
1500000US250250001001,978,256,767,256,743,255,24,22,17,19,0,12,0,12,0,12,7,11,175,77,157,74,0,12,18,28,0,12,0,12,0,12,0,12,14,16,14,21,0,12,8,13,1,1,Suffolk County,Massachusetts
1500000US250250001002,689,196,311,133,264,123,47,45,10,15,0,12,14,30,17,26,6,14,242,156,124,78,0,12,109,94,9,13,0,12,4,6,0,12,78,48,54,49,0,12,0,12,2,1,Suffolk County,Massachusetts
1500000US250250001003,369,138,138,92,138,92,0,12,0,12,0,12,0,12,0,12,0,12,84,62,28,22,0,12,56,59,0,12,0,12,0,12,0,12,60,44,87,59,0,12,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,702,240,477,198,386,174,91,81,91,81,0,12,0,12,0,12,0,12,136,73,132,71,0,12,4,6,0,12,0,12,7,11,0,12,28,33,37,28,0,12,17,28,4,1,Suffolk County,Massachusetts
1500000US250250002011,712,168,478,170,416,171,62,48,62,48,0,12,0,12,0,12,0,12,203,81,140,65,12,15,51,36,0,12,0,12,0,12,0,12,19,21,7,11,0,12,5,8,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,520,190,425,194,374,177,51,41,51,41,0,12,0,12,0,12,0,12,65,52,37,35,12,17,16,22,0,12,0,12,0,12,0,12,4,7,20,28,0,12,6,10,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,880,187,504,117,448,111,56,55,31,29,12,28,0,12,0,12,13,19,218,99,208,101,10,15,0,12,0,12,0,12,0,12,0,12,107,80,24,26,0,12,27,28,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,451,137,286,115,227,112,59,41,37,40,0,12,22,33,0,12,0,12,138,69,138,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,24,0,12,8,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,803,193,449,131,396,127,53,50,32,40,0,12,15,18,0,12,6,15,247,108,169,87,0,12,78,65,0,12,0,12,0,12,0,12,34,43,25,25,10,17,38,37,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,783,195,555,182,502,184,53,47,53,47,0,12,0,12,0,12,0,12,187,108,182,110,0,12,5,9,0,12,0,12,0,12,0,12,0,12,32,38,0,12,9,13,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,459,149,359,121,350,120,9,14,0,12,9,14,0,12,0,12,0,12,77,49,77,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,27,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,194,90,125,59,125,59,0,12,0,12,0,12,0,12,0,12,0,12,58,50,58,50,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,0,12,0,12,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,424,152,265,133,222,116,43,55,0,12,43,55,0,12,0,12,0,12,139,88,139,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,10,16,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,634,207,391,107,391,107,0,12,0,12,0,12,0,12,0,12,0,12,206,163,206,163,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,29,47,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,401,192,222,87,222,87,0,12,0,12,0,12,0,12,0,12,0,12,168,164,145,129,0,12,23,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,338,108,260,85,234,83,26,25,14,16,12,19,0,12,0,12,0,12,53,40,53,40,0,12,0,12,0,12,0,12,0,12,0,12,8,14,6,9,0,12,11,18,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,1014,248,744,206,634,210,110,106,110,106,0,12,0,12,0,12,0,12,193,100,193,100,0,12,0,12,0,12,0,12,0,12,0,12,13,20,36,36,0,12,28,33,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,898,238,606,202,490,159,116,102,116,102,0,12,0,12,0,12,0,12,146,76,60,53,0,12,86,60,0,12,0,12,0,12,0,12,0,12,30,26,53,58,63,62,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,953,243,293,151,279,149,14,22,0,12,14,22,0,12,0,12,0,12,467,150,169,85,121,73,177,85,0,12,0,12,0,12,0,12,29,37,27,31,0,12,137,98,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,658,267,323,132,296,131,27,39,27,39,0,12,0,12,0,12,0,12,241,110,76,51,0,12,165,101,0,12,0,12,0,12,0,12,78,74,7,12,9,15,0,12,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,686,194,378,155,340,143,38,37,38,37,0,12,0,12,0,12,0,12,186,109,93,73,21,35,72,61,0,12,0,12,0,12,0,12,19,29,71,77,0,12,32,53,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,625,227,315,137,315,137,0,12,0,12,0,12,0,12,0,12,0,12,168,90,35,40,0,12,133,72,0,12,0,12,21,33,0,12,45,43,17,26,0,12,59,53,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,631,148,327,112,284,110,43,43,28,34,15,24,0,12,0,12,0,12,225,91,57,41,9,14,159,70,0,12,0,12,8,12,0,12,19,22,52,36,0,12,0,12,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,531,152,293,121,206,100,87,60,79,57,8,13,0,12,0,12,0,12,91,55,29,28,42,39,20,24,0,12,0,12,0,12,0,12,0,12,46,44,12,13,89,51,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,876,185,462,130,441,136,21,27,21,27,0,12,0,12,0,12,0,12,282,115,222,105,7,11,53,44,0,12,0,12,0,12,0,12,18,19,82,67,0,12,32,34,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,596,89,255,81,250,76,5,11,5,11,0,12,0,12,0,12,0,12,256,70,55,52,50,35,151,57,0,12,0,12,0,12,0,12,17,18,37,24,0,12,31,25,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,554,113,211,63,211,63,0,12,0,12,0,12,0,12,0,12,0,12,171,65,34,25,42,40,95,48,0,12,0,12,0,12,0,12,18,20,114,71,0,12,40,39,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,803,123,292,89,222,75,70,42,70,42,0,12,0,12,0,12,0,12,330,83,70,32,58,35,202,70,0,12,0,12,0,12,0,12,33,28,131,69,17,18,0,12,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1264,211,63,51,41,41,22,31,22,31,0,12,0,12,0,12,0,12,189,89,73,63,0,12,116,70,0,12,0,12,10,19,0,12,0,12,892,191,0,12,110,66,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,556,111,226,74,194,78,32,27,32,27,0,12,0,12,0,12,0,12,248,80,53,57,87,54,108,48,0,12,0,12,7,10,0,12,9,16,38,41,15,19,13,14,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,857,120,363,89,294,74,69,44,69,44,0,12,0,12,0,12,0,12,389,84,19,21,94,45,276,80,0,12,0,12,0,12,0,12,16,16,79,53,0,12,10,15,2,5.03,Suffolk County,Massachusetts
1500000US250250005041,589,215,250,145,231,143,19,32,19,32,0,12,0,12,0,12,0,12,223,125,67,62,34,44,122,83,0,12,0,12,0,12,0,12,42,34,74,79,0,12,0,12,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,604,158,119,65,74,67,45,40,45,40,0,12,0,12,0,12,0,12,289,109,60,55,33,36,196,107,0,12,0,12,0,12,16,25,37,41,78,87,0,12,65,52,2,5.04,Suffolk County,Massachusetts
1500000US250250005043,945,236,345,170,345,170,0,12,0,12,0,12,0,12,0,12,0,12,489,164,80,70,53,60,349,130,7,11,0,12,0,12,0,12,18,28,45,51,0,12,48,55,3,5.04,Suffolk County,Massachusetts
1500000US250250005044,313,179,182,132,155,114,27,42,27,42,0,12,0,12,0,12,0,12,77,75,41,48,0,12,36,42,0,12,0,12,0,12,0,12,26,42,18,29,10,17,0,12,4,5.04,Suffolk County,Massachusetts
1500000US250250006011,371,193,165,100,165,100,0,12,0,12,0,12,0,12,0,12,0,12,109,58,58,43,0,12,51,51,0,12,0,12,0,12,0,12,28,27,23,37,0,12,46,54,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,855,226,466,151,425,156,41,37,41,37,0,12,0,12,0,12,0,12,290,112,184,91,14,22,92,62,0,12,0,12,0,12,0,12,30,29,53,34,10,16,6,9,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,404,123,275,94,268,94,7,10,7,10,0,12,0,12,0,12,0,12,88,70,55,49,9,14,24,25,0,12,0,12,0,12,0,12,17,22,5,8,0,12,19,21,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,810,172,491,132,383,106,108,83,60,50,24,37,4,9,20,32,0,12,197,78,151,79,0,12,46,30,0,12,0,12,5,9,0,12,7,11,28,21,12,23,70,54,4,6.01,Suffolk County,Massachusetts
