Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van","Margin of Error - Car, truck, or van","Estimate - Car, truck, or van - Drove alone","Margin of Error - Car, truck, or van - Drove alone","Estimate - Car, truck, or van - Carpooled","Margin of Error - Car, truck, or van - Carpooled","Estimate - Car, truck, or van - In 2-person carpool","Margin of Error - Car, truck, or van - In 2-person carpool","Estimate - Car, truck, or van - In 3-person carpool","Margin of Error - Car, truck, or van - In 3-person carpool","Estimate - Car, truck, or van - In 4-person carpool","Margin of Error - Car, truck, or van - In 4-person carpool","Estimate - Car, truck, or van - In 5- or 6-person carpool","Margin of Error - Car, truck, or van - In 5- or 6-person carpool","Estimate - Car, truck, or van - In 7-or-more-person carpool","Margin of Error - Car, truck, or van - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab),Margin of Error - Public transportation (excluding taxicab),Estimate - Public transportation (excluding taxicab) - Bus or trolley bus,Margin of Error - Public transportation (excluding taxicab) - Bus or trolley bus,Estimate - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Estimate - Public transportation (excluding taxicab) - Subway or elevated,Margin of Error - Public transportation (excluding taxicab) - Subway or elevated,Estimate - Public transportation (excluding taxicab) - Railroad,Margin of Error - Public transportation (excluding taxicab) - Railroad,Estimate - Public transportation (excluding taxicab) - Ferryboat,Margin of Error - Public transportation (excluding taxicab) - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked at home,Margin of Error - Worked at home,Block Group,Census Tract,County,State
1500000US250250002023,415,135,344,117,310,126,34,35,34,35,0,12,0,12,0,12,0,12,47,32,47,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,14,0,12,17,25,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,156,76,61,37,51,39,10,17,0,12,10,17,0,12,0,12,0,12,68,56,53,49,15,23,0,12,0,12,0,12,0,12,0,12,0,12,27,23,0,12,0,12,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,355,119,196,79,189,78,7,11,0,12,7,11,0,12,0,12,0,12,63,44,56,42,7,11,0,12,0,12,0,12,0,12,0,12,0,12,9,14,0,12,87,106,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,476,223,241,76,208,72,33,38,10,16,9,15,0,12,0,12,14,21,226,189,226,189,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,13,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,383,116,265,117,265,117,0,12,0,12,0,12,0,12,0,12,0,12,45,35,45,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,37,58,0,12,36,46,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,312,95,249,84,241,84,8,14,0,12,8,14,0,12,0,12,0,12,43,34,43,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,13,20,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,650,210,444,191,394,182,50,48,35,46,15,22,0,12,0,12,0,12,137,72,137,72,0,12,0,12,0,12,0,12,0,12,0,12,10,17,22,24,0,12,37,43,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,978,212,671,173,617,160,54,70,54,70,0,12,0,12,0,12,0,12,196,97,101,85,0,12,95,52,0,12,0,12,0,12,0,12,0,12,63,49,37,55,11,18,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,1077,294,372,160,359,160,13,22,0,12,13,22,0,12,0,12,0,12,544,310,168,91,114,70,262,232,0,12,0,12,0,12,0,12,13,22,68,60,0,12,80,75,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,527,185,293,125,293,125,0,12,0,12,0,12,0,12,0,12,0,12,183,108,39,38,38,40,106,88,0,12,0,12,0,12,0,12,27,30,8,13,0,12,16,26,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,650,193,308,165,280,152,28,31,28,31,0,12,0,12,0,12,0,12,212,97,138,83,0,12,74,58,0,12,0,12,0,12,0,12,14,25,116,79,0,12,0,12,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,704,183,390,150,376,152,14,21,14,21,0,12,0,12,0,12,0,12,148,76,33,36,0,12,115,82,0,12,0,12,21,32,0,12,45,43,32,29,0,12,68,53,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,583,151,277,116,263,114,14,22,14,22,0,12,0,12,0,12,0,12,241,93,45,29,38,27,158,71,0,12,0,12,0,12,0,12,8,12,57,40,0,12,0,12,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,436,108,228,95,208,100,20,24,20,24,0,12,0,12,0,12,0,12,70,46,19,25,24,29,27,26,0,12,0,12,0,12,0,12,0,12,48,72,10,12,80,60,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,628,169,346,119,302,119,44,32,44,32,0,12,0,12,0,12,0,12,190,102,164,99,6,11,20,19,0,12,0,12,0,12,0,12,18,19,10,18,0,12,64,57,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,558,124,179,87,147,66,32,53,0,12,32,53,0,12,0,12,0,12,286,88,56,45,37,30,193,69,0,12,0,12,0,12,0,12,14,16,30,25,0,12,49,38,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,371,99,146,56,116,48,30,33,16,26,0,12,0,12,0,12,14,21,86,50,19,21,0,12,67,47,0,12,0,12,0,12,0,12,16,14,49,44,0,12,74,59,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,797,147,278,80,243,68,35,32,35,32,0,12,0,12,0,12,0,12,357,113,64,38,102,82,187,77,4,6,0,12,0,12,0,12,18,19,95,57,7,13,42,43,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1332,409,163,130,138,137,25,29,13,18,12,23,0,12,0,12,0,12,176,83,37,35,11,23,128,80,0,12,0,12,0,12,0,12,0,12,891,229,0,12,102,86,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,551,163,185,71,172,68,13,17,13,17,0,12,0,12,0,12,0,12,297,123,81,66,59,49,157,81,0,12,0,12,7,11,0,12,8,12,34,38,12,18,8,13,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,764,130,263,89,197,69,66,47,66,47,0,12,0,12,0,12,0,12,394,100,29,28,90,53,275,96,0,12,0,12,0,12,0,12,5,9,68,38,0,12,34,37,2,5.03,Suffolk County,Massachusetts
1500000US250250005041,524,180,209,121,191,116,18,24,18,24,0,12,0,12,0,12,0,12,278,138,70,54,82,82,126,90,0,12,0,12,0,12,0,12,37,33,0,12,0,12,0,12,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,587,177,214,143,168,137,46,42,46,42,0,12,0,12,0,12,0,12,179,85,51,40,32,29,90,65,6,17,0,12,0,12,15,24,35,41,75,89,0,12,69,51,2,5.04,Suffolk County,Massachusetts
1500000US250250005043,787,208,251,115,247,114,4,7,4,7,0,12,0,12,0,12,0,12,428,152,19,30,14,21,395,150,0,12,0,12,0,12,0,12,33,39,16,26,0,12,59,55,3,5.04,Suffolk County,Massachusetts
1500000US250250005044,409,216,204,187,204,187,0,12,0,12,0,12,0,12,0,12,0,12,132,149,0,12,42,49,90,110,0,12,0,12,0,12,0,12,0,12,16,26,11,18,46,74,4,5.04,Suffolk County,Massachusetts
1500000US250250006011,268,163,130,102,130,102,0,12,0,12,0,12,0,12,0,12,0,12,81,52,17,25,0,12,64,50,0,12,0,12,0,12,0,12,8,11,24,35,0,12,25,36,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,578,158,358,115,329,112,29,28,29,28,0,12,0,12,0,12,0,12,152,77,111,67,0,12,41,36,0,12,0,12,19,26,0,12,6,12,28,23,0,12,15,16,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,402,128,219,98,193,99,26,25,17,19,9,15,0,12,0,12,0,12,152,85,103,65,11,17,38,36,0,12,0,12,0,12,0,12,11,17,0,12,0,12,20,23,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,586,155,345,111,228,75,117,81,68,48,20,32,3,7,26,32,0,12,150,60,120,61,0,12,30,21,0,12,0,12,0,12,0,12,8,12,43,33,0,12,40,38,4,6.01,Suffolk County,Massachusetts
1500000US250250006021,877,204,469,128,389,119,80,54,58,49,0,12,10,15,0,12,12,24,286,101,110,80,74,44,102,50,0,12,0,12,0,12,26,28,22,22,55,39,9,15,10,16,1,6.02,Suffolk County,Massachusetts
1500000US250250006022,561,120,168,71,143,66,25,28,0,12,15,24,0,12,10,16,0,12,239,90,114,61,0,12,125,59,0,12,0,12,0,12,0,12,10,16,58,41,0,12,86,50,2,6.02,Suffolk County,Massachusetts
1500000US250250006023,444,144,147,99,122,90,25,33,25,33,0,12,0,12,0,12,0,12,141,65,48,31,0,12,93,57,0,12,0,12,0,12,0,12,0,12,127,69,0,12,29,47,3,6.02,Suffolk County,Massachusetts
1500000US250250007011,629,303,195,116,157,109,38,44,38,44,0,12,0,12,0,12,0,12,227,118,26,28,48,55,102,62,51,81,0,12,0,12,96,156,25,40,71,62,0,12,15,25,1,7.01,Suffolk County,Massachusetts
1500000US250250007012,135,80,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,20,0,12,8,12,10,17,0,12,0,12,0,12,0,12,21,18,47,61,10,16,39,50,2,7.01,Suffolk County,Massachusetts
1500000US250250007013,292,109,95,69,95,69,0,12,0,12,0,12,0,12,0,12,0,12,103,50,42,34,0,12,61,41,0,12,0,12,0,12,0,12,17,29,12,21,0,12,65,57,3,7.01,Suffolk County,Massachusetts
1500000US250250007014,412,212,274,182,249,172,25,42,25,42,0,12,0,12,0,12,0,12,93,83,27,36,25,31,41,45,0,12,0,12,0,12,0,12,0,12,40,37,0,12,5,10,4,7.01,Suffolk County,Massachusetts
1500000US250250007015,976,302,337,135,292,127,45,44,10,15,17,30,18,32,0,12,0,12,549,252,164,168,126,196,259,112,0,12,0,12,0,12,0,12,10,25,36,34,8,14,36,61,5,7.01,Suffolk County,Massachusetts
1500000US250250007031,541,96,145,57,129,60,16,17,16,17,0,12,0,12,0,12,0,12,231,65,118,35,51,41,62,34,0,12,0,12,0,12,0,12,0,12,165,72,0,12,0,12,1,7.03,Suffolk County,Massachusetts
1500000US250250007032,701,151,155,76,119,71,36,41,13,13,0,12,23,37,0,12,0,12,266,95,80,59,25,22,161,68,0,12,0,12,0,12,0,12,39,34,191,85,0,12,50,45,2,7.03,Suffolk County,Massachusetts
1500000US250250007041,1191,322,375,164,375,164,0,12,0,12,0,12,0,12,0,12,0,12,645,233,311,120,63,62,271,157,0,12,0,12,0,12,38,61,48,49,37,39,29,43,19,38,1,7.04,Suffolk County,Massachusetts
1500000US250250007042,490,197,138,81,126,77,12,19,12,19,0,12,0,12,0,12,0,12,158,91,37,38,10,16,111,76,0,12,0,12,0,12,0,12,71,115,75,66,0,12,48,60,2,7.04,Suffolk County,Massachusetts
1500000US250250007043,797,214,196,90,179,84,17,27,0,12,17,27,0,12,0,12,0,12,370,145,72,65,32,38,266,129,0,12,0,12,0,12,0,12,24,39,110,113,0,12,97,87,3,7.04,Suffolk County,Massachusetts
1500000US250250007044,336,111,124,114,51,83,73,84,60,83,0,12,0,12,0,12,13,21,154,66,0,12,19,24,135,68,0,12,0,12,0,12,0,12,46,51,12,36,0,12,0,12,4,7.04,Suffolk County,Massachusetts
1500000US250250008021,600,217,84,58,71,53,13,22,13,22,0,12,0,12,0,12,0,12,344,184,149,100,52,61,143,99,0,12,0,12,0,12,0,12,65,65,86,69,0,12,21,34,1,8.02,Suffolk County,Massachusetts
1500000US250250008022,1299,404,291,163,268,159,23,38,23,38,0,12,0,12,0,12,0,12,694,302,234,127,90,87,370,210,0,12,0,12,0,12,0,12,20,31,228,141,0,12,66,70,2,8.02,Suffolk County,Massachusetts
1500000US250250008023,390,344,177,196,153,160,24,38,24,38,0,12,0,12,0,12,0,12,134,120,99,110,28,45,7,15,0,12,0,12,0,12,0,12,20,19,43,51,0,12,16,25,3,8.02,Suffolk County,Massachusetts
1500000US250250008024,1163,330,623,205,555,194,68,51,68,51,0,12,0,12,0,12,0,12,282,181,226,182,0,12,56,56,0,12,0,12,0,12,18,29,145,118,66,53,0,12,29,34,4,8.02,Suffolk County,Massachusetts
1500000US250250008025,794,239,202,99,202,99,0,12,0,12,0,12,0,12,0,12,0,12,326,150,108,93,32,30,186,86,0,12,0,12,0,12,0,12,21,26,216,132,0,12,29,48,5,8.02,Suffolk County,Massachusetts
1500000US250250008031,683,213,121,58,113,56,8,15,0,12,0,12,0,12,0,12,8,15,255,106,98,72,5,7,152,77,0,12,0,12,13,14,0,12,20,18,216,126,0,12,58,57,1,8.03,Suffolk County,Massachusetts
1500000US250250008032,1346,374,110,70,81,57,29,41,12,23,0,12,0,12,0,12,17,34,276,137,195,117,0,12,64,54,17,34,0,12,0,12,0,12,18,34,902,323,11,22,29,58,2,8.03,Suffolk County,Massachusetts
1500000US250250101031,412,125,87,40,87,40,0,12,0,12,0,12,0,12,0,12,0,12,72,49,18,12,11,22,43,44,0,12,0,12,0,12,0,12,0,12,232,119,0,12,21,28,1,101.03,Suffolk County,Massachusetts
1500000US250250101032,363,132,27,30,14,17,13,25,0,12,0,12,0,12,0,12,13,25,66,51,46,48,0,12,13,18,7,14,0,12,0,12,0,12,11,12,252,103,0,12,7,14,2,101.03,Suffolk County,Massachusetts
1500000US250250101033,643,117,43,34,43,34,0,12,0,12,0,12,0,12,0,12,0,12,153,79,32,25,9,13,112,68,0,12,0,12,0,12,0,12,11,12,420,85,0,12,16,19,3,101.03,Suffolk County,Massachusetts
1500000US250250101041,731,135,179,61,173,60,6,9,6,9,0,12,0,12,0,12,0,12,226,104,63,54,41,67,122,61,0,12,0,12,11,16,0,12,8,13,220,79,20,25,67,45,1,101.04,Suffolk County,Massachusetts
1500000US250250101042,1171,257,128,49,112,47,16,20,7,9,0,12,0,12,0,12,9,18,284,98,122,65,22,33,140,65,0,12,0,12,0,12,0,12,33,39,648,216,37,52,41,31,2,101.04,Suffolk County,Massachusetts
1500000US250250101043,607,167,41,29,39,28,2,5,2,5,0,12,0,12,0,12,0,12,342,134,73,49,0,12,263,129,6,10,0,12,0,12,0,12,8,11,201,81,0,12,15,21,3,101.04,Suffolk County,Massachusetts
1500000US250250102031,503,162,79,57,79,57,0,12,0,12,0,12,0,12,0,12,0,12,158,82,0,12,0,12,158,82,0,12,0,12,0,12,0,12,41,46,191,94,21,34,13,22,1,102.03,Suffolk County,Massachusetts
1500000US250250102032,1098,238,280,142,229,124,51,80,51,80,0,12,0,12,0,12,0,12,329,161,159,120,13,20,157,79,0,12,0,12,0,12,0,12,13,21,434,150,29,33,13,21,2,102.03,Suffolk County,Massachusetts
1500000US250250102033,916,175,94,56,88,54,6,12,6,12,0,12,0,12,0,12,0,12,266,120,160,111,0,12,106,55,0,12,0,12,12,19,0,12,88,58,443,161,0,12,13,21,3,102.03,Suffolk County,Massachusetts
1500000US250250102034,122,58,30,48,30,48,0,12,0,12,0,12,0,12,0,12,0,12,38,45,0,12,0,12,38,45,0,12,0,12,0,12,0,12,0,12,43,36,0,12,11,17,4,102.03,Suffolk County,Massachusetts
1500000US250250102041,511,118,18,24,18,24,0,12,0,12,0,12,0,12,0,12,0,12,116,55,47,38,0,12,65,44,4,8,0,12,0,12,0,12,23,30,333,106,7,13,14,20,1,102.04,Suffolk County,Massachusetts
1500000US250250102042,716,142,69,39,55,34,14,18,14,18,0,12,0,12,0,12,0,12,250,118,45,31,0,12,205,113,0,12,0,12,0,12,0,12,24,26,348,122,2,4,23,24,2,102.04,Suffolk County,Massachusetts
1500000US250250102043,529,156,158,81,148,80,10,15,10,15,0,12,0,12,0,12,0,12,151,70,23,22,15,23,113,73,0,12,0,12,0,12,0,12,6,12,198,128,0,12,16,22,3,102.04,Suffolk County,Massachusetts
1500000US250250103001,547,105,61,37,41,34,20,8,20,8,0,12,0,12,0,12,0,12,158,73,50,37,6,8,86,45,16,32,0,12,0,12,0,12,25,27,281,115,0,12,22,34,1,103,Suffolk County,Massachusetts
1500000US250250103002,1829,276,183,75,142,65,41,46,26,33,0,12,6,12,9,17,0,12,316,89,120,54,0,12,196,61,0,12,0,12,0,12,0,12,8,9,1178,234,22,33,122,71,2,103,Suffolk County,Massachusetts
1500000US250250104031,505,249,88,126,0,12,88,126,0,12,0,12,88,126,0,12,0,12,202,98,0,12,46,50,156,90,0,12,0,12,0,12,0,12,18,29,197,125,0,12,0,12,1,104.03,Suffolk County,Massachusetts
1500000US250250104032,510,236,119,89,109,87,10,17,0,12,0,12,0,12,0,12,10,17,101,70,32,43,9,14,60,52,0,12,0,12,0,12,0,12,0,12,129,67,0,12,161,153,2,104.03,Suffolk County,Massachusetts
1500000US250250104033,660,197,121,66,121,66,0,12,0,12,0,12,0,12,0,12,0,12,258,116,66,69,0,12,192,106,0,12,0,12,0,12,0,12,15,23,232,144,0,12,34,50,3,104.03,Suffolk County,Massachusetts
1500000US250250104041,806,213,110,76,97,75,13,16,13,16,0,12,0,12,0,12,0,12,318,146,123,60,0,12,184,130,11,13,0,12,0,12,0,12,67,96,272,102,14,16,25,29,1,104.04,Suffolk County,Massachusetts
1500000US250250104042,641,167,80,56,71,53,9,12,9,12,0,12,0,12,0,12,0,12,141,83,54,52,0,12,83,50,4,9,0,12,6,10,4,8,8,17,372,116,3,7,27,25,2,104.04,Suffolk County,Massachusetts
1500000US250250104043,583,136,83,54,64,41,19,26,0,12,6,9,13,17,0,12,0,12,190,76,26,31,0,12,164,70,0,12,0,12,0,12,0,12,0,12,240,87,56,55,14,14,3,104.04,Suffolk County,Massachusetts
1500000US250250104051,1400,273,202,84,165,66,37,43,0,12,15,34,15,23,7,14,0,12,493,149,167,87,7,14,319,119,0,12,0,12,0,12,0,12,12,17,645,143,14,20,34,34,1,104.05,Suffolk County,Massachusetts
1500000US250250104052,1051,174,139,61,115,50,24,24,7,12,17,20,0,12,0,12,0,12,268,91,79,41,24,29,165,72,0,12,0,12,0,12,0,12,39,31,583,142,0,12,22,22,2,104.05,Suffolk County,Massachusetts
1500000US250250104053,200,105,6,11,6,11,0,12,0,12,0,12,0,12,0,12,0,12,92,63,0,12,0,12,92,63,0,12,0,12,0,12,0,12,0,12,87,52,0,12,15,22,3,104.05,Suffolk County,Massachusetts
1500000US250250104081,1045,126,291,90,266,89,25,20,19,17,0,12,6,10,0,12,0,12,281,74,154,48,0,12,119,52,8,9,0,12,0,12,0,12,17,15,414,106,0,12,42,42,1,104.08,Suffolk County,Massachusetts
1500000US250250105001,540,240,163,104,159,104,4,9,4,9,0,12,0,12,0,12,0,12,166,83,47,43,0,12,106,67,13,20,0,12,0,12,0,12,11,17,166,119,19,30,15,18,1,105,Suffolk County,Massachusetts
1500000US250250105002,472,178,83,66,83,66,0,12,0,12,0,12,0,12,0,12,0,12,248,94,36,44,54,54,153,73,5,8,0,12,0,12,0,12,6,10,117,97,0,12,18,23,2,105,Suffolk County,Massachusetts
1500000US250250105003,630,103,125,68,105,64,20,19,20,19,0,12,0,12,0,12,0,12,318,81,68,45,20,27,207,82,23,23,0,12,10,16,0,12,0,12,149,88,0,12,28,25,3,105,Suffolk County,Massachusetts
1500000US250250106001,1107,200,373,141,367,141,6,9,6,9,0,12,0,12,0,12,0,12,371,129,25,24,0,12,346,125,0,12,0,12,0,12,0,12,0,12,348,129,0,12,15,19,1,106,Suffolk County,Massachusetts
1500000US250250106002,625,164,227,96,195,90,32,39,21,35,11,17,0,12,0,12,0,12,243,96,33,31,22,35,188,89,0,12,0,12,0,12,0,12,0,12,135,73,0,12,20,23,2,106,Suffolk County,Massachusetts
1500000US250250107011,876,209,156,84,149,83,7,11,7,11,0,12,0,12,0,12,0,12,242,117,51,37,39,60,152,98,0,12,0,12,0,12,0,12,27,32,297,101,0,12,154,104,1,107.01,Suffolk County,Massachusetts
1500000US250250107012,717,185,365,166,351,167,14,22,14,22,0,12,0,12,0,12,0,12,103,57,0,12,0,12,103,57,0,12,0,12,9,14,0,12,17,27,194,96,0,12,29,27,2,107.01,Suffolk County,Massachusetts
1500000US250250107013,438,110,87,51,66,38,21,33,21,33,0,12,0,12,0,12,0,12,119,54,12,18,0,12,79,42,28,31,0,12,9,14,0,12,13,21,178,70,20,23,12,15,3,107.01,Suffolk County,Massachusetts
1500000US250250107021,719,189,148,65,125,57,23,28,8,13,15,25,0,12,0,12,0,12,138,72,13,22,0,12,105,57,20,23,0,12,13,19,0,12,0,12,233,96,25,28,162,143,1,107.02,Suffolk County,Massachusetts
1500000US250250107022,532,127,113,57,106,57,7,10,7,10,0,12,0,12,0,12,0,12,160,87,33,38,0,12,107,70,20,23,0,12,9,16,0,12,4,8,238,70,8,14,0,12,2,107.02,Suffolk County,Massachusetts
1500000US250250107023,458,110,128,60,114,56,14,20,14,20,0,12,0,12,0,12,0,12,85,45,0,12,22,32,54,32,9,13,0,12,0,12,0,12,14,20,201,70,0,12,30,27,3,107.02,Suffolk County,Massachusetts
1500000US250250108011,520,119,115,67,99,62,16,23,16,23,0,12,0,12,0,12,0,12,112,66,38,47,0,12,58,38,16,19,0,12,45,50,0,12,0,12,173,60,0,12,75,84,1,108.01,Suffolk County,Massachusetts
1500000US250250108012,607,145,224,85,198,78,26,31,26,31,0,12,0,12,0,12,0,12,59,36,34,32,0,12,25,23,0,12,0,12,0,12,0,12,39,36,252,100,9,14,24,22,2,108.01,Suffolk County,Massachusetts
1500000US250250108013,765,156,217,88,200,93,17,28,17,28,0,12,0,12,0,12,0,12,155,65,0,12,14,21,141,67,0,12,0,12,9,16,6,8,55,50,235,85,9,15,79,54,3,108.01,Suffolk County,Massachusetts
1500000US250250108021,624,134,215,84,192,86,23,28,23,28,0,12,0,12,0,12,0,12,110,49,8,12,7,13,86,42,9,14,0,12,9,14,0,12,38,31,190,67,9,15,53,56,1,108.02,Suffolk County,Massachusetts
1500000US250250108022,883,180,265,84,224,70,41,54,41,54,0,12,0,12,0,12,0,12,181,69,32,28,0,12,136,56,13,22,0,12,37,58,0,12,0,12,325,118,34,54,41,37,2,108.02,Suffolk County,Massachusetts
1500000US250250108023,390,135,75,45,75,45,0,12,0,12,0,12,0,12,0,12,0,12,123,66,23,29,0,12,55,37,45,53,0,12,0,12,0,12,0,12,138,60,31,48,23,23,3,108.02,Suffolk County,Massachusetts
1500000US250250201011,447,178,50,45,50,45,0,12,0,12,0,12,0,12,0,12,0,12,69,69,27,40,0,12,11,27,31,44,0,12,0,12,0,12,0,12,311,165,0,12,17,27,1,201.01,Suffolk County,Massachusetts
1500000US250250201012,705,250,175,119,175,119,0,12,0,12,0,12,0,12,0,12,0,12,134,96,11,18,0,12,112,97,11,18,0,12,0,12,0,12,16,26,292,152,47,72,41,32,2,201.01,Suffolk County,Massachusetts
1500000US250250201013,743,210,108,82,108,82,0,12,0,12,0,12,0,12,0,12,0,12,145,82,20,31,0,12,93,75,32,35,0,12,0,12,0,12,0,12,455,184,0,12,35,42,3,201.01,Suffolk County,Massachusetts
1500000US250250201014,904,247,170,113,170,113,0,12,0,12,0,12,0,12,0,12,0,12,208,104,25,21,0,12,183,101,0,12,0,12,31,37,0,12,7,30,413,248,0,12,75,71,4,201.01,Suffolk County,Massachusetts
1500000US250250202001,1122,282,151,80,151,80,0,12,0,12,0,12,0,12,0,12,0,12,386,141,139,104,27,42,220,129,0,12,0,12,0,12,0,12,0,12,553,234,0,12,32,52,1,202,Suffolk County,Massachusetts
1500000US250250202002,953,196,148,88,98,57,50,81,0,12,50,81,0,12,0,12,0,12,207,93,11,16,10,17,186,88,0,12,0,12,0,12,0,12,36,60,507,132,0,12,55,65,2,202,Suffolk County,Massachusetts
