Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van","Margin of Error - Car, truck, or van","Estimate - Car, truck, or van - Drove alone","Margin of Error - Car, truck, or van - Drove alone","Estimate - Car, truck, or van - Carpooled","Margin of Error - Car, truck, or van - Carpooled","Estimate - Car, truck, or van - In 2-person carpool","Margin of Error - Car, truck, or van - In 2-person carpool","Estimate - Car, truck, or van - In 3-person carpool","Margin of Error - Car, truck, or van - In 3-person carpool","Estimate - Car, truck, or van - In 4-person carpool","Margin of Error - Car, truck, or van - In 4-person carpool","Estimate - Car, truck, or van - In 5- or 6-person carpool","Margin of Error - Car, truck, or van - In 5- or 6-person carpool","Estimate - Car, truck, or van - In 7-or-more-person carpool","Margin of Error - Car, truck, or van - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab),Margin of Error - Public transportation (excluding taxicab),Estimate - Public transportation (excluding taxicab) - Bus or trolley bus,Margin of Error - Public transportation (excluding taxicab) - Bus or trolley bus,Estimate - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Estimate - Public transportation (excluding taxicab) - Subway or elevated,Margin of Error - Public transportation (excluding taxicab) - Subway or elevated,Estimate - Public transportation (excluding taxicab) - Railroad,Margin of Error - Public transportation (excluding taxicab) - Railroad,Estimate - Public transportation (excluding taxicab) - Ferryboat,Margin of Error - Public transportation (excluding taxicab) - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked at home,Margin of Error - Worked at home,Block Group,Census Tract,County,State
1500000US250250001001,607,209,524,206,516,204,8,12,0,12,0,12,0,12,0,12,8,12,77,44,70,43,0,12,7,12,0,12,0,12,0,12,0,12,0,12,1,3,0,12,5,9,1,1,Suffolk County,Massachusetts
1500000US250250001002,753,277,250,102,243,99,7,16,0,12,0,12,0,12,0,12,7,16,279,193,133,84,0,12,135,120,11,17,0,12,0,12,0,12,68,52,139,125,0,12,17,20,2,1,Suffolk County,Massachusetts
1500000US250250001003,233,99,106,80,106,80,0,12,0,12,0,12,0,12,0,12,0,12,29,35,2,6,0,12,27,34,0,12,0,12,0,12,0,12,25,36,73,56,0,12,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,453,215,325,174,298,169,27,45,27,45,0,12,0,12,0,12,0,12,54,43,54,43,0,12,0,12,0,12,0,12,0,12,0,12,39,44,19,28,0,12,16,24,4,1,Suffolk County,Massachusetts
1500000US250250002011,605,159,458,141,427,145,31,30,31,30,0,12,0,12,0,12,0,12,121,78,83,71,0,12,38,36,0,12,0,12,0,12,0,12,11,16,8,13,0,12,7,10,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,260,117,236,113,211,99,25,32,25,32,0,12,0,12,0,12,0,12,9,16,9,16,0,12,0,12,0,12,0,12,0,12,0,12,6,9,0,12,0,12,9,14,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,872,179,426,129,396,122,30,35,19,21,3,8,0,12,0,12,8,13,345,118,273,99,47,56,25,25,0,12,0,12,0,12,0,12,35,31,49,44,9,13,8,13,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,431,104,272,83,257,78,15,25,4,7,11,18,0,12,0,12,0,12,121,67,111,65,10,15,0,12,0,12,0,12,0,12,0,12,9,14,15,19,0,12,14,17,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,731,257,411,172,361,171,50,45,46,45,0,12,0,12,0,12,4,11,187,117,120,86,0,12,67,62,0,12,0,12,0,12,0,12,51,51,33,31,10,16,39,47,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,652,182,454,171,410,176,44,40,44,40,0,12,0,12,0,12,0,12,166,94,152,91,0,12,14,16,0,12,0,12,0,12,0,12,0,12,32,42,0,12,0,12,2,2.02,Suffolk County,Massachusetts
