Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van","Margin of Error - Car, truck, or van","Estimate - Car, truck, or van - Drove alone","Margin of Error - Car, truck, or van - Drove alone","Estimate - Car, truck, or van - Carpooled","Margin of Error - Car, truck, or van - Carpooled","Estimate - Car, truck, or van - In 2-person carpool","Margin of Error - Car, truck, or van - In 2-person carpool","Estimate - Car, truck, or van - In 3-person carpool","Margin of Error - Car, truck, or van - In 3-person carpool","Estimate - Car, truck, or van - In 4-person carpool","Margin of Error - Car, truck, or van - In 4-person carpool","Estimate - Car, truck, or van - In 5- or 6-person carpool","Margin of Error - Car, truck, or van - In 5- or 6-person carpool","Estimate - Car, truck, or van - In 7-or-more-person carpool","Margin of Error - Car, truck, or van - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab),Margin of Error - Public transportation (excluding taxicab),Estimate - Public transportation (excluding taxicab) - Bus or trolley bus,Margin of Error - Public transportation (excluding taxicab) - Bus or trolley bus,Estimate - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error - Public transportation (excluding taxicab) - Streetcar or trolley car (carro publico in Puerto Rico),Estimate - Public transportation (excluding taxicab) - Subway or elevated,Margin of Error - Public transportation (excluding taxicab) - Subway or elevated,Estimate - Public transportation (excluding taxicab) - Railroad,Margin of Error - Public transportation (excluding taxicab) - Railroad,Estimate - Public transportation (excluding taxicab) - Ferryboat,Margin of Error - Public transportation (excluding taxicab) - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked at home,Margin of Error - Worked at home,Block Group,Census Tract,County,State
1500000US250250001001,686,329,456,285,449,285,7,11,0,12,0,12,0,12,0,12,7,11,187,178,179,178,0,12,8,12,0,12,0,12,0,12,0,12,0,12,37,38,0,12,6,9,1,1,Suffolk County,Massachusetts
1500000US250250001002,568,184,193,92,180,82,13,23,0,12,0,12,0,12,0,12,13,23,168,100,69,52,0,12,89,67,10,15,0,12,0,12,0,12,52,44,140,117,0,12,15,17,2,1,Suffolk County,Massachusetts
1500000US250250001003,248,81,133,72,133,72,0,12,0,12,0,12,0,12,0,12,0,12,36,35,21,32,0,12,15,16,0,12,0,12,0,12,0,12,7,10,72,51,0,12,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,264,148,176,121,152,115,24,38,24,38,0,12,0,12,0,12,0,12,24,18,16,18,0,12,8,12,0,12,0,12,0,12,0,12,48,45,0,12,0,12,16,25,4,1,Suffolk County,Massachusetts
1500000US250250002011,466,125,377,110,345,109,32,35,32,35,0,12,0,12,0,12,0,12,75,41,35,32,0,12,40,34,0,12,0,12,0,12,0,12,0,12,8,14,0,12,6,10,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,289,120,253,119,233,111,20,30,20,30,0,12,0,12,0,12,0,12,9,14,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,0,12,16,17,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,940,212,481,151,477,151,4,8,0,12,4,8,0,12,0,12,0,12,336,134,258,108,48,59,30,38,0,12,0,12,0,12,0,12,43,40,66,51,9,13,5,9,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,399,95,260,81,242,77,18,27,5,7,13,20,0,12,0,12,0,12,81,60,73,59,8,13,0,12,0,12,0,12,0,12,0,12,9,14,16,18,0,12,33,32,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,554,180,298,127,269,125,29,31,25,30,0,12,0,12,0,12,4,9,129,110,84,73,0,12,45,52,0,12,0,12,0,12,0,12,22,25,51,49,9,14,45,34,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,627,221,410,177,382,171,28,31,28,31,0,12,0,12,0,12,0,12,187,94,174,95,0,12,13,17,0,12,0,12,0,12,0,12,0,12,30,40,0,12,0,12,2,2.02,Suffolk County,Massachusetts
