from_stop_id	to_stop_id	count	mean
70106	70110	39814.0	106.79037524488872
70106	70112	38668.0	229.66869245888074
70106	70114	38663.0	303.11698523135817
70106	70116	38657.0	382.72129239206356
70106	70120	38559.0	502.45781788946806
70106	70124	38486.0	631.8658473211037
70106	70126	38462.0	740.7059695283656
70106	70128	38424.0	820.2818550905683
70106	70130	38435.0	893.3657603746584
70106	70134	38459.0	1076.6778907407888
70106	70144	37393.0	1521.5396999438399
70106	70146	37182.0	1607.908154483352
70106	70148	37017.0	1744.0391171623846
70106	70152	35068.0	2045.4284532907495
70106	70154	34644.0	2220.484153100104
70106	70156	34386.0	2350.9572500436225
70106	70158	33323.0	2504.4472886594845
70106	70200	33302.0	2608.515794847156
70106	70201	28415.0	2755.101742037656
70106	70203	45.0	2492.1111111111113
70106	70205	61.0	2565.7704918032787
70106	70207	47.0	2748.106382978723
70106	70501	54.0	2866.3333333333335
70106	70505	50.0	3242.8
70106	70507	50.0	3355.94
70106	70509	49.0	3444.755102040817
70106	70511	49.0	3699.061224489796
70106	70513	50.0	3115.0600000000004
70106	71150	36207.0	1845.476786256801
70106	170136	38369.0	1244.763663374078
70106	170140	37365.0	1382.840920647665
70110	70112	41426.0	95.63786028098298
70110	70114	41396.0	168.77364962798336
70110	70116	41394.0	248.1516644924385
70110	70120	41267.0	367.85884605132424
70110	70124	41168.0	497.10663622230857
70110	70126	41124.0	605.8286158933955
70110	70128	41088.0	685.3605675623053
70110	70130	41105.0	758.2639095000608
70110	70134	41127.0	940.9198823157536
70110	70144	40010.0	1384.241664583854
70110	70146	39792.0	1470.1445767993564
70110	70148	39604.0	1605.8789516210484
70110	70152	37427.0	1908.3277313169638
70110	70154	37074.0	2083.305658952366
70110	70156	36767.0	2213.200859466369
70110	70158	35631.0	2366.5224383261766
70110	70200	35619.0	2470.6790757741655
70110	70201	30239.0	2617.1662092000397
70110	70203	78.0	2346.564102564102
70110	70205	95.0	2433.4421052631574
70110	70207	76.0	2617.8947368421054
70110	70501	84.0	2743.904761904762
70110	70505	80.0	3131.7375
70110	70507	80.0	3245.2125000000005
70110	70509	79.0	3337.8481012658226
70110	70511	73.0	3572.301369863014
70110	70513	80.0	3004.4500000000003
70110	71150	38692.0	1707.2991057582963
70110	170136	41022.0	1108.1492369947832
70110	170140	39976.0	1246.055708425055
70111	70107	41765.0	168.5712438644798
70112	70114	41546.0	31.302459923939733
70112	70116	41501.0	110.71651285511192
70112	70120	41373.0	230.4891354264859
70112	70124	41282.0	359.7424543384526
70112	70126	41233.0	468.4754201731623
70112	70128	41192.0	547.9997086812974
70112	70130	41209.0	620.8991482443155
70112	70134	41223.0	803.6542706741383
70112	70144	40113.0	1246.967741131304
70112	70146	39894.0	1332.960771043265
70112	70148	39702.0	1468.786862122815
70112	70152	37473.0	1771.3930029621326
70112	70154	37076.0	1946.1505286438664
