season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,2018/01/01 22:46:00+00,Readville,4,,,0,41
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,2018/01/01 22:49:00+00,Fairmount,5,,0,0,42
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,2018/01/01 22:53:00+00,Morton Street,6,,0,0,43
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,2018/01/01 23:00:00+00,Uphams Corner,7,,0,0,44
Spring 2012,CR-Fairmount,Fairmount Line,764,1,day_type_01,weekday,2018/01/01 23:11:00+00,South Station,8,,0,,45
Spring 2012,CR-Fairmount,Fairmount Line,766,1,day_type_01,weekday,2018/01/01 23:21:00+00,Readville,4,1,,1,46
Spring 2012,CR-Fairmount,Fairmount Line,766,1,day_type_01,weekday,2018/01/01 23:43:00+00,South Station,8,,1,,47
Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:10:00+00,Readville,4,0,,0,48
Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:13:00+00,Fairmount,5,0,0,0,49
Spring 2012,CR-Fairmount,Fairmount Line,768,1,day_type_01,weekday,2018/01/02 00:17:00+00,Morton Street,6,0,0,0,50
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:35:00+00,Shirley,3,15,4,79,51
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:41:00+00,Ayer,4,28,4,103,52
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:50:00+00,Littleton / Rte 495,5,40,0,143,53
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 12:58:00+00,South Acton,6,57,4,196,54
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:03:00+00,West Concord,7,48,2,242,55
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:09:00+00,Concord,8,40,0,282,56
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:15:00+00,Lincoln,9,23,0,305,57
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:18:00+00,Silver Hill,10,5,1,309,58
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:20:00+00,Hastings,11,8,0,317,59
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:22:00+00,Kendal Green,12,15,1,331,60
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:26:00+00,Brandeis/ Roberts,13,22,16,337,61
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:30:00+00,Waltham,14,58,4,391,62
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:35:00+00,Waverley,15,18,7,402,63
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:37:00+00,Belmont,16,18,4,416,64
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:43:00+00,Porter Square,17,71,183,304,65
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,2018/01/01 13:54:00+00,North Station,18,,304,,66
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:27:00+00,Fitchburg,1,19,,19,67
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:34:00+00,North Leominster,2,8,0,27,68
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:41:00+00,Shirley,3,5,1,31,69
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:46:00+00,Ayer,4,10,4,37,70
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 15:54:00+00,Littleton / Rte 495,5,7,0,44,71
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:02:00+00,South Acton,6,11,1,54,72
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:07:00+00,West Concord,7,2,0,56,73
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:13:00+00,Concord,8,6,0,62,74
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:19:00+00,Lincoln,9,3,0,65,75
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:23:00+00,Hastings,11,2,0,67,76
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:25:00+00,Kendal Green,12,1,0,68,77
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:28:00+00,Brandeis/ Roberts,13,4,1,71,78
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:32:00+00,Waltham,14,11,5,77,79
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:37:00+00,Waverley,15,1,0,78,80
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:39:00+00,Belmont,16,2,0,80,81
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:44:00+00,Porter Square,17,4,31,53,82
Spring 2012,CR-Fitchburg,Fitchburg Line,418,1,day_type_01,weekday,2018/01/01 16:55:00+00,North Station,18,,53,,83
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:24:00+00,Fitchburg,1,5,,5,84
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:31:00+00,North Leominster,2,3,0,8,85
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:38:00+00,Shirley,3,3,1,10,86
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:43:00+00,Ayer,4,3,2,11,87
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:51:00+00,Littleton / Rte 495,5,2,0,13,88
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 16:59:00+00,South Acton,6,10,0,23,89
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:04:00+00,West Concord,7,8,1,30,90
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:10:00+00,Concord,8,4,1,33,91
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:16:00+00,Lincoln,9,2,1,34,92
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:24:00+00,Brandeis/ Roberts,13,21,1,54,93
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:29:00+00,Waltham,14,15,6,63,94
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:34:00+00,Belmont,16,1,0,64,95
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:39:00+00,Porter Square,17,2,28,38,96
Spring 2012,CR-Fitchburg,Fitchburg Line,420,1,day_type_01,weekday,2018/01/01 17:50:00+00,North Station,18,,38,,97
Spring 2012,CR-Fitchburg,Fitchburg Line,422,1,day_type_01,weekday,2018/01/01 18:05:00+00,Fitchburg,1,11,,11,98
Spring 2012,CR-Fitchburg,Fitchburg Line,422,1,day_type_01,weekday,2018/01/01 18:14:00+00,North Leominster,2,8,0,19,99
Spring 2012,CR-Fitchburg,Fitchburg Line,422,1,day_type_01,weekday,2018/01/01 18:21:00+00,Shirley,3,2,0,21,100
Spring 2012,CR-Fairmount,Fairmount Line,755,0,day_type_01,weekday,2018/01/01 17:31:00+00,Readville,5,,2,,101
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,2018/01/01 19:05:00+00,South Station,1,8,,8,102
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,2018/01/01 19:16:00+00,Uphams Corner,2,1,0,9,103
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,2018/01/01 19:23:00+00,Morton Street,3,0,1,8,104
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,2018/01/01 19:27:00+00,Fairmount,4,0,3,5,105
Spring 2012,CR-Fairmount,Fairmount Line,757,0,day_type_01,weekday,2018/01/01 19:31:00+00,Readville,5,,5,,106
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,2018/01/01 20:30:00+00,South Station,1,28,,28,107
Spring 2012,CR-Fairmount,Fairmount Line,759,0,day_type_01,weekday,2018/01/01 20:41:00+00,Uphams Corner,2,0,4,24,108
