Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250001011,703,124,0,13,14,20,70,51,100,53,50,37,49,58,225,91,27,26,43,39,114,50,11,16,0,13,1,1.01,Suffolk County,Massachusetts
1500000US250250001012,561,159,0,13,23,35,40,30,58,38,101,52,71,54,114,58,42,49,7,13,75,40,15,19,15,23,2,1.01,Suffolk County,Massachusetts
1500000US250250001021,884,264,0,13,24,33,32,33,171,149,84,56,16,18,293,187,29,27,94,58,124,75,17,17,0,13,1,1.02,Suffolk County,Massachusetts
1500000US250250001022,1621,739,29,40,102,75,21,24,549,528,96,70,0,13,312,147,69,106,232,224,79,56,132,147,0,13,2,1.02,Suffolk County,Massachusetts
1500000US250250002011,768,182,0,13,14,19,33,35,56,42,98,51,24,29,236,124,124,139,10,15,76,45,64,34,33,24,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,617,285,0,13,0,13,48,62,76,71,19,23,41,31,129,65,10,15,41,26,224,232,29,25,0,13,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,804,199,0,13,15,18,120,90,161,128,58,42,41,29,138,64,66,54,65,50,86,53,54,64,0,13,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,685,216,0,13,31,48,31,32,43,31,151,97,17,25,156,146,37,34,112,154,55,35,52,40,0,13,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,534,159,0,13,16,20,48,50,42,34,58,52,56,41,57,40,29,36,47,48,152,79,29,20,0,13,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,385,145,0,13,0,13,90,69,9,14,50,50,24,37,91,60,0,13,32,46,29,36,26,44,34,47,2,2.02,Suffolk County,Massachusetts
