Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250001001,753,327,0,12,0,12,65,68,50,48,170,134,20,28,286,207,24,31,33,31,75,64,30,27,0,12,1,1,Suffolk County,Massachusetts
1500000US250250001002,517,199,10,16,33,45,51,41,118,126,68,55,17,20,61,62,0,12,42,50,89,68,28,36,0,12,2,1,Suffolk County,Massachusetts
1500000US250250001003,240,81,16,25,0,12,38,38,8,13,27,26,9,14,53,52,17,20,10,16,8,14,54,45,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,250,129,0,12,20,22,43,39,32,40,13,20,7,10,64,66,27,44,0,12,30,36,0,12,14,21,4,1,Suffolk County,Massachusetts
1500000US250250002011,420,127,0,12,20,24,45,35,57,39,162,67,0,12,23,20,17,22,43,33,53,38,0,12,0,12,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,309,151,15,22,26,27,42,50,35,33,11,17,17,17,36,32,40,45,0,12,74,65,13,20,0,12,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,969,237,44,42,44,41,23,30,147,86,198,178,72,48,155,92,0,12,92,52,105,102,67,45,22,33,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,371,112,0,12,0,12,28,44,48,48,62,47,36,31,113,64,10,17,0,12,65,50,9,14,0,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,661,199,0,12,60,47,77,84,35,32,85,54,68,49,272,152,0,12,15,19,34,42,8,18,7,11,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,501,196,14,21,20,32,7,14,59,36,47,50,78,94,118,81,7,13,38,37,46,28,61,52,6,14,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,364,188,10,15,9,21,12,18,39,50,27,32,50,40,110,65,0,12,27,29,69,69,11,17,0,12,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,199,96,0,12,40,37,0,12,16,19,49,48,21,24,43,56,0,12,11,18,19,31,0,12,0,12,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,232,92,0,12,32,49,34,31,8,14,34,34,0,12,85,44,11,17,7,22,9,14,12,20,0,12,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,375,108,0,12,13,21,74,47,48,39,0,12,12,18,105,82,0,12,83,62,40,47,0,12,0,12,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,356,156,0,12,15,24,48,56,47,70,96,50,52,44,11,21,14,18,37,53,36,29,0,12,0,12,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,304,123,0,12,39,33,11,16,47,64,60,56,42,42,84,53,0,12,0,12,0,12,21,23,0,12,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,617,173,0,12,44,48,17,27,80,58,40,34,51,37,211,86,33,31,0,12,57,40,64,50,20,23,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,1095,259,10,15,55,44,20,22,91,86,209,75,85,40,218,110,23,27,149,143,133,98,83,64,19,22,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,1024,277,0,12,0,12,21,24,144,90,127,79,149,101,143,73,0,12,77,77,194,113,157,126,12,19,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,435,166,0,12,0,12,22,24,51,39,103,137,0,12,125,91,32,34,0,12,55,47,47,39,0,12,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,575,166,0,12,12,20,56,43,175,88,25,28,117,88,55,45,0,12,61,41,74,51,0,12,0,12,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,448,151,0,12,44,36,38,35,0,12,29,26,55,45,117,74,56,47,37,36,43,30,29,32,0,12,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,587,145,0,12,61,33,86,41,31,41,69,53,58,34,77,47,21,17,39,28,107,49,34,35,4,12,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,406,175,12,24,14,19,58,83,34,41,77,63,0,12,81,65,0,12,44,34,45,50,41,35,0,12,2,4.02,Suffolk County,Massachusetts
