Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250001001,970,257,14,21,61,52,10,16,201,122,133,137,0,12,226,100,47,37,122,88,83,61,62,60,11,17,1,1,Suffolk County,Massachusetts
1500000US250250001002,689,196,0,12,37,45,18,22,87,48,68,39,34,37,199,95,38,49,88,85,92,67,24,22,4,7,2,1,Suffolk County,Massachusetts
1500000US250250001003,369,138,0,12,33,36,12,15,46,33,46,33,30,30,73,43,36,41,19,28,45,45,29,30,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,685,235,0,12,83,57,8,12,142,104,66,47,52,49,157,170,8,12,85,54,44,34,40,37,0,12,4,1,Suffolk County,Massachusetts
1500000US250250002011,707,167,0,12,62,77,53,47,74,63,97,56,5,11,150,107,47,49,28,27,99,54,73,49,19,19,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,514,191,0,12,12,18,106,90,72,53,0,12,84,53,116,85,5,9,37,25,53,39,29,25,0,12,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,853,185,0,12,29,21,157,80,96,103,114,61,63,36,201,91,9,10,61,54,39,25,72,48,12,28,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,443,137,0,12,12,21,0,12,9,13,42,23,11,17,166,90,37,35,44,31,81,46,41,40,0,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,765,193,0,12,40,41,11,15,34,43,65,42,71,65,237,103,52,51,95,69,121,67,27,33,12,18,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,774,195,0,12,24,38,85,63,44,32,140,74,70,58,126,74,19,29,84,61,82,48,89,62,11,21,2,2.02,Suffolk County,Massachusetts
