"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"1500000US250250004021","Block Group 1; Census Tract 4.02; Suffolk County; Massachusetts","623","151","8","13","28","25","20","22","28","27","153","81","28","25","106","71","27","36","61","50","42","28","86","48","36","44",
"1500000US250250004022","Block Group 2; Census Tract 4.02; Suffolk County; Massachusetts","379","181","32","42","9","13","50","39","42","33","49","76","20","31","65","80","5","8","20","15","69","55","14","19","4","7",
"1500000US250250004023","Block Group 3; Census Tract 4.02; Suffolk County; Massachusetts","642","286","0","14","9","15","56","62","39","41","226","222","27","20","88","61","16","14","13","17","83","56","54","40","31","50",
"1500000US250250005021","Block Group 1; Census Tract 5.02; Suffolk County; Massachusetts","629","288","0","14","100","137","44","48","60","41","109","111","17","21","25","27","10","12","72","55","159","90","33","34","0","14",
"1500000US250250005022","Block Group 2; Census Tract 5.02; Suffolk County; Massachusetts","585","196","57","54","21","20","96","78","88","75","83","79","8","13","131","69","18","29","14","16","54","46","15","31","0","14",
"1500000US250250005023","Block Group 3; Census Tract 5.02; Suffolk County; Massachusetts","699","149","9","14","0","14","10","13","16","16","82","57","52","45","107","51","28","22","100","53","193","76","96","47","6","10",
"1500000US250250005024","Block Group 4; Census Tract 5.02; Suffolk County; Massachusetts","474","142","45","45","119","86","99","97","79","61","34","34","7","14","14","21","0","14","37","51","25","30","15","21","0","14",
"1500000US250250005031","Block Group 1; Census Tract 5.03; Suffolk County; Massachusetts","486","152","0","14","18","20","43","46","18","30","51","48","38","34","60","38","8","13","11","13","85","47","145","107","9","15",
"1500000US250250005032","Block Group 2; Census Tract 5.03; Suffolk County; Massachusetts","853","155","0","14","49","64","22","26","34","28","61","44","31","29","238","73","51","40","66","39","138","57","163","105","0","14",
"1500000US250250005051","Block Group 1; Census Tract 5.05; Suffolk County; Massachusetts","599","194","0","14","10","15","59","43","49","77","40","13","44","44","44","41","40","40","40","52","134","77","114","103","25","38",
"1500000US250250005052","Block Group 2; Census Tract 5.05; Suffolk County; Massachusetts","377","192","0","14","15","32","9","18","6","9","13","25","8","15","74","58","73","78","0","14","109","78","70","47","0","14",
"1500000US250250005053","Block Group 3; Census Tract 5.05; Suffolk County; Massachusetts","90","87","0","14","0","14","0","14","0","14","0","14","0","14","56","70","0","14","0","14","21","34","13","20","0","14",
"1500000US250250005061","Block Group 1; Census Tract 5.06; Suffolk County; Massachusetts","444","169","0","14","0","14","0","14","13","20","25","23","70","49","107","113","0","14","70","67","61","41","71","51","27","38",
"1500000US250250005062","Block Group 2; Census Tract 5.06; Suffolk County; Massachusetts","965","330","0","14","0","14","10","17","120","81","0","14","47","44","278","117","87","107","62","72","311","178","50","42","0","14",
"1500000US250250006011","Block Group 1; Census Tract 6.01; Suffolk County; Massachusetts","466","356","10","15","64","60","12","14","0","14","323","319","10","27","8","16","0","14","0","14","31","31","8","12","0","14",
"1500000US250250006012","Block Group 2; Census Tract 6.01; Suffolk County; Massachusetts","652","185","0","14","5","12","16","29","112","94","60","42","34","32","75","39","61","51","3","8","93","50","178","142","15","24",
"1500000US250250006013","Block Group 3; Census Tract 6.01; Suffolk County; Massachusetts","446","203","30","37","48","47","18","29","49","42","47","41","0","14","74","40","26","35","9","15","47","40","98","126","0","14",
"1500000US250250006014","Block Group 4; Census Tract 6.01; Suffolk County; Massachusetts","834","213","0","14","92","85","51","60","126","84","35","27","65","47","167","95","9","16","22","26","199","105","68","48","0","14",
"1500000US250250006031","Block Group 1; Census Tract 6.03; Suffolk County; Massachusetts","571","208","0","14","17","36","73","112","66","55","40","46","0","14","106","88","5","10","49","51","182","114","33","39","0","14",
"1500000US250250006041","Block Group 1; Census Tract 6.04; Suffolk County; Massachusetts","583","173","0","14","13","22","54","51","170","129","65","45","11","18","35","39","15","18","77","39","143","63","0","14","0","14",
"1500000US250250006042","Block Group 2; Census Tract 6.04; Suffolk County; Massachusetts","490","160","0","14","17","27","0","14","53","44","54","49","8","13","111","75","92","92","56","48","73","54","9","14","17","26",
"1500000US250250007011","Block Group 1; Census Tract 7.01; Suffolk County; Massachusetts","287","144","0","14","41","50","22","25","14","22","6","9","65","60","14","22","32","37","7","12","34","32","52","43","0","14",
"1500000US250250007012","Block Group 2; Census Tract 7.01; Suffolk County; Massachusetts","221","123","0","14","0","14","15","24","0","14","0","14","14","19","53","51","14","22","30","29","95","94","0","14","0","14",
"1500000US250250007013","Block Group 3; Census Tract 7.01; Suffolk County; Massachusetts","978","285","0","14","19","31","23","35","86","72","77","58","64","71","283","198","28","32","27","33","139","71","109","86","123","97",
"1500000US250250007014","Block Group 4; Census Tract 7.01; Suffolk County; Massachusetts","540","182","0","14","0","14","31","45","72","62","29","34","10","16","43","41","58","54","37","43","173","105","87","80","0","14",
"1500000US250250007031","Block Group 1; Census Tract 7.03; Suffolk County; Massachusetts","397","117","0","14","0","14","0","14","47","35","102","56","0","14","82","41","0","14","68","51","93","49","0","14","5","8",
"1500000US250250007032","Block Group 2; Census Tract 7.03; Suffolk County; Massachusetts","547","110","0","14","45","48","31","30","11","13","76","53","64","70","90","51","10","12","89","77","86","44","45","32","0","14",
"1500000US250250007041","Block Group 1; Census Tract 7.04; Suffolk County; Massachusetts","999","307","0","14","0","14","0","14","98","102","140","96","85","70","191","124","27","44","55","44","170","117","233","146","0","14",
"1500000US250250007042","Block Group 2; Census Tract 7.04; Suffolk County; Massachusetts","609","269","0","14","29","47","52","63","112","62","76","69","45","58","92","67","18","22","25","28","111","102","0","14","49","74",
"1500000US250250007043","Block Group 3; Census Tract 7.04; Suffolk County; Massachusetts","474","189","0","14","36","63","26","44","28","30","50","40","17","27","114","78","0","14","38","44","68","61","72","63","25","39",
"1500000US250250007044","Block Group 4; Census Tract 7.04; Suffolk County; Massachusetts","549","220","0","14","18","30","11","17","57","57","85","65","16","25","151","100","25","42","44","47","82","67","48","38","12","19",
"1500000US250250008041","Block Group 1; Census Tract 8.04; Suffolk County; Massachusetts","705","219","0","14","25","40","21","30","82","62","43","48","50","50","141","112","26","30","68","48","105","106","55","59","89","70",
"1500000US250250008042","Block Group 2; Census Tract 8.04; Suffolk County; Massachusetts","830","305","0","14","21","26","89","79","164","94","66","65","21","28","114","88","93","90","28","45","123","66","85","92","26","42",
"1500000US250250008051","Block Group 1; Census Tract 8.05; Suffolk County; Massachusetts","699","225","0","14","48","43","17","21","74","70","35","43","26","24","90","73","47","42","132","128","144","82","58","45","28","33",
"1500000US250250008052","Block Group 2; Census Tract 8.05; Suffolk County; Massachusetts","352","138","0","14","14","18","20","20","41","37","70","67","21","32","21","23","16","25","77","58","8","13","64","45","0","14",
"1500000US250250008053","Block Group 3; Census Tract 8.05; Suffolk County; Massachusetts","433","109","6","16","69","69","85","84","42","38","0","14","29","34","113","66","33","33","34","39","19","23","3","5","0","14",
"1500000US250250008061","Block Group 1; Census Tract 8.06; Suffolk County; Massachusetts","78","116","0","14","0","14","0","14","36","53","0","14","42","63","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US250250008062","Block Group 2; Census Tract 8.06; Suffolk County; Massachusetts","681","130","50","35","103","60","145","78","147","51","25","29","37","31","101","60","16","19","9","11","36","29","4","6","8","16",
"1500000US250250008063","Block Group 3; Census Tract 8.06; Suffolk County; Massachusetts","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US250250008071","Block Group 1; Census Tract 8.07; Suffolk County; Massachusetts","1130","212","132","98","225","140","311","108","202","133","59","81","57","63","36","51","17","36","18","37","55","61","18","38","0","14",
"1500000US250250101031","Block Group 1; Census Tract 101.03; Suffolk County; Massachusetts","200","98","0","14","29","37","41","52","56","45","22","22","6","9","13","17","0","14","0","14","27","23","6","10","0","14",
"1500000US250250101032","Block Group 2; Census Tract 101.03; Suffolk County; Massachusetts","311","115","41","37","75","82","81","63","48","45","20","26","0","14","27","30","2","4","0","14","0","14","17","27","0","14",
"1500000US250250101033","Block Group 3; Census Tract 101.03; Suffolk County; Massachusetts","526","163","57","39","93","42","120","73","107","101","29","26","0","14","57","34","20","21","0","14","16","25","23","20","4","7",
"1500000US250250101041","Block Group 1; Census Tract 101.04; Suffolk County; Massachusetts","596","137","14","17","53","54","34","33","100","68","100","58","59","41","118","65","16","21","41","45","14","17","38","49","9","14",
"1500000US250250101042","Block Group 2; Census Tract 101.04; Suffolk County; Massachusetts","920","169","151","120","218","82","101","52","126","60","102","59","23","32","102","72","42","34","31","29","24","25","0","14","0","14",
"1500000US250250101043","Block Group 3; Census Tract 101.04; Suffolk County; Massachusetts","416","154","26","33","79","64","17","21","57","43","31","34","31","29","100","69","0","14","8","13","67","59","0","14","0","14",
"1500000US250250102041","Block Group 1; Census Tract 102.04; Suffolk County; Massachusetts","399","117","28","28","72","53","67","41","74","52","41","49","21","22","84","59","3","6","0","14","9","17","0","14","0","14",
"1500000US250250102042","Block Group 2; Census Tract 102.04; Suffolk County; Massachusetts","522","144","11","14","138","122","80","50","53","33","61","40","25","25","77","48","5","9","7","11","22","17","7","13","36","74",
"1500000US250250102043","Block Group 3; Census Tract 102.04; Suffolk County; Massachusetts","447","103","0","14","37","36","147","101","84","38","36","31","12","14","37","32","0","14","31","31","46","17","9","14","8","11",
"1500000US250250102051","Block Group 1; Census Tract 102.05; Suffolk County; Massachusetts","358","223","1","3","0","14","52","71","49","61","40","44","18","21","61","74","0","14","130","169","6","11","0","14","1","2",
"1500000US250250102052","Block Group 2; Census Tract 102.05; Suffolk County; Massachusetts","725","379","0","14","11","20","87","75","86","86","84","93","0","14","110","146","0","14","260","313","68","81","19","26","0","14",
"1500000US250250102053","Block Group 3; Census Tract 102.05; Suffolk County; Massachusetts","606","203","0","14","47","54","76","72","141","87","84","79","18","29","180","83","10","18","39","47","11","17","0","14","0","14",
