Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250001001,602,210,1,3,9,15,0,12,157,101,29,31,0,12,149,79,44,38,82,69,62,52,59,47,10,15,1,1,Suffolk County,Massachusetts
1500000US250250001002,736,273,11,18,37,42,37,35,128,118,109,69,23,29,165,100,37,58,40,53,101,76,42,35,6,10,2,1,Suffolk County,Massachusetts
1500000US250250001003,233,99,12,21,40,45,29,37,8,14,27,25,21,21,39,50,25,29,0,12,24,28,8,11,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,437,208,0,12,49,47,27,25,86,68,30,30,48,52,75,79,59,62,18,22,11,17,34,43,0,12,4,1,Suffolk County,Massachusetts
1500000US250250002011,598,158,0,12,65,82,44,34,74,42,148,59,5,9,101,68,7,12,27,23,86,55,41,38,0,12,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,251,114,0,12,11,17,44,36,61,56,0,12,58,52,15,33,0,12,8,13,44,40,10,17,0,12,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,864,180,25,37,19,20,70,49,86,64,112,49,31,25,237,98,6,9,50,38,103,92,108,59,17,21,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,417,104,0,12,10,17,24,38,23,29,43,35,19,19,134,68,18,14,25,25,91,53,30,36,0,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,692,251,0,12,58,52,7,12,61,52,50,42,47,41,283,147,34,43,52,61,93,76,0,12,7,11,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,652,182,0,12,27,43,53,56,49,37,127,81,37,51,115,67,8,13,74,51,45,29,107,73,10,17,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,398,133,3,8,7,14,20,28,29,24,10,15,49,31,134,81,0,12,42,35,79,41,25,36,0,12,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,156,76,31,43,9,13,0,12,18,20,10,17,13,21,21,24,0,12,15,23,39,41,0,12,0,12,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,268,87,0,12,0,12,18,20,34,41,0,12,19,20,84,49,12,20,14,24,44,45,43,42,0,12,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,467,222,0,12,0,12,43,28,68,52,22,25,8,12,178,166,0,12,84,65,44,56,20,33,0,12,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,347,127,0,12,21,19,77,79,9,14,71,58,44,34,45,40,20,22,11,18,25,28,24,27,0,12,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,299,88,0,12,37,28,0,12,30,33,90,59,22,25,81,45,20,25,9,14,0,12,10,16,0,12,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,613,201,0,12,0,12,27,31,96,64,66,54,45,31,105,65,39,33,31,29,102,125,75,64,27,28,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,967,213,1,3,67,50,20,22,121,84,155,74,129,55,94,52,53,38,134,121,130,78,62,44,1,3,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,997,298,0,12,47,67,24,28,91,77,87,72,119,85,120,54,26,31,127,108,162,70,134,153,60,49,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,511,192,0,12,0,12,0,12,116,90,64,78,22,40,105,93,38,42,15,23,100,68,51,45,0,12,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,650,193,0,12,0,12,59,47,120,95,52,39,82,71,103,65,0,12,103,76,113,59,18,28,0,12,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,636,186,12,19,33,32,33,38,20,32,54,44,103,74,139,72,61,51,37,29,101,85,43,39,0,12,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,583,151,14,23,47,27,63,37,54,45,77,55,22,21,61,49,19,17,44,26,91,42,64,43,27,24,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,356,135,6,14,24,28,45,63,33,36,26,68,0,12,65,66,0,12,48,36,73,42,36,29,0,12,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,564,170,0,12,4,7,32,26,32,41,89,62,30,33,142,74,45,31,53,44,111,68,24,27,2,9,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,509,119,0,12,0,12,8,12,59,34,24,23,29,32,139,61,31,28,83,52,92,53,44,35,0,12,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,297,90,0,12,7,11,47,44,16,20,46,32,62,40,31,24,31,30,15,13,42,32,0,12,0,12,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,755,161,0,12,11,18,43,31,46,30,140,58,19,20,144,83,19,18,96,45,140,61,90,54,7,13,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1230,341,52,35,444,152,299,113,126,58,137,89,12,17,87,121,0,12,6,11,6,11,49,36,12,23,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,543,163,0,12,12,14,12,18,22,22,22,23,14,18,148,69,28,33,85,69,116,56,72,69,12,18,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,730,135,0,12,14,19,24,26,70,50,94,56,52,34,167,68,54,46,64,44,152,65,39,29,0,12,2,5.03,Suffolk County,Massachusetts
1500000US250250005041,524,180,0,12,0,12,16,25,35,36,0,12,42,53,106,80,18,29,39,38,152,94,116,106,0,12,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,518,176,0,12,0,12,22,37,44,43,88,86,52,40,182,121,34,41,22,27,40,34,34,33,0,12,2,5.04,Suffolk County,Massachusetts
1500000US250250005043,728,198,0,12,29,46,54,49,49,45,81,55,53,52,112,83,38,44,82,78,140,82,90,75,0,12,3,5.04,Suffolk County,Massachusetts
1500000US250250005044,363,232,0,12,0,12,0,12,19,30,55,88,23,38,149,173,15,24,32,34,35,42,35,44,0,12,4,5.04,Suffolk County,Massachusetts
1500000US250250006011,243,137,14,33,8,13,30,34,14,22,44,37,25,27,49,51,13,20,14,20,20,34,12,19,0,12,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,563,156,6,9,8,13,36,30,27,35,60,43,20,19,179,68,17,27,89,50,111,56,0,12,10,15,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,382,123,0,12,0,12,9,15,41,29,26,23,17,20,99,62,24,36,17,21,120,82,29,24,0,12,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,546,150,6,10,9,15,31,29,71,54,116,74,8,12,82,45,18,19,52,69,66,42,79,47,8,12,4,6.01,Suffolk County,Massachusetts
1500000US250250006021,867,201,0,12,16,19,60,38,123,69,116,58,96,58,219,89,19,21,53,38,103,57,52,42,10,11,1,6.02,Suffolk County,Massachusetts
1500000US250250006022,475,129,0,12,0,12,43,41,29,24,23,25,0,12,136,59,15,17,41,47,112,53,67,39,9,15,2,6.02,Suffolk County,Massachusetts
1500000US250250006023,415,140,0,12,9,13,96,65,23,28,0,12,4,6,136,89,8,13,0,12,73,66,34,26,32,30,3,6.02,Suffolk County,Massachusetts
1500000US250250007011,614,302,0,12,0,12,0,12,85,92,88,98,53,59,46,40,14,20,114,97,79,66,111,95,24,37,1,7.01,Suffolk County,Massachusetts
1500000US250250007012,96,70,0,12,11,15,0,12,0,12,21,18,0,12,56,64,0,12,8,12,0,12,0,12,0,12,2,7.01,Suffolk County,Massachusetts
1500000US250250007013,227,94,0,12,0,12,19,25,34,45,13,21,22,28,43,36,0,12,0,12,58,44,38,36,0,12,3,7.01,Suffolk County,Massachusetts
1500000US250250007014,407,210,0,12,0,12,14,22,0,12,92,101,16,26,111,95,68,54,45,43,44,51,17,24,0,12,4,7.01,Suffolk County,Massachusetts
1500000US250250007015,940,300,0,12,25,29,46,41,60,46,48,43,25,24,163,109,23,27,122,113,154,110,264,118,10,25,5,7.01,Suffolk County,Massachusetts
1500000US250250007031,541,96,32,35,25,13,54,44,31,25,97,36,37,26,66,44,0,12,11,16,89,36,92,63,7,12,1,7.03,Suffolk County,Massachusetts
1500000US250250007032,651,148,12,18,11,11,19,18,62,37,111,66,36,27,169,94,15,24,94,46,44,34,78,48,0,12,2,7.03,Suffolk County,Massachusetts
1500000US250250007041,1172,327,0,12,20,32,22,30,76,68,208,153,7,11,233,126,84,98,172,93,110,78,240,186,0,12,1,7.04,Suffolk County,Massachusetts
1500000US250250007042,442,189,0,12,0,12,82,117,71,70,45,48,0,12,101,80,21,26,28,34,84,48,10,16,0,12,2,7.04,Suffolk County,Massachusetts
1500000US250250007043,700,202,0,12,9,17,52,62,77,82,46,58,31,36,150,85,30,42,83,64,130,119,60,59,32,37,3,7.04,Suffolk County,Massachusetts
1500000US250250007044,336,111,0,12,0,12,0,12,26,40,46,51,3,25,49,52,13,21,73,86,54,52,72,72,0,12,4,7.04,Suffolk County,Massachusetts
1500000US250250008021,579,219,0,12,0,12,15,24,76,55,35,29,21,34,143,92,0,12,62,44,138,96,72,59,17,29,1,8.02,Suffolk County,Massachusetts
1500000US250250008022,1233,384,0,12,63,78,13,21,95,75,59,59,87,81,148,80,0,12,275,164,324,133,136,90,33,39,2,8.02,Suffolk County,Massachusetts
