Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250005062,874,326,0,13,0,13,8,13,98,64,46,50,35,44,147,96,89,108,49,68,337,164,65,56,0,13,2,5.06,Suffolk County,Massachusetts
1500000US250250006011,393,136,0,13,39,35,10,12,38,35,157,134,22,30,42,27,0,13,49,55,28,28,8,11,0,13,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,750,203,0,13,8,16,37,33,74,43,53,40,18,17,184,88,42,38,12,15,102,61,205,151,15,25,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,544,207,27,31,53,50,20,30,54,45,33,32,16,25,74,36,39,40,52,33,75,54,101,125,0,13,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,685,190,19,32,47,44,66,51,140,87,42,33,17,22,136,64,0,13,21,26,116,73,81,57,0,13,4,6.01,Suffolk County,Massachusetts
1500000US250250006031,687,240,0,13,36,41,99,148,111,98,66,60,0,13,124,91,0,13,35,50,176,102,40,52,0,13,1,6.03,Suffolk County,Massachusetts
1500000US250250006041,672,186,0,13,17,27,87,61,189,144,92,72,15,23,39,43,0,13,32,32,144,79,57,73,0,13,1,6.04,Suffolk County,Massachusetts
1500000US250250006042,483,182,0,13,21,33,0,13,75,53,67,57,10,17,70,59,98,95,64,53,68,45,0,13,10,22,2,6.04,Suffolk County,Massachusetts
1500000US250250007011,364,145,0,13,50,65,21,18,32,39,21,29,70,65,31,37,32,35,25,32,23,29,59,45,0,13,1,7.01,Suffolk County,Massachusetts
1500000US250250007012,311,143,0,13,0,13,16,26,0,13,0,13,19,28,57,57,30,24,53,51,120,81,16,24,0,13,2,7.01,Suffolk County,Massachusetts
1500000US250250007013,969,249,0,13,25,39,26,38,154,116,146,112,47,56,126,89,47,46,66,44,134,82,91,70,107,83,3,7.01,Suffolk County,Massachusetts
1500000US250250007014,732,256,0,13,3,6,30,44,83,71,81,84,0,13,35,41,143,110,24,37,210,116,123,104,0,13,4,7.01,Suffolk County,Massachusetts
1500000US250250007031,464,120,0,13,4,7,0,13,37,26,87,51,0,13,100,60,0,13,56,39,119,48,56,37,5,7,1,7.03,Suffolk County,Massachusetts
1500000US250250007032,448,123,0,13,15,17,26,26,4,12,71,46,37,34,102,50,14,16,70,69,73,48,36,26,0,13,2,7.03,Suffolk County,Massachusetts
1500000US250250007041,888,237,0,13,0,13,26,41,90,94,82,74,100,70,243,127,24,41,21,34,168,101,134,86,0,13,1,7.04,Suffolk County,Massachusetts
1500000US250250007042,590,184,0,13,29,47,56,73,23,26,58,50,62,58,101,78,19,21,31,26,132,72,52,58,27,32,2,7.04,Suffolk County,Massachusetts
1500000US250250007043,470,171,0,13,24,38,23,33,28,31,21,25,12,20,197,125,8,13,12,20,55,56,65,60,25,39,3,7.04,Suffolk County,Massachusetts
1500000US250250007044,687,183,0,13,19,31,9,15,103,112,60,40,15,24,153,88,34,40,77,62,48,46,46,38,123,134,4,7.04,Suffolk County,Massachusetts
1500000US250250008041,627,200,0,13,25,39,5,22,53,52,19,29,16,25,197,138,17,30,63,38,147,153,53,58,32,45,1,8.04,Suffolk County,Massachusetts
1500000US250250008042,1099,364,0,13,13,27,111,92,250,132,104,83,48,47,89,99,173,136,47,67,144,90,95,97,25,42,2,8.04,Suffolk County,Massachusetts
1500000US250250008051,635,238,0,13,40,48,17,21,53,66,0,13,15,23,121,94,42,36,130,136,174,118,37,45,6,11,1,8.05,Suffolk County,Massachusetts
1500000US250250008052,343,131,0,13,16,22,20,24,32,36,22,25,11,17,48,42,18,28,122,82,9,16,45,38,0,13,2,8.05,Suffolk County,Massachusetts
1500000US250250008053,555,182,13,26,20,28,100,102,129,51,16,25,71,40,86,60,23,28,34,39,63,41,0,13,0,13,3,8.05,Suffolk County,Massachusetts
1500000US250250008061,78,117,0,13,0,13,0,13,35,53,0,13,43,64,0,13,0,13,0,13,0,13,0,13,0,13,1,8.06,Suffolk County,Massachusetts
1500000US250250008062,798,176,74,46,121,60,172,99,151,53,49,42,46,42,118,72,14,17,4,6,36,32,4,6,9,18,2,8.06,Suffolk County,Massachusetts
1500000US250250008063,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,3,8.06,Suffolk County,Massachusetts
1500000US250250008071,1301,332,142,107,274,150,313,173,238,137,107,110,75,88,38,47,18,36,32,63,32,63,32,63,0,13,1,8.07,Suffolk County,Massachusetts
1500000US250250101031,294,121,0,13,42,44,62,71,66,63,21,19,7,11,31,32,16,18,0,13,29,22,20,24,0,13,1,101.03,Suffolk County,Massachusetts
1500000US250250101032,347,158,45,41,71,102,113,90,50,64,14,13,6,12,34,44,8,12,0,13,0,13,6,12,0,13,2,101.03,Suffolk County,Massachusetts
1500000US250250101033,551,137,80,59,120,57,110,58,68,43,42,29,3,6,57,44,22,19,0,13,19,28,26,29,4,7,3,101.03,Suffolk County,Massachusetts
1500000US250250101041,586,129,16,18,34,43,66,51,111,69,58,42,39,33,136,65,34,26,55,36,19,21,9,22,9,15,1,101.04,Suffolk County,Massachusetts
1500000US250250101042,1009,229,76,62,200,103,143,79,188,110,109,70,49,47,107,74,68,53,32,30,37,34,0,13,0,13,2,101.04,Suffolk County,Massachusetts
1500000US250250101043,406,159,30,31,99,86,31,35,78,53,39,43,9,14,75,61,0,13,8,12,37,45,0,13,0,13,3,101.04,Suffolk County,Massachusetts
1500000US250250102041,496,161,38,38,121,98,89,52,53,38,26,21,39,35,69,52,5,9,0,13,38,40,18,22,0,13,1,102.04,Suffolk County,Massachusetts
1500000US250250102042,535,205,15,19,109,89,134,82,62,54,86,64,20,20,80,52,6,12,4,9,16,15,3,5,0,13,2,102.04,Suffolk County,Massachusetts
1500000US250250102043,427,115,0,13,31,30,162,109,77,34,35,29,26,21,36,27,0,13,9,13,43,17,0,13,8,12,3,102.04,Suffolk County,Massachusetts
1500000US250250102051,514,261,1,2,30,49,56,79,74,71,88,67,6,9,123,122,0,13,128,163,7,11,0,13,1,2,1,102.05,Suffolk County,Massachusetts
1500000US250250102052,784,355,0,13,28,30,157,88,83,81,62,78,0,13,96,124,0,13,260,311,75,77,23,29,0,13,2,102.05,Suffolk County,Massachusetts
1500000US250250102053,531,191,0,13,22,35,92,76,124,79,87,82,0,13,176,87,0,13,19,32,11,17,0,13,0,13,3,102.05,Suffolk County,Massachusetts
1500000US250250102054,389,161,0,13,0,13,25,30,162,109,29,34,15,24,97,87,0,13,51,50,0,13,10,18,0,13,4,102.05,Suffolk County,Massachusetts
1500000US250250102061,889,389,27,44,42,67,226,205,86,85,261,225,46,66,173,171,0,13,0,13,28,34,0,13,0,13,1,102.06,Suffolk County,Massachusetts
1500000US250250102062,266,143,7,12,38,47,53,45,27,32,141,122,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2,102.06,Suffolk County,Massachusetts
1500000US250250103001,425,162,37,33,196,141,34,35,73,50,4,6,0,13,34,34,19,26,0,13,8,17,20,28,0,13,1,103,Suffolk County,Massachusetts
1500000US250250103002,1697,438,122,74,594,246,358,139,216,92,102,91,45,35,86,49,55,56,23,21,32,25,43,41,21,30,2,103,Suffolk County,Massachusetts
1500000US250250104031,539,150,42,23,62,64,14,22,221,132,71,82,0,13,23,27,11,18,28,38,27,31,40,47,0,13,1,104.03,Suffolk County,Massachusetts
1500000US250250104032,490,330,0,13,21,35,242,254,91,91,50,51,11,18,39,52,9,14,0,13,14,22,13,21,0,13,2,104.03,Suffolk County,Massachusetts
1500000US250250104033,291,123,0,13,0,13,29,23,24,42,84,61,0,13,29,34,0,13,19,23,24,40,49,46,33,30,3,104.03,Suffolk County,Massachusetts
1500000US250250104041,458,151,62,50,63,47,165,89,23,29,39,40,13,14,29,33,23,37,0,13,23,22,9,18,9,18,1,104.04,Suffolk County,Massachusetts
1500000US250250104042,353,107,32,39,45,42,87,53,0,13,55,45,29,30,53,42,15,20,9,19,16,25,12,24,0,13,2,104.04,Suffolk County,Massachusetts
1500000US250250104043,455,214,0,13,81,98,95,68,88,60,30,31,8,9,79,54,25,35,0,13,36,32,4,6,9,14,3,104.04,Suffolk County,Massachusetts
1500000US250250104044,309,108,0,13,0,13,12,13,41,49,54,36,10,11,100,40,0,13,0,13,38,34,54,44,0,13,4,104.04,Suffolk County,Massachusetts
1500000US250250104051,1248,264,149,97,310,115,127,62,109,73,123,77,11,23,146,99,59,48,18,34,113,80,69,49,14,15,1,104.05,Suffolk County,Massachusetts
1500000US250250104052,918,227,80,57,115,67,139,62,189,93,121,60,96,101,103,49,8,9,15,22,25,27,15,16,12,23,2,104.05,Suffolk County,Massachusetts
1500000US250250104053,146,57,0,13,0,13,22,21,38,37,16,19,2,5,35,32,0,13,13,12,10,11,4,7,6,9,3,104.05,Suffolk County,Massachusetts
1500000US250250104081,848,123,37,36,51,43,115,88,143,42,153,50,16,13,120,54,45,30,38,22,76,35,33,23,21,26,1,104.08,Suffolk County,Massachusetts
1500000US250250105001,301,107,10,20,56,44,95,59,17,21,43,33,24,26,29,25,5,8,0,13,8,14,14,16,0,13,1,105,Suffolk County,Massachusetts
1500000US250250105002,328,117,0,13,8,10,28,25,72,67,42,29,20,21,58,39,17,27,6,9,34,51,33,44,10,15,2,105,Suffolk County,Massachusetts
1500000US250250105003,536,155,35,40,41,59,60,53,79,46,69,39,13,23,118,87,20,31,39,53,39,42,23,20,0,13,3,105,Suffolk County,Massachusetts
1500000US250250106001,552,212,53,78,31,48,42,65,75,50,118,126,79,78,72,41,14,16,34,32,25,28,9,15,0,13,1,106,Suffolk County,Massachusetts
1500000US250250106002,618,166,50,78,48,51,88,60,86,50,177,97,9,13,59,48,27,33,20,22,0,13,54,54,0,13,2,106,Suffolk County,Massachusetts
1500000US250250106003,326,118,0,13,23,26,32,36,105,91,54,53,37,42,44,41,14,23,9,14,8,14,0,13,0,13,3,106,Suffolk County,Massachusetts
1500000US250250107011,454,117,18,27,57,51,48,38,42,34,96,71,20,22,45,30,33,33,40,36,26,33,0,13,29,35,1,107.01,Suffolk County,Massachusetts
1500000US250250107012,425,152,53,63,59,55,51,65,15,15,50,42,33,39,95,47,32,25,17,16,20,23,0,13,0,13,2,107.01,Suffolk County,Massachusetts
1500000US250250107013,482,151,0,13,0,13,43,32,115,98,86,47,32,30,124,65,46,46,4,7,0,13,20,33,12,17,3,107.01,Suffolk County,Massachusetts
1500000US250250107021,455,119,0,13,34,34,65,38,28,30,44,29,71,49,25,24,105,79,34,34,34,33,5,8,10,16,1,107.02,Suffolk County,Massachusetts
1500000US250250107022,343,107,15,25,41,36,50,39,47,36,39,30,41,41,49,41,0,13,30,34,31,29,0,13,0,13,2,107.02,Suffolk County,Massachusetts
1500000US250250107023,463,127,12,19,57,70,58,44,47,59,54,43,74,46,88,54,12,19,28,26,33,22,0,13,0,13,3,107.02,Suffolk County,Massachusetts
1500000US250250108011,468,109,6,11,26,26,59,42,125,63,78,66,61,35,93,69,0,13,0,13,14,17,6,12,0,13,1,108.01,Suffolk County,Massachusetts
1500000US250250108012,518,179,0,13,17,20,81,52,137,115,131,76,35,32,67,46,25,23,16,16,8,12,0,13,1,4,2,108.01,Suffolk County,Massachusetts
1500000US250250108013,504,134,0,13,5,8,144,72,47,41,85,42,38,24,140,75,8,12,11,16,6,10,20,23,0,13,3,108.01,Suffolk County,Massachusetts
1500000US250250108021,891,257,103,95,48,46,198,223,71,47,94,76,75,44,195,138,31,33,45,54,0,13,9,14,22,24,1,108.02,Suffolk County,Massachusetts
1500000US250250108022,585,108,0,13,21,20,55,38,70,47,144,64,55,35,117,57,29,29,27,20,15,18,52,38,0,13,2,108.02,Suffolk County,Massachusetts
1500000US250250108023,359,112,0,13,36,39,34,36,31,24,106,60,41,39,55,38,8,11,38,28,0,13,10,17,0,13,3,108.02,Suffolk County,Massachusetts
1500000US250250201011,270,122,54,64,0,13,13,22,70,80,25,28,57,73,13,21,0,13,12,19,13,20,0,13,13,20,1,201.01,Suffolk County,Massachusetts
1500000US250250201012,500,226,120,189,16,26,48,40,21,33,164,89,13,15,85,84,0,13,10,16,0,13,0,13,23,28,2,201.01,Suffolk County,Massachusetts
1500000US250250201013,645,221,0,13,127,71,133,108,193,150,47,32,11,20,80,64,13,20,0,13,41,63,0,13,0,13,3,201.01,Suffolk County,Massachusetts
1500000US250250201014,462,184,0,13,133,99,18,30,43,50,132,77,60,63,55,68,10,17,11,17,0,13,0,13,0,13,4,201.01,Suffolk County,Massachusetts
1500000US250250202001,623,197,0,13,71,85,109,91,77,60,66,47,132,84,77,68,10,16,41,55,40,41,0,13,0,13,1,202,Suffolk County,Massachusetts
1500000US250250202002,574,176,33,51,70,56,43,31,121,63,94,69,63,53,92,70,18,30,9,15,15,19,0,13,16,24,2,202,Suffolk County,Massachusetts
1500000US250250202003,778,287,32,49,51,47,48,41,111,62,264,209,65,54,118,88,0,13,46,50,25,29,18,28,0,13,3,202,Suffolk County,Massachusetts
1500000US250250203011,1075,245,63,46,116,53,188,141,200,87,58,32,137,86,192,94,0,13,79,55,34,42,8,14,0,13,1,203.01,Suffolk County,Massachusetts
1500000US250250203021,541,82,0,13,48,28,81,56,60,34,155,50,39,28,66,33,25,23,23,17,13,14,31,30,0,13,1,203.02,Suffolk County,Massachusetts
1500000US250250203041,615,178,0,13,24,29,100,77,59,51,162,94,74,61,111,70,35,40,0,13,9,15,41,40,0,13,1,203.04,Suffolk County,Massachusetts
1500000US250250203042,146,102,0,13,0,13,56,56,14,24,8,13,9,15,26,40,0,13,33,50,0,13,0,13,0,13,2,203.04,Suffolk County,Massachusetts
1500000US250250203051,357,172,0,13,44,71,15,25,38,43,31,36,81,66,83,90,0,13,0,13,58,74,7,11,0,13,1,203.05,Suffolk County,Massachusetts
1500000US250250203052,1276,195,59,68,92,55,56,45,294,153,390,199,96,89,176,82,13,20,27,28,59,46,0,13,14,22,2,203.05,Suffolk County,Massachusetts
