Zip,City,SRO, 0 BR, 1BR, 2BR, 3BR, 4BR, 5BR, 6BR, 7 BR, 8 BR,avg_per_bed
1824,Chelmsford,1441,1922,2080,2594,3141,3456,3973,4492,5010,5529,1128.9006613756615
1810,Andover,1347,1796,2058,2657,3224,3539,4069,4601,5131,5662,1129.2555555555555
1845,North Andover,1441,1922,2100,2709,3287,3612,4154,4696,5238,5780,1162.1576719576722
1756,Mendon,1441,1922,2079,2499,3402,3749,4311,4874,5435,5998,1169.162433862434
1985,West Newbury,1402,1869,2132,2751,3339,3665,4214,4764,5313,5864,1170.5055555555555
2766,Norton,1403,1870,2101,2762,3487,3729,4287,4847,5406,5966,1181.094708994709
2767,Raynham,1488,1985,1999,2625,3175,3935,4525,5115,5705,6295,1188.662037037037
2356,Easton ,1488,1985,1999,2625,3175,3935,4525,5115,5705,6295,1188.662037037037
2356,North Easton ,1488,1985,1999,2625,3175,3935,4525,5115,5705,6295,1188.662037037037
1772,Southborough,1529,2038,2185,2678,3330,3666,4215,4765,5314,5865,1190.8816137566137
1960,Peabody,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1905,Lynn,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1904,Lynn,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1930,Gloucester,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1902,Lynn,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2370,Rockland,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1901,Lynn,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1752,Marlborough,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2019,Bellingham,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2368,Randolph,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1801,Woburn,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2191,North Weymouth,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2045,Hull,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2558,Onset,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2151,Revere,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2360,Plymouth,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1754,Maynard,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1432,Ayer,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1701,Framingham,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2188,Weymouth,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2472,Watertown,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2571,Wareham,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2453,Waltham,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2452,Waltham,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2451,Waltham,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1803,Burlington,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2072,Stoughton,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1702,Framingham,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2150,Chelsea,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2190,South Weymouth,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1923,Danvers,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2330,Carver,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2149,Everett,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1970,Salem,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1906,Saugus,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2155,Medford,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2538,East Wareham,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
2189,East Weymouth,1577,2102,2259,2686,3248,3578,4114,4650,5187,5724,1192.8296296296296
1833,Georgetown,1441,1922,2185,2825,3435,3760,4324,4888,5452,6016,1201.6470899470899
2375,South Easton,1560,2079,2090,2751,3329,4127,4745,5365,5983,6603,1245.4636243386242
2125,Boston - Dorchester,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603
2121,Boston - Dorchester / Roxbury,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603
2128,Boston - East Boston,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603
