stop_id,stop_name,zipcode,neighborhood,latitude,longitude
place-dwnxg,Downtown Crossing,02110,Downtown,42.355518,-71.060225
place-fenwd,Fenwood Road,02115,Longwood,42.333706,-71.105728
place-fenwy,Fenway,02215,Fenway,42.345403,-71.104213
place-fldcr,Fields Corner,02122,Dorchester,42.300093,-71.061667
place-forhl,Forest Hills,02130,Jamaica Plain,42.300713,-71.113943
place-gover,Government Center,02114,West End,42.359705,-71.059215
place-grigg,Griggs Street,02134,Allston,42.348545,-71.134949
place-grnst,Green Street,02130,Jamaica Plain,42.310525,-71.107414
place-haecl,Haymarket,02114,West End,42.363021,-71.05829
place-harsq,Harvard,02138,Strawberry Hill,42.373362,-71.118956
place-harvd,Harvard Avenue,02134,Allston,42.350243,-71.131355
place-hsmnl,Heath Street,02130,Jamaica Plain,42.328316,-71.110252
place-hymnl,Hynes Convention Center,02115,Longwood,42.347888,-71.087903
place-jaksn,Jackson Square,02119,Roxbury,42.323132,-71.099592
place-jfk,JFK/UMass,02125,Dorchester,42.320685,-71.052391
place-kencl,Kenmore,02215,Fenway,42.348949,-71.095169
place-lake,Boston College,02135,Brighton,42.340081,-71.166769
place-lech,Lechmere,02141,Wellington-Harrington,42.371572,-71.076584
place-lngmd,Longwood Medical Area,02115,Longwood,42.33596,-71.100052
place-masta,Massachusetts Avenue,02115,Longwood,42.341512,-71.083423
place-matt,Mattapan,02126,Mattapan,42.26762,-71.092486
place-mfa,Museum of Fine Arts,02115,Longwood,42.337711,-71.095512
place-mispk,Mission Park,02115,Longwood,42.333195,-71.109756
place-mvbcl,Maverick,02128,East Boston,42.369119,-71.03953
place-north,North Station,02114,West End,42.365577,-71.06129
place-nuniv,Northeastern University,02115,Longwood,42.340401,-71.088806
place-orhte,Orient Heights,02128,East Boston,42.386867,-71.004736
place-pktrm,Park Street,02116,Back Bay,42.356395,-71.062424
place-portr,Porter,02140,North Cambridge,42.3884,-71.119149
place-prmnl,Prudential,02199,Downtown,42.34557,-71.081696
place-rcmnl,Roxbury Crossing,02120,Mission Hill,42.331397,-71.095451
place-rugg,Ruggles,02115,Longwood,42.336377,-71.088961
place-rvrwy,Riverway,02130,Jamaica Plain,42.331684,-71.111931
place-sbmnl,Stony Brook,02130,Jamaica Plain,42.317062,-71.104248
place-sdmnl,Suffolk Downs,02128,East Boston,42.390501,-70.997123
place-shmnl,Savin Hill,02125,Dorchester,42.31129,-71.053331
place-smmnl,Shawmut,02124,Dorchester,42.293126,-71.065738
place-sougr,South Street,02135,Brighton,42.3396,-71.157661
place-spmnl,Science Park/West End,02114,West End,42.366664,-71.067666
place-sstat,South Station,02111,Chinatown,42.352271,-71.055242
place-state,State,02109,Downtown,42.358978,-71.057598
place-sthld,Sutherland Road,02135,Brighton,42.341614,-71.146202
place-sull,Sullivan Square,02129,Charlestown,42.383975,-71.076994
place-symcl,Symphony,02115,Longwood,42.342687,-71.085056
place-tumnl,Tufts Medical Center,02111,Chinatown,42.349662,-71.063917
place-wascm,Washington Street,02135,Brighton,42.343864,-71.142853
place-wimnl,Wood Island,02128,East Boston,42.37964,-71.022865
place-wrnst,Warren Street,02135,Brighton,42.348343,-71.140457
