Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250251010013,279,154,0,12,21,35,23,38,12,22,82,88,0,12,16,26,45,51,0,12,11,17,69,82,0,12,3,1010.01,Suffolk County,Massachusetts
1500000US250251010014,231,145,18,30,0,12,0,12,16,26,81,67,0,12,60,75,17,26,0,12,0,12,39,63,0,12,4,1010.01,Suffolk County,Massachusetts
1500000US250251010015,635,326,25,45,0,12,0,12,104,126,64,66,0,12,133,212,0,12,37,59,50,57,147,87,75,125,5,1010.01,Suffolk County,Massachusetts
1500000US250251010016,500,188,0,12,0,12,64,76,27,33,38,43,55,46,103,76,0,12,71,72,46,59,0,12,96,90,6,1010.01,Suffolk County,Massachusetts
1500000US250251010021,347,195,0,12,0,12,0,12,0,12,16,27,0,12,0,12,18,31,53,71,88,75,134,81,38,56,1,1010.02,Suffolk County,Massachusetts
1500000US250251010022,819,295,0,12,0,12,64,77,53,69,163,90,146,153,88,95,11,20,58,55,59,66,156,118,21,36,2,1010.02,Suffolk County,Massachusetts
1500000US250251010023,646,230,0,12,0,12,52,52,68,66,9,17,34,38,131,97,61,76,16,26,121,111,81,52,73,68,3,1010.02,Suffolk County,Massachusetts
1500000US250251011011,409,208,0,12,9,15,0,12,0,12,53,44,19,31,119,128,0,12,0,12,79,51,112,103,18,30,1,1011.01,Suffolk County,Massachusetts
1500000US250251011012,659,254,0,12,0,12,87,108,50,78,132,106,0,12,91,93,0,12,60,64,19,30,123,83,97,82,2,1011.01,Suffolk County,Massachusetts
1500000US250251011013,800,270,0,12,51,49,63,56,80,59,96,74,64,40,218,113,0,12,10,17,115,92,96,71,7,15,3,1011.01,Suffolk County,Massachusetts
1500000US250251011021,375,122,0,12,17,22,34,39,27,24,19,21,0,12,60,53,43,35,41,40,52,45,73,48,9,14,1,1011.02,Suffolk County,Massachusetts
1500000US250251011022,506,180,3,7,19,29,47,39,33,32,52,44,34,35,108,68,29,46,42,46,10,16,111,84,18,29,2,1011.02,Suffolk County,Massachusetts
1500000US250251011023,404,150,0,12,0,12,34,44,21,33,57,51,35,39,88,59,10,16,27,33,86,61,25,37,21,33,3,1011.02,Suffolk County,Massachusetts
1500000US250251011024,749,232,0,12,27,43,18,30,9,16,44,39,72,57,207,138,63,55,56,62,71,63,146,84,36,41,4,1011.02,Suffolk County,Massachusetts
1500000US250251101031,424,126,0,12,0,12,0,12,51,58,21,24,113,90,79,43,29,34,11,19,84,57,36,35,0,12,1,1101.03,Suffolk County,Massachusetts
1500000US250251101032,467,234,0,12,24,40,0,12,15,24,84,64,27,33,140,78,17,27,11,18,102,78,0,12,47,42,2,1101.03,Suffolk County,Massachusetts
1500000US250251101033,124,84,0,12,0,12,0,12,0,12,26,44,0,12,6,11,37,58,17,26,7,11,31,51,0,12,3,1101.03,Suffolk County,Massachusetts
1500000US250251101034,268,159,0,12,37,58,0,12,20,30,91,94,0,12,85,93,0,12,0,12,13,21,22,40,0,12,4,1101.03,Suffolk County,Massachusetts
1500000US250251101035,1275,275,0,12,0,12,46,54,66,50,166,107,59,49,453,168,123,85,32,38,138,94,175,88,17,25,5,1101.03,Suffolk County,Massachusetts
1500000US250251101036,541,258,0,12,0,12,73,75,46,44,68,71,58,51,83,84,42,68,68,73,71,86,32,37,0,12,6,1101.03,Suffolk County,Massachusetts
1500000US250251101037,216,173,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,53,85,112,101,51,65,0,12,7,1101.03,Suffolk County,Massachusetts
1500000US250251102011,1114,173,16,20,30,30,50,29,135,63,139,77,50,36,199,104,31,41,111,59,174,86,108,57,71,45,1,1102.01,Suffolk County,Massachusetts
1500000US250251103011,517,196,0,12,0,12,6,10,114,57,70,49,11,17,60,52,93,114,82,84,61,46,16,24,4,6,1,1103.01,Suffolk County,Massachusetts
1500000US250251103012,848,178,33,46,64,58,27,26,36,29,120,65,60,47,168,75,72,41,56,38,131,56,61,37,20,20,2,1103.01,Suffolk County,Massachusetts
1500000US250251104011,932,222,0,12,36,37,39,38,78,67,113,74,59,47,191,103,0,12,148,83,159,72,91,55,18,29,1,1104.01,Suffolk County,Massachusetts
1500000US250251104012,1087,277,0,12,71,73,56,49,119,76,160,143,33,33,165,113,49,36,162,91,202,106,47,41,23,27,2,1104.01,Suffolk County,Massachusetts
1500000US250251104031,541,173,0,12,0,12,31,35,8,12,25,19,61,54,112,78,17,23,55,47,146,158,86,73,0,12,1,1104.03,Suffolk County,Massachusetts
1500000US250251104032,438,205,0,12,0,12,0,12,110,75,27,24,45,59,144,77,6,10,30,29,38,37,28,24,10,17,2,1104.03,Suffolk County,Massachusetts
1500000US250251104033,244,134,0,12,0,12,0,12,34,31,7,11,38,57,84,77,22,26,14,21,28,26,17,27,0,12,3,1104.03,Suffolk County,Massachusetts
1500000US250251104034,635,204,0,12,0,12,38,46,43,44,112,64,50,65,172,90,21,24,43,41,97,55,59,41,0,12,4,1104.03,Suffolk County,Massachusetts
1500000US250251104035,590,186,0,12,98,72,62,46,178,121,22,26,9,15,92,55,0,12,23,22,17,27,89,80,0,12,5,1104.03,Suffolk County,Massachusetts
