Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250001001,1039,293,16,24,92,68,18,21,257,137,146,133,0,12,199,86,42,37,127,93,65,48,67,49,10,15,1,1,Suffolk County,Massachusetts
1500000US250250001002,803,227,0,12,46,47,26,22,169,105,58,38,26,32,258,92,49,53,45,45,107,69,15,17,4,8,2,1,Suffolk County,Massachusetts
1500000US250250001003,406,143,0,12,32,36,28,26,49,33,101,65,42,36,73,43,9,14,12,21,41,41,19,23,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,835,293,0,12,37,33,19,29,106,74,63,43,61,51,282,230,23,22,94,58,94,70,56,39,0,12,4,1,Suffolk County,Massachusetts
1500000US250250002011,840,174,0,12,68,86,43,39,77,54,87,47,32,33,200,111,70,70,25,27,123,70,96,49,19,19,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,481,189,0,12,0,12,72,77,69,57,10,15,74,56,145,86,6,11,33,24,44,30,28,25,0,12,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,831,170,0,12,25,20,137,73,86,80,101,58,42,26,224,88,31,24,71,55,50,28,52,34,12,29,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,594,211,0,12,21,31,24,37,15,16,42,27,12,18,273,181,41,34,40,29,87,49,39,39,0,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,977,214,11,16,92,65,22,24,53,51,74,48,73,77,238,116,61,58,127,73,185,67,28,29,13,19,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,767,197,0,12,9,14,84,60,37,31,115,68,98,73,143,89,27,41,92,70,84,43,78,65,0,12,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,430,149,0,12,0,12,87,77,17,15,27,29,12,19,167,99,0,12,44,35,41,27,9,22,26,39,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,176,96,22,32,26,32,7,10,38,46,10,12,0,12,41,44,0,12,13,21,19,22,0,12,0,12,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,505,217,31,48,0,12,0,12,126,86,39,47,17,23,124,82,24,26,45,73,44,41,55,45,0,12,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,496,201,0,12,18,29,53,30,62,60,108,93,9,15,142,143,0,12,34,32,49,51,15,27,6,11,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,467,220,0,12,25,25,80,50,26,29,5,7,11,17,69,50,47,42,116,135,42,40,46,41,0,12,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,458,183,0,12,51,39,13,20,30,29,78,49,54,58,96,55,28,28,10,16,83,111,9,15,6,9,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,1109,279,0,12,0,12,29,31,111,72,160,115,100,66,188,93,129,95,51,44,170,152,125,87,46,44,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,826,203,0,12,32,33,104,65,66,55,132,87,45,36,202,88,37,36,83,62,59,42,56,48,10,15,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,939,217,0,12,60,82,10,16,66,48,120,87,37,36,186,116,75,49,84,62,157,125,68,46,76,53,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,840,318,0,12,27,25,16,25,82,81,78,86,67,65,135,83,0,12,28,32,275,180,121,82,11,18,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,594,172,40,44,17,27,34,43,31,41,49,40,83,44,131,72,4,11,57,65,81,62,67,54,0,12,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,962,325,15,24,9,17,14,22,71,95,316,233,49,57,96,67,34,39,60,50,191,152,107,59,0,12,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,660,145,12,20,26,23,27,26,56,44,65,52,37,30,165,69,18,19,53,37,70,38,95,52,36,28,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,517,122,6,12,55,39,16,13,47,32,54,52,10,20,146,85,9,15,51,36,67,38,56,47,0,12,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,770,185,37,47,32,34,30,27,15,17,117,71,97,72,140,61,27,33,53,48,168,63,45,36,9,16,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,572,89,0,12,8,13,25,17,46,29,124,47,32,33,131,70,19,18,68,39,96,54,23,24,0,12,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,503,127,0,12,33,35,53,33,62,34,49,46,77,52,91,43,23,20,16,18,64,39,35,27,0,12,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,842,120,0,12,5,8,45,30,123,51,88,42,46,32,113,53,36,26,123,67,146,55,117,57,0,12,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1038,213,39,40,361,114,284,117,176,94,51,48,16,32,10,18,20,29,13,26,20,30,48,40,0,12,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,446,84,0,12,33,29,11,16,19,20,16,18,29,29,132,52,5,8,61,44,92,41,38,41,10,15,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,966,112,0,12,23,24,11,15,64,51,230,89,11,14,184,64,71,45,108,54,175,62,89,40,0,12,2,5.03,Suffolk County,Massachusetts
1500000US250250005041,801,260,46,74,29,34,96,84,16,27,99,90,62,49,150,77,33,40,63,53,105,92,82,91,20,31,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,562,180,0,12,0,12,0,12,0,12,93,86,82,61,115,78,9,16,40,40,99,69,85,70,39,63,2,5.04,Suffolk County,Massachusetts
