Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250001001,843,224,1,4,40,46,8,13,200,110,128,113,0,12,154,83,44,37,106,80,81,61,70,51,11,17,1,1,Suffolk County,Massachusetts
1500000US250250001002,725,240,11,17,47,51,28,27,91,55,84,41,27,35,185,83,34,54,80,79,96,61,37,31,5,9,2,1,Suffolk County,Massachusetts
1500000US250250001003,281,118,7,14,37,42,15,16,27,19,35,30,29,29,56,52,28,31,8,15,28,31,11,17,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,447,142,0,12,53,40,25,18,70,51,34,29,52,48,74,67,9,14,51,37,32,25,47,45,0,12,4,1,Suffolk County,Massachusetts
1500000US250250002011,634,191,0,12,55,77,62,49,79,60,120,70,6,10,149,80,6,10,31,26,75,51,51,41,0,12,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,384,182,0,12,11,18,108,90,41,40,0,12,72,53,76,78,0,12,14,19,46,40,16,19,0,12,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,931,199,0,12,21,24,132,70,99,110,133,63,44,33,216,89,9,10,45,33,124,96,86,51,22,31,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,424,155,0,12,10,16,0,12,9,13,33,26,20,22,166,99,46,46,33,28,73,46,34,39,0,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,700,226,0,12,43,42,12,15,41,43,65,43,33,32,253,132,41,44,63,59,121,76,28,30,0,12,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,729,166,0,12,25,39,71,64,48,34,149,79,69,54,94,67,30,35,78,56,52,34,104,67,9,16,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,381,125,4,9,0,12,29,35,28,27,10,16,26,27,148,81,0,12,37,34,80,47,19,31,0,12,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,190,82,27,40,35,34,0,12,21,22,0,12,12,20,31,29,0,12,31,33,33,30,0,12,0,12,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,330,119,0,12,0,12,16,19,42,36,38,43,23,25,99,58,23,26,0,12,47,30,42,47,0,12,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,513,212,0,12,21,32,71,36,77,58,39,30,2,5,175,167,0,12,70,59,44,55,14,23,0,12,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,278,117,0,12,24,20,35,43,26,30,60,49,32,30,30,35,10,15,27,31,12,20,22,26,0,12,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,313,83,0,12,41,32,15,24,15,24,91,53,0,12,109,51,14,18,9,14,0,12,11,18,8,12,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,740,195,0,12,0,12,21,27,111,67,143,92,67,51,107,65,45,32,27,25,121,134,48,49,50,35,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,957,236,0,12,67,51,57,35,126,84,159,80,74,47,151,75,39,34,129,136,70,46,76,55,9,12,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,794,195,0,12,37,54,26,32,83,64,90,72,113,86,96,51,53,43,69,51,104,67,56,62,67,54,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,473,196,0,12,8,12,0,12,115,90,62,82,19,36,107,81,0,12,16,25,89,71,44,39,13,22,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,734,222,15,25,15,25,81,55,96,96,81,49,125,71,101,67,0,12,99,73,103,65,18,29,0,12,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,626,216,13,21,0,12,32,39,80,84,43,42,85,61,95,63,52,50,41,29,103,91,82,57,0,12,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,623,140,14,22,45,29,59,36,50,34,72,59,40,28,79,53,30,21,46,27,58,32,100,62,30,27,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,412,150,7,14,32,35,7,11,19,26,47,61,0,12,110,70,0,12,78,50,67,38,45,41,0,12,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,689,159,0,12,13,18,27,25,20,22,142,81,31,34,164,73,41,28,56,50,103,73,90,53,2,13,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,538,87,0,12,0,12,16,18,70,41,22,21,45,35,151,64,34,29,76,40,108,59,16,17,0,12,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,444,100,0,12,16,18,59,48,48,33,41,26,104,58,71,36,9,13,17,14,62,39,17,18,0,12,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,828,127,0,12,6,9,43,29,90,47,127,54,27,25,121,56,18,18,109,48,151,60,127,63,9,14,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1130,203,63,43,390,129,254,99,194,87,71,60,10,20,39,40,23,34,8,17,16,23,62,44,0,12,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,491,144,0,12,26,25,11,17,25,25,11,12,13,18,156,71,9,17,61,51,93,48,72,81,14,23,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,830,148,0,12,20,19,18,21,63,43,138,72,41,24,203,87,44,41,67,40,187,70,49,31,0,12,2,5.03,Suffolk County,Massachusetts
1500000US250250005041,563,184,42,63,0,12,16,27,31,36,12,21,40,51,110,81,13,23,46,42,92,58,147,133,14,22,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,538,134,0,12,0,12,22,34,31,35,95,76,39,36,160,98,10,17,40,39,60,45,81,45,0,12,2,5.04,Suffolk County,Massachusetts
1500000US250250005043,879,226,0,12,23,36,59,54,79,46,121,79,96,61,99,71,44,41,89,60,158,89,111,82,0,12,3,5.04,Suffolk County,Massachusetts
1500000US250250005044,356,207,0,12,0,12,0,12,19,29,62,99,24,38,136,147,14,23,29,37,35,40,37,45,0,12,4,5.04,Suffolk County,Massachusetts
1500000US250250006011,316,161,15,35,0,12,25,26,16,18,74,52,29,35,82,66,12,21,31,30,20,36,12,19,0,12,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,649,136,5,9,0,12,54,38,53,43,54,37,34,28,196,61,16,27,44,30,148,79,15,21,30,27,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,376,123,0,12,0,12,9,14,37,26,33,23,15,17,103,69,23,36,24,23,115,78,17,19,0,12,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,588,156,7,11,8,12,32,30,76,56,109,74,8,13,99,60,15,17,89,77,62,38,75,46,8,12,4,6.01,Suffolk County,Massachusetts
1500000US250250006021,827,210,0,12,12,18,50,35,76,42,94,51,97,59,180,88,18,20,44,37,153,90,96,79,7,10,1,6.02,Suffolk County,Massachusetts
1500000US250250006022,612,186,0,12,24,37,42,40,65,56,48,44,10,15,149,61,15,16,49,45,157,101,41,31,12,18,2,6.02,Suffolk County,Massachusetts
1500000US250250006023,508,167,0,12,33,45,93,89,23,28,0,12,3,6,160,96,6,10,0,12,74,65,63,43,53,41,3,6.02,Suffolk County,Massachusetts
1500000US250250007011,494,238,0,12,0,12,0,12,44,64,94,85,65,56,44,36,13,21,98,78,38,43,83,49,15,26,1,7.01,Suffolk County,Massachusetts
1500000US250250007012,104,75,0,12,1,4,0,12,14,22,8,13,0,12,55,71,0,12,7,12,19,30,0,12,0,12,2,7.01,Suffolk County,Massachusetts
1500000US250250007013,313,171,0,12,0,12,67,95,38,51,62,63,22,27,27,31,0,12,0,12,58,38,39,37,0,12,3,7.01,Suffolk County,Massachusetts
1500000US250250007014,433,192,0,12,0,12,21,25,75,124,82,89,28,32,84,75,47,38,45,43,20,32,31,40,0,12,4,7.01,Suffolk County,Massachusetts
1500000US250250007015,1087,347,0,12,12,20,62,46,42,35,39,44,48,34,180,115,51,38,128,110,222,147,290,118,13,26,5,7.01,Suffolk County,Massachusetts
1500000US250250007031,491,97,24,27,26,19,45,41,31,25,63,41,52,29,65,52,22,26,0,12,63,31,93,58,7,11,1,7.03,Suffolk County,Massachusetts
1500000US250250007032,643,154,8,14,20,24,49,35,66,48,77,44,37,24,128,53,24,25,83,42,59,34,92,61,0,12,2,7.03,Suffolk County,Massachusetts
1500000US250250007041,1113,307,0,12,23,36,10,17,90,65,116,133,32,34,213,115,85,91,179,102,159,91,206,172,0,12,1,7.04,Suffolk County,Massachusetts
1500000US250250007042,471,122,0,12,0,12,14,22,48,39,77,58,21,34,135,86,34,33,28,32,114,71,0,12,0,12,2,7.04,Suffolk County,Massachusetts
1500000US250250007043,747,211,0,12,10,17,67,63,105,92,48,45,60,49,140,102,18,30,103,60,144,122,34,40,18,29,3,7.04,Suffolk County,Massachusetts
1500000US250250007044,304,153,0,12,0,12,0,12,35,36,55,66,12,19,70,49,0,12,0,12,111,92,21,34,0,12,4,7.04,Suffolk County,Massachusetts
1500000US250250008021,651,248,0,12,0,12,35,35,95,65,48,38,30,35,140,89,0,12,48,52,154,101,72,59,29,47,1,8.02,Suffolk County,Massachusetts
1500000US250250008022,1163,340,0,12,57,75,17,27,65,43,59,55,101,90,135,76,0,12,276,169,335,130,80,59,38,42,2,8.02,Suffolk County,Massachusetts
1500000US250250008023,355,114,10,17,56,68,17,28,27,42,23,26,39,59,93,60,13,25,0,12,75,61,2,5,0,12,3,8.02,Suffolk County,Massachusetts
1500000US250250008024,914,277,0,12,0,12,121,115,229,171,125,104,25,30,194,98,63,74,35,40,77,67,35,40,10,18,4,8.02,Suffolk County,Massachusetts
1500000US250250008025,823,190,8,16,54,41,75,68,176,91,77,49,72,53,132,85,8,14,50,57,123,78,32,34,16,28,5,8.02,Suffolk County,Massachusetts
1500000US250250008031,505,214,8,15,38,40,78,81,49,43,109,90,19,21,92,82,0,12,45,37,18,13,44,57,5,8,1,8.03,Suffolk County,Massachusetts
1500000US250250008032,1336,292,125,89,222,125,225,115,339,157,168,108,15,30,93,87,23,36,28,41,56,48,25,34,17,35,2,8.03,Suffolk County,Massachusetts
1500000US250250101031,392,138,14,22,113,85,45,27,55,43,46,41,14,17,57,40,0,12,8,10,20,25,20,24,0,12,1,101.03,Suffolk County,Massachusetts
1500000US250250101032,385,145,51,59,111,79,84,84,32,30,44,45,5,7,33,34,0,12,25,32,0,12,0,12,0,12,2,101.03,Suffolk County,Massachusetts
1500000US250250101033,630,120,74,44,125,48,109,43,116,58,29,27,23,23,68,56,0,12,11,19,23,25,21,22,31,26,3,101.03,Suffolk County,Massachusetts
1500000US250250101041,571,109,5,11,17,21,54,40,54,32,149,69,37,26,85,46,51,42,83,41,31,31,0,12,5,10,1,101.04,Suffolk County,Massachusetts
1500000US250250101042,1275,229,80,72,176,78,207,90,196,75,311,82,32,26,140,58,27,30,34,31,28,39,28,46,16,23,2,101.04,Suffolk County,Massachusetts
1500000US250250101043,580,172,10,18,10,20,57,33,144,124,117,71,18,18,78,50,34,23,40,32,56,45,16,18,0,12,3,101.04,Suffolk County,Massachusetts
1500000US250250102031,448,154,13,19,61,55,0,12,61,57,84,99,12,19,83,58,26,28,24,30,56,60,28,33,0,12,1,102.03,Suffolk County,Massachusetts
1500000US250250102032,1002,193,0,12,108,71,130,81,218,142,159,89,49,47,104,70,58,42,46,37,85,59,31,35,14,22,2,102.03,Suffolk County,Massachusetts
1500000US250250102033,906,175,0,12,113,94,70,49,119,67,231,108,122,97,145,92,46,40,35,42,14,24,11,17,0,12,3,102.03,Suffolk County,Massachusetts
1500000US250250102034,129,74,0,12,0,12,7,12,50,43,0,12,0,12,40,46,0,12,0,12,32,36,0,12,0,12,4,102.03,Suffolk County,Massachusetts
1500000US250250102041,407,97,4,7,112,45,54,42,102,52,40,27,0,12,70,59,0,12,0,12,2,4,20,26,3,8,1,102.04,Suffolk County,Massachusetts
1500000US250250102042,716,184,0,12,191,93,106,52,82,62,85,57,19,20,161,92,0,12,16,21,34,38,19,16,3,7,2,102.04,Suffolk County,Massachusetts
1500000US250250102043,392,100,0,12,26,23,16,17,68,41,79,54,0,12,45,45,21,20,33,25,39,27,65,61,0,12,3,102.04,Suffolk County,Massachusetts
1500000US250250103001,526,122,39,39,117,62,84,53,62,38,77,37,13,14,68,45,2,4,13,19,27,22,8,16,16,32,1,103,Suffolk County,Massachusetts
1500000US250250103002,1695,253,120,84,617,140,331,90,168,73,138,60,50,36,122,64,24,26,37,29,51,34,33,25,4,7,2,103,Suffolk County,Massachusetts
1500000US250250104031,338,130,0,12,5,14,0,12,77,70,58,43,0,12,33,37,25,30,36,57,91,78,13,21,0,12,1,104.03,Suffolk County,Massachusetts
1500000US250250104032,438,147,20,33,19,31,10,20,102,72,22,35,98,76,74,60,16,25,0,12,59,39,18,31,0,12,2,104.03,Suffolk County,Massachusetts
1500000US250250104033,634,215,0,12,8,15,35,56,235,159,107,102,11,20,104,71,26,40,17,26,32,27,48,46,11,20,3,104.03,Suffolk County,Massachusetts
1500000US250250104041,918,248,22,27,108,88,136,67,146,94,169,133,50,40,151,105,16,26,24,26,41,34,38,32,17,20,1,104.04,Suffolk County,Massachusetts
1500000US250250104042,656,172,73,52,234,103,124,95,66,54,35,31,18,32,71,44,0,12,6,9,4,7,20,22,5,9,2,104.04,Suffolk County,Massachusetts
1500000US250250104043,554,129,33,30,101,52,135,117,51,38,54,35,25,22,116,77,0,12,13,14,22,20,4,7,0,12,3,104.04,Suffolk County,Massachusetts
1500000US250250104051,1432,231,122,75,277,85,198,73,191,93,173,74,90,53,143,72,27,28,31,27,105,64,59,40,16,23,1,104.05,Suffolk County,Massachusetts
1500000US250250104052,985,146,77,54,174,56,198,74,113,59,73,38,42,34,125,51,28,25,61,40,40,30,36,27,18,17,2,104.05,Suffolk County,Massachusetts
1500000US250250104053,235,127,11,16,89,112,21,26,10,15,4,7,24,17,49,33,0,12,10,13,0,12,17,22,0,12,3,104.05,Suffolk County,Massachusetts
1500000US250250104081,946,97,0,12,39,21,139,59,210,65,107,32,36,29,213,52,43,28,41,24,29,19,83,39,6,7,1,104.08,Suffolk County,Massachusetts
1500000US250250105001,371,163,30,44,31,33,44,52,24,17,30,22,99,97,29,19,0,12,32,39,9,14,30,39,13,20,1,105,Suffolk County,Massachusetts
1500000US250250105002,457,162,11,13,7,11,7,11,130,101,69,39,28,38,124,71,22,37,0,12,46,46,6,10,7,13,2,105,Suffolk County,Massachusetts
1500000US250250105003,718,140,49,42,11,13,98,78,209,93,106,62,81,63,65,42,20,21,23,22,39,37,0,12,17,20,3,105,Suffolk County,Massachusetts
1500000US250250106001,1168,257,0,12,106,55,187,87,183,78,186,87,119,90,247,96,41,53,23,36,59,49,17,19,0,12,1,106,Suffolk County,Massachusetts
1500000US250250106002,583,150,62,60,20,20,107,67,33,28,116,76,30,27,120,69,53,56,13,20,29,35,0,12,0,12,2,106,Suffolk County,Massachusetts
1500000US250250107011,724,142,40,26,89,45,123,64,69,45,94,46,22,24,85,62,50,28,50,54,82,69,20,24,0,12,1,107.01,Suffolk County,Massachusetts
1500000US250250107012,606,162,0,12,80,64,71,42,99,50,74,43,54,43,73,42,0,12,59,60,52,47,44,63,0,12,2,107.01,Suffolk County,Massachusetts
1500000US250250107013,503,111,31,37,66,52,70,44,95,74,78,47,37,32,86,43,0,12,0,12,28,25,0,12,12,19,3,107.01,Suffolk County,Massachusetts
1500000US250250107021,613,134,0,12,49,42,90,50,109,57,92,56,127,63,85,55,5,8,15,18,25,23,0,12,16,21,1,107.02,Suffolk County,Massachusetts
1500000US250250107022,591,126,21,17,59,38,95,57,120,59,116,65,55,57,95,40,0,12,0,12,23,20,7,11,0,12,2,107.02,Suffolk County,Massachusetts
1500000US250250107023,451,116,0,12,33,27,71,43,98,44,58,38,15,16,77,49,10,16,31,22,31,30,19,19,8,12,3,107.02,Suffolk County,Massachusetts
1500000US250250108011,446,116,35,35,66,57,75,49,57,47,29,22,17,26,106,66,4,6,33,22,6,10,11,15,7,11,1,108.01,Suffolk County,Massachusetts
1500000US250250108012,710,137,24,38,30,26,134,79,65,51,202,93,49,33,94,49,56,30,14,22,4,6,38,44,0,12,2,108.01,Suffolk County,Massachusetts
1500000US250250108013,726,153,0,12,24,25,181,80,120,66,121,78,35,30,116,61,0,12,29,38,81,50,19,23,0,12,3,108.01,Suffolk County,Massachusetts
1500000US250250108021,600,117,0,12,50,33,90,48,95,45,107,52,32,29,115,78,0,12,17,18,85,50,9,13,0,12,1,108.02,Suffolk County,Massachusetts
1500000US250250108022,1017,191,58,57,48,30,172,84,130,63,169,65,51,43,210,109,75,49,17,20,52,32,35,30,0,12,2,108.02,Suffolk County,Massachusetts
1500000US250250108023,325,74,0,12,14,15,59,40,66,41,55,49,35,30,33,32,35,25,19,20,9,13,0,12,0,12,3,108.02,Suffolk County,Massachusetts
1500000US250250201011,362,154,0,12,0,12,42,48,65,59,13,32,104,130,64,62,0,12,0,12,19,31,55,56,0,12,1,201.01,Suffolk County,Massachusetts
1500000US250250201012,612,242,0,12,65,101,94,110,40,38,150,124,58,44,48,45,51,50,0,12,106,98,0,12,0,12,2,201.01,Suffolk County,Massachusetts
1500000US250250201013,733,205,30,51,0,12,189,87,201,88,134,87,0,12,60,56,42,53,0,12,58,68,0,12,19,31,3,201.01,Suffolk County,Massachusetts
1500000US250250201014,986,289,0,12,23,26,224,249,126,121,105,68,46,57,227,130,46,52,49,55,120,72,20,34,0,12,4,201.01,Suffolk County,Massachusetts
1500000US250250202001,1020,237,95,73,54,64,55,51,234,125,146,92,36,31,178,117,0,12,48,66,137,133,25,29,12,20,1,202,Suffolk County,Massachusetts
1500000US250250202002,1022,199,29,34,111,80,85,68,205,90,242,117,62,40,48,54,46,54,0,12,104,81,90,119,0,12,2,202,Suffolk County,Massachusetts
