Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:",Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked from home,Margin of Error - Worked from home,Block Group,Census Tract,County,State
1500000US250250004022,473,154,211,101,161,92,50,42,50,42,0,14,0,14,0,14,0,14,116,155,26,133,54,42,29,36,7,12,0,14,0,14,0,14,0,14,41,47,11,17,94,58,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,920,483,446,252,212,92,234,252,201,235,33,38,0,14,0,14,0,14,125,63,78,48,41,36,6,9,0,14,0,14,0,14,0,14,0,14,71,90,0,14,278,238,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,775,311,187,90,160,68,27,42,6,10,21,41,0,14,0,14,0,14,308,133,88,65,204,123,0,14,16,25,0,14,20,24,0,14,0,14,8,14,106,140,146,92,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,676,209,237,112,164,61,73,79,54,47,19,37,0,14,0,14,0,14,149,83,41,40,108,84,0,14,0,14,0,14,0,14,0,14,20,22,179,155,0,14,91,69,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,773,156,326,101,296,99,30,20,30,20,0,14,0,14,0,14,0,14,339,101,21,23,269,93,0,14,49,40,0,14,0,14,0,14,14,15,19,19,1,2,74,48,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,659,173,186,101,143,64,43,52,16,23,27,48,0,14,0,14,0,14,30,31,7,14,0,14,0,14,23,27,0,14,0,14,0,14,0,14,258,127,0,14,185,76,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,592,164,139,68,107,59,32,36,32,36,0,14,0,14,0,14,0,14,334,130,43,33,240,128,0,14,51,49,0,14,0,14,0,14,0,14,13,16,0,14,106,59,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,987,166,292,82,269,81,23,26,23,26,0,14,0,14,0,14,0,14,448,125,108,95,249,70,21,25,70,41,0,14,7,10,0,14,10,16,90,67,6,10,134,74,2,5.03,Suffolk County,Massachusetts
1500000US250250005051,631,201,276,122,234,122,42,15,10,15,0,14,0,14,32,6,0,14,266,118,79,79,107,56,49,77,31,36,0,14,0,14,0,14,44,44,13,20,0,14,32,37,1,5.05,Suffolk County,Massachusetts
1500000US250250005052,408,202,203,110,179,98,24,38,24,38,0,14,0,14,0,14,0,14,159,121,0,14,96,61,0,14,63,73,0,14,0,14,0,14,9,14,6,9,0,14,31,32,2,5.05,Suffolk County,Massachusetts
1500000US250250005053,134,108,36,40,36,40,0,14,0,14,0,14,0,14,0,14,0,14,54,53,20,32,34,41,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,44,53,3,5.05,Suffolk County,Massachusetts
1500000US250250005061,544,191,85,49,85,49,0,14,0,14,0,14,0,14,0,14,0,14,255,114,55,50,151,92,4,7,45,58,0,14,12,20,0,14,35,56,22,24,35,40,100,79,1,5.06,Suffolk County,Massachusetts
1500000US250250005062,1154,344,338,176,303,169,35,53,35,53,0,14,0,14,0,14,0,14,542,195,20,26,389,203,57,65,76,60,0,14,52,61,0,14,10,17,23,28,0,14,189,136,2,5.06,Suffolk County,Massachusetts
1500000US250250006011,555,355,374,299,282,242,92,70,92,70,0,14,0,14,0,14,0,14,31,31,19,27,12,14,0,14,0,14,0,14,8,14,0,14,0,14,53,57,0,14,89,62,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,866,211,307,113,214,82,93,87,78,86,0,14,0,14,0,14,15,24,282,153,239,147,43,38,0,14,0,14,0,14,9,15,0,14,8,12,46,39,0,14,214,88,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,494,201,237,94,201,94,36,25,20,15,8,12,0,14,0,14,8,12,150,164,21,20,0,14,129,161,0,14,0,14,20,31,0,14,0,14,39,38,0,14,48,45,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,883,218,423,142,397,138,26,34,26,34,0,14,0,14,0,14,0,14,217,122,60,44,86,71,71,82,0,14,0,14,0,14,19,30,19,20,156,92,0,14,49,30,4,6.01,Suffolk County,Massachusetts
1500000US250250006031,744,244,297,149,79,66,218,139,199,132,19,31,0,14,0,14,0,14,251,131,32,28,188,127,0,14,31,38,0,14,0,14,0,14,0,14,23,35,0,14,173,126,1,6.03,Suffolk County,Massachusetts
1500000US250250006041,748,220,253,109,247,110,6,10,6,10,0,14,0,14,0,14,0,14,176,73,124,69,52,43,0,14,0,14,0,14,0,14,0,14,74,70,80,59,0,14,165,131,1,6.04,Suffolk County,Massachusetts
1500000US250250006042,605,203,216,114,203,120,13,20,13,20,0,14,0,14,0,14,0,14,198,95,32,36,148,92,0,14,18,31,0,14,0,14,0,14,39,43,37,37,0,14,115,96,2,6.04,Suffolk County,Massachusetts
1500000US250250007011,342,165,70,56,40,34,30,47,30,47,0,14,0,14,0,14,0,14,179,98,86,71,93,58,0,14,0,14,0,14,0,14,0,14,14,22,24,30,0,14,55,57,1,7.01,Suffolk County,Massachusetts
1500000US250250007012,435,259,41,48,26,41,15,24,15,24,0,14,0,14,0,14,0,14,129,82,23,24,47,47,0,14,59,72,0,14,0,14,0,14,0,14,51,82,0,14,214,206,2,7.01,Suffolk County,Massachusetts
1500000US250250007013,1392,475,274,191,274,191,0,14,0,14,0,14,0,14,0,14,0,14,494,188,124,92,274,135,0,14,96,95,0,14,0,14,0,14,140,85,70,66,0,14,414,358,3,7.01,Suffolk County,Massachusetts
1500000US250250007014,901,447,141,100,141,100,0,14,0,14,0,14,0,14,0,14,0,14,287,145,51,56,207,122,0,14,29,34,0,14,0,14,0,14,15,23,97,86,0,14,361,409,4,7.01,Suffolk County,Massachusetts
1500000US250250007031,494,144,55,43,55,43,0,14,0,14,0,14,0,14,0,14,0,14,210,87,85,51,108,69,0,14,17,20,0,14,6,9,0,14,20,23,106,63,0,14,97,85,1,7.03,Suffolk County,Massachusetts
1500000US250250007032,647,135,133,85,124,81,9,11,9,11,0,14,0,14,0,14,0,14,249,80,111,63,127,60,0,14,11,13,0,14,5,8,0,14,32,41,128,69,0,14,100,81,2,7.03,Suffolk County,Massachusetts
1500000US250250007041,1279,348,190,119,179,114,11,18,11,18,0,14,0,14,0,14,0,14,647,244,340,217,282,139,0,14,25,30,0,14,0,14,0,14,0,14,93,66,69,111,280,143,1,7.04,Suffolk County,Massachusetts
1500000US250250007042,681,327,362,181,271,121,91,135,91,135,0,14,0,14,0,14,0,14,144,114,56,83,88,72,0,14,0,14,0,14,26,40,0,14,0,14,77,63,0,14,72,74,2,7.04,Suffolk County,Massachusetts
1500000US250250007043,592,212,81,71,72,70,9,15,9,15,0,14,0,14,0,14,0,14,190,96,43,39,123,74,0,14,24,39,0,14,0,14,0,14,133,103,70,50,0,14,118,108,3,7.04,Suffolk County,Massachusetts
1500000US250250007044,613,210,155,132,155,132,0,14,0,14,0,14,0,14,0,14,0,14,208,109,48,61,138,89,0,14,22,25,0,14,0,14,0,14,55,55,111,104,20,31,64,65,4,7.04,Suffolk County,Massachusetts
1500000US250250008041,952,236,422,141,353,123,69,96,69,96,0,14,0,14,0,14,0,14,205,120,166,98,39,69,0,14,0,14,0,14,0,14,0,14,28,33,50,59,0,14,247,141,1,8.04,Suffolk County,Massachusetts
1500000US250250008042,882,292,349,146,337,142,12,19,12,19,0,14,0,14,0,14,0,14,247,159,152,125,95,87,0,14,0,14,0,14,71,82,0,14,81,73,82,95,0,14,52,47,2,8.04,Suffolk County,Massachusetts
1500000US250250008051,805,222,139,87,139,87,0,14,0,14,0,14,0,14,0,14,0,14,362,192,156,113,119,75,87,122,0,14,0,14,0,14,16,25,61,40,112,79,9,15,106,78,1,8.05,Suffolk County,Massachusetts
1500000US250250008052,480,186,171,106,128,78,43,60,43,60,0,14,0,14,0,14,0,14,135,72,98,56,30,41,7,12,0,14,0,14,0,14,0,14,13,27,20,20,13,21,128,86,2,8.05,Suffolk County,Massachusetts
1500000US250250008053,608,152,115,67,74,58,41,39,41,39,0,14,0,14,0,14,0,14,102,65,47,53,52,53,0,14,3,5,0,14,0,14,0,14,33,35,183,71,0,14,175,101,3,8.05,Suffolk County,Massachusetts
1500000US250250008061,78,116,78,116,78,116,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,1,8.06,Suffolk County,Massachusetts
1500000US250250008062,810,132,155,74,149,74,6,13,6,13,0,14,0,14,0,14,0,14,80,43,15,18,65,38,0,14,0,14,0,14,16,19,0,14,44,58,381,95,5,9,129,72,2,8.06,Suffolk County,Massachusetts
1500000US250250008063,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,3,8.06,Suffolk County,Massachusetts
1500000US250250008071,1270,216,181,78,145,81,36,63,36,63,0,14,0,14,0,14,0,14,100,91,36,40,64,80,0,14,0,14,0,14,0,14,0,14,0,14,849,170,0,14,140,73,1,8.07,Suffolk County,Massachusetts
1500000US250250101031,286,103,50,30,50,30,0,14,0,14,0,14,0,14,0,14,0,14,28,28,0,14,28,28,0,14,0,14,0,14,0,14,0,14,0,14,107,89,15,30,86,83,1,101.03,Suffolk County,Massachusetts
1500000US250250101032,432,138,59,58,59,58,0,14,0,14,0,14,0,14,0,14,0,14,51,44,29,34,22,29,0,14,0,14,0,14,0,14,0,14,6,11,195,97,0,14,121,102,2,101.03,Suffolk County,Massachusetts
1500000US250250101033,560,168,39,34,16,25,23,23,23,23,0,14,0,14,0,14,0,14,72,38,42,30,30,27,0,14,0,14,0,14,0,14,0,14,0,14,409,154,6,9,34,24,3,101.03,Suffolk County,Massachusetts
