Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250250001011,504,186,0,14,0,14,19,31,32,27,9,12,76,73,9,16,140,107,67,43,96,80,15,13,0,14,16,20,25,21,1,1.01,Suffolk County,Massachusetts
1500000US250250001012,404,159,0,14,0,14,2,6,30,34,7,8,22,28,43,51,104,81,76,64,77,64,4,6,28,45,11,11,0,14,2,1.01,Suffolk County,Massachusetts
1500000US250250001021,680,358,0,14,0,14,0,14,109,112,24,40,57,90,36,39,124,83,169,109,72,54,0,14,0,14,21,25,68,107,1,1.02,Suffolk County,Massachusetts
1500000US250250001022,1541,624,21,34,0,14,13,21,0,14,117,108,79,80,136,107,667,454,270,219,104,79,102,76,0,14,22,24,10,15,2,1.02,Suffolk County,Massachusetts
1500000US250250002011,634,212,60,72,0,14,11,22,65,54,76,57,136,109,72,31,33,26,29,23,95,67,0,14,0,14,10,15,47,49,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,664,262,9,14,8,13,7,11,60,56,101,89,64,40,92,52,222,230,19,18,72,60,0,14,0,14,10,17,0,14,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,692,204,28,33,0,14,38,50,89,94,97,60,152,116,57,50,87,51,0,14,82,72,10,15,8,12,44,45,0,14,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,668,241,0,14,31,29,12,18,11,17,40,65,86,74,170,113,127,72,54,52,65,52,39,55,0,14,13,20,20,32,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,387,135,0,14,0,14,0,14,18,19,29,24,56,46,72,55,95,48,31,33,26,33,10,16,0,14,42,37,8,12,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,374,176,0,14,0,14,50,56,0,14,34,41,40,40,105,66,67,61,67,85,11,18,0,14,0,14,0,14,0,14,2,2.02,Suffolk County,Massachusetts
