Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250250001001,680,330,41,41,0,12,0,12,63,64,136,172,88,60,70,68,190,181,0,12,60,40,0,12,0,12,7,12,25,50,1,1,Suffolk County,Massachusetts
1500000US250250001002,553,186,0,12,18,22,10,15,15,18,9,14,58,57,40,37,137,71,35,44,43,39,34,34,0,12,142,105,12,18,2,1,Suffolk County,Massachusetts
1500000US250250001003,248,81,0,12,0,12,2,6,0,12,25,31,25,32,26,29,75,48,49,41,7,14,18,24,0,12,21,22,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,248,139,7,10,0,12,0,12,22,20,17,20,85,64,14,17,31,34,0,12,8,12,53,63,0,12,11,17,0,12,4,1,Suffolk County,Massachusetts
1500000US250250002011,460,122,0,12,0,12,15,24,41,40,55,43,105,74,47,42,45,29,42,34,38,34,9,14,13,18,15,20,35,34,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,273,122,0,12,9,13,0,12,24,37,10,13,57,50,9,14,17,26,20,30,58,43,12,20,0,12,26,34,31,40,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,935,213,15,25,9,14,0,12,15,16,149,83,154,76,76,43,260,105,14,21,29,33,20,22,12,17,108,64,74,60,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,366,92,0,12,0,12,0,12,0,12,61,41,45,37,93,50,78,49,25,23,16,17,26,42,0,12,22,26,0,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,509,176,0,12,0,12,0,12,28,33,29,35,95,59,64,58,161,87,28,37,41,35,15,23,0,12,19,22,29,26,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,627,221,0,12,0,12,22,27,7,12,0,12,109,82,49,36,188,116,14,18,108,59,45,41,0,12,12,19,73,53,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,413,145,0,12,0,12,15,22,85,62,0,12,40,42,82,44,101,59,0,12,64,55,0,12,0,12,26,49,0,12,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,179,98,0,12,0,12,9,14,11,18,16,22,16,22,0,12,24,26,7,11,34,34,0,12,0,12,50,55,12,20,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,250,97,8,12,0,12,26,28,16,24,9,16,26,24,65,63,32,18,0,12,44,39,11,18,0,12,0,12,13,16,1,3.01,Suffolk County,Massachusetts
