Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250250001011,506,163,0,13,0,13,57,55,14,29,7,11,103,74,20,20,147,86,50,35,73,62,1,3,0,13,12,19,22,20,1,1.01,Suffolk County,Massachusetts
1500000US250250001012,528,156,0,13,0,13,18,24,44,45,0,13,23,22,91,56,84,81,94,64,90,64,14,24,44,43,26,25,0,13,2,1.01,Suffolk County,Massachusetts
1500000US250250001021,902,328,0,13,0,13,0,13,137,89,27,43,86,64,130,80,122,85,151,112,88,57,0,13,0,13,27,32,134,124,1,1.02,Suffolk County,Massachusetts
1500000US250250001022,1631,730,20,33,0,13,9,14,0,13,129,125,127,126,267,178,637,444,259,218,85,65,73,65,0,13,17,25,8,14,2,1.02,Suffolk County,Massachusetts
1500000US250250002011,842,218,57,68,0,13,11,22,62,50,70,55,208,100,140,56,107,92,24,24,94,69,0,13,0,13,17,18,52,45,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,513,269,10,16,9,15,4,9,51,55,48,47,49,29,65,35,181,237,22,21,66,46,0,13,0,13,8,12,0,13,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,687,183,11,17,0,13,13,20,92,102,69,39,163,94,51,44,151,76,0,13,72,67,13,17,10,15,42,41,0,13,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,674,227,0,13,32,32,10,15,25,28,40,65,110,101,158,109,122,63,77,59,31,36,52,60,0,13,0,13,17,27,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,403,109,0,13,8,12,0,13,18,19,36,29,60,44,16,21,95,52,70,53,36,37,19,24,0,13,39,37,6,9,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,369,140,0,13,0,13,45,49,0,13,32,37,62,55,88,52,83,59,32,36,12,19,15,24,0,13,0,13,0,13,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,1378,279,0,13,24,34,0,13,114,73,61,50,142,79,247,95,248,107,113,54,112,63,84,63,0,13,144,89,89,83,3,2.02,Suffolk County,Massachusetts
1500000US250250003011,325,155,0,13,0,13,0,13,8,13,8,14,14,17,74,101,57,52,31,25,29,30,34,43,0,13,41,41,29,35,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,398,176,13,27,0,13,0,13,34,38,40,54,86,102,22,25,52,72,56,48,84,87,0,13,0,13,11,18,0,13,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,538,182,0,13,0,13,0,13,63,52,66,63,71,40,69,46,147,102,50,44,24,30,5,7,0,13,43,44,0,13,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,398,163,0,13,0,13,5,9,15,31,42,39,17,27,29,24,161,93,24,20,63,70,23,28,0,13,9,15,10,18,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,873,257,0,13,0,13,41,42,46,38,62,74,35,55,95,66,187,127,182,102,100,111,31,31,0,13,83,64,11,19,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,1263,553,11,18,0,13,10,15,45,49,0,13,66,48,133,81,457,322,387,258,39,37,17,26,12,20,58,42,28,42,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,1324,367,0,13,20,31,0,13,59,44,165,167,260,169,391,249,271,133,106,70,22,34,14,23,0,13,16,25,0,13,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,866,302,0,13,0,13,50,81,49,46,8,13,134,84,224,121,144,107,29,34,80,55,51,61,0,13,17,16,80,95,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,484,220,0,13,0,13,0,13,83,82,6,10,80,80,127,146,28,49,44,43,83,83,0,13,0,13,0,13,33,38,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,904,313,11,18,0,13,45,71,0,13,0,13,93,84,173,83,245,187,62,72,106,79,0,13,39,59,74,82,56,88,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,586,134,0,13,0,13,17,28,15,18,35,35,100,67,56,39,86,45,85,43,80,56,48,44,9,14,46,44,9,15,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,355,116,10,13,0,13,9,15,8,15,0,13,65,44,17,25,102,55,15,21,23,27,15,22,0,13,35,34,56,45,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,779,280,0,13,3,6,12,19,47,36,50,40,169,94,226,218,120,67,39,38,86,82,13,17,0,13,0,13,14,19,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,651,244,0,13,0,13,0,13,35,41,5,7,141,112,100,66,121,62,17,27,105,61,11,24,0,13,0,13,116,135,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,590,380,0,13,4,8,31,37,17,12,38,32,75,81,62,43,88,87,9,13,57,41,65,75,42,56,49,72,53,73,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,708,149,0,13,0,13,0,13,1,3,50,37,110,50,106,63,153,61,52,33,77,49,14,17,21,22,48,38,76,50,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,645,170,0,13,0,13,0,13,65,82,0,13,0,13,28,32,98,95,57,46,80,73,46,46,41,34,149,80,81,59,4,5.02,Suffolk County,Massachusetts
