Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250250001011,703,124,0,13,0,13,79,85,37,34,9,15,116,81,44,30,179,81,57,35,118,69,21,19,0,13,24,29,19,22,1,1.01,Suffolk County,Massachusetts
1500000US250250001012,561,159,0,13,0,13,25,28,40,41,16,27,31,30,113,69,101,75,61,65,56,40,29,30,54,47,35,30,0,13,2,1.01,Suffolk County,Massachusetts
1500000US250250001021,884,264,21,31,0,13,0,13,125,78,15,26,89,64,115,69,145,84,156,91,115,63,6,11,0,13,20,24,77,87,1,1.02,Suffolk County,Massachusetts
1500000US250250001022,1621,739,20,34,0,13,5,9,0,13,100,114,88,91,243,140,667,526,285,244,90,66,54,50,0,13,51,45,18,25,2,1.02,Suffolk County,Massachusetts
1500000US250250002011,768,182,53,65,0,13,12,20,36,35,66,48,260,115,85,47,105,82,36,31,51,63,0,13,0,13,29,27,35,33,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,617,285,8,13,8,13,0,13,63,66,57,49,72,52,55,40,232,236,57,61,65,36,0,13,0,13,0,13,0,13,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,804,199,11,15,0,13,0,13,106,108,50,31,175,97,52,39,195,90,28,37,83,69,26,26,9,14,50,50,19,22,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,685,216,0,13,39,35,0,13,19,21,62,73,122,88,143,106,138,66,77,57,20,23,51,51,0,13,0,13,14,23,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,534,159,0,13,6,10,20,33,31,32,41,35,98,49,46,40,123,74,84,48,27,32,26,25,0,13,27,31,5,8,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,385,145,0,13,0,13,28,36,0,13,23,25,73,57,82,37,104,62,42,50,0,13,33,45,0,13,0,13,0,13,2,2.02,Suffolk County,Massachusetts
