Geography,Total Estimate,Total Margin of Error,Estimate - 12 00 a.m. to 4 59 a.m.,Margin of Error - 12 00 a.m. to 4 59 a.m.,Estimate - 5 00 a.m. to 5 29 a.m.,Margin of Error - 5 00 a.m. to 5 29 a.m.,Estimate - 5 30 a.m. to 5 59 a.m.,Margin of Error - 5 30 a.m. to 5 59 a.m.,Estimate - 6 00 a.m. to 6 29 a.m.,Margin of Error - 6 00 a.m. to 6 29 a.m.,Estimate - 6 30 a.m. to 6 59 a.m.,Margin of Error - 6 30 a.m. to 6 59 a.m.,Estimate - 7 00 a.m. to 7 29 a.m.,Margin of Error - 7 00 a.m. to 7 29 a.m.,Estimate - 7 30 a.m. to 7 59 a.m.,Margin of Error - 7 30 a.m. to 7 59 a.m.,Estimate - 8 00 a.m. to 8 29 a.m.,Margin of Error - 8 00 a.m. to 8 29 a.m.,Estimate - 8 30 a.m. to 8 59 a.m.,Margin of Error - 8 30 a.m. to 8 59 a.m.,Estimate - 9 00 a.m. to 9 59 a.m.,Margin of Error - 9 00 a.m. to 9 59 a.m.,Estimate - 10 00 a.m. to 10 59 a.m.,Margin of Error - 10 00 a.m. to 10 59 a.m.,Estimate - 11 00 a.m. to 11 59 a.m.,Margin of Error - 11 00 a.m. to 11 59 a.m.,Estimate - 12 00 p.m. to 3 59 p.m.,Margin of Error - 12 00 p.m. to 3 59 p.m.,Estimate - 4 00 p.m. to 11 59 p.m.,Margin of Error - 4 00 p.m. to 11 59 p.m.,Block Group,Census Tract,County,State
1500000US250250005041,801,260,0,12,0,12,0,12,109,68,0,12,169,122,124,119,86,70,52,43,97,71,48,55,0,12,82,75,34,40,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,562,180,39,63,0,12,18,29,20,32,14,24,20,30,137,74,121,81,33,39,84,67,0,12,0,12,0,12,76,88,2,5.04,Suffolk County,Massachusetts
1500000US250250005043,986,229,0,12,0,12,19,31,27,44,16,28,85,71,231,111,192,94,101,62,157,126,107,89,19,30,32,41,0,12,3,5.04,Suffolk County,Massachusetts
1500000US250250005044,388,208,23,38,0,12,0,12,88,112,13,27,68,64,23,38,154,126,0,12,19,31,0,12,0,12,0,12,0,12,4,5.04,Suffolk County,Massachusetts
1500000US250250006011,349,159,0,12,0,12,9,16,0,12,7,13,28,33,84,63,76,68,37,42,23,20,36,52,8,13,17,16,24,37,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,893,164,10,16,19,21,32,27,68,48,25,23,246,122,143,59,94,54,102,54,20,21,34,45,18,27,29,24,53,33,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,499,176,44,43,10,15,0,12,7,15,44,35,48,35,118,67,153,101,23,22,22,24,30,48,0,12,0,12,0,12,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,849,157,7,11,25,36,32,27,91,69,42,33,106,53,121,62,89,49,86,57,95,76,29,28,0,12,44,37,82,62,4,6.01,Suffolk County,Massachusetts
1500000US250250006021,925,262,17,21,16,20,0,12,66,48,88,74,184,112,152,99,79,82,73,70,85,61,35,38,16,25,55,70,59,80,1,6.02,Suffolk County,Massachusetts
1500000US250250006022,570,218,0,12,0,12,0,12,0,12,86,83,81,54,67,49,64,48,90,67,84,63,16,25,0,12,67,48,15,24,2,6.02,Suffolk County,Massachusetts
1500000US250250006023,824,210,0,12,54,63,0,12,0,12,60,53,33,33,153,98,246,167,122,121,98,95,18,29,0,12,23,37,17,22,3,6.02,Suffolk County,Massachusetts
1500000US250250007011,626,270,15,18,18,28,0,12,18,29,51,56,45,31,68,57,203,202,38,36,35,40,62,83,0,12,54,47,19,29,1,7.01,Suffolk County,Massachusetts
1500000US250250007012,287,218,0,12,48,73,17,27,0,12,0,12,18,28,46,71,78,62,10,14,64,66,0,12,1,7,5,30,0,12,2,7.01,Suffolk County,Massachusetts
1500000US250250007013,453,237,0,12,14,23,0,12,7,12,39,61,24,27,198,246,114,89,0,12,0,12,0,12,13,22,44,54,0,12,3,7.01,Suffolk County,Massachusetts
1500000US250250007014,480,196,0,12,0,12,0,12,87,142,14,21,51,38,109,101,89,79,99,77,7,11,0,12,0,12,0,12,24,30,4,7.01,Suffolk County,Massachusetts
1500000US250250007015,1466,391,0,12,0,12,7,12,67,108,127,76,199,117,146,97,308,150,274,144,265,144,16,27,0,12,57,80,0,12,5,7.01,Suffolk County,Massachusetts
1500000US250250007031,478,105,0,12,15,16,27,32,47,35,32,41,37,28,16,15,74,48,67,41,65,37,25,23,0,12,38,34,35,28,1,7.03,Suffolk County,Massachusetts
1500000US250250007032,629,151,14,16,0,12,0,12,23,20,4,7,92,64,82,45,109,47,103,56,67,51,35,32,9,13,23,22,68,85,2,7.03,Suffolk County,Massachusetts
1500000US250250007041,1099,258,0,12,0,12,14,21,36,33,11,17,284,145,158,115,123,67,227,125,104,57,6,10,29,34,79,66,28,39,1,7.04,Suffolk County,Massachusetts
1500000US250250007042,505,166,14,22,0,12,0,12,11,28,0,12,100,74,19,23,43,46,38,42,176,88,23,34,11,19,6,9,64,58,2,7.04,Suffolk County,Massachusetts
1500000US250250007043,755,222,0,12,0,12,0,12,0,12,74,59,193,132,226,149,89,66,21,26,58,41,19,29,13,24,62,65,0,12,3,7.04,Suffolk County,Massachusetts
1500000US250250007044,638,196,0,12,55,89,21,28,0,12,0,12,11,18,94,82,246,146,50,73,39,40,5,8,0,12,47,58,70,71,4,7.04,Suffolk County,Massachusetts
1500000US250250008021,645,256,15,24,0,12,0,12,0,12,29,34,96,86,45,54,121,75,19,30,67,73,85,61,0,12,104,78,64,72,1,8.02,Suffolk County,Massachusetts
1500000US250250008022,1037,369,0,12,0,12,16,25,48,55,53,56,167,87,143,83,141,99,92,65,152,157,26,30,0,12,95,96,104,75,2,8.02,Suffolk County,Massachusetts
1500000US250250008023,352,183,0,12,0,12,0,12,8,16,17,28,114,91,64,68,81,95,20,31,37,40,6,12,0,12,5,14,0,12,3,8.02,Suffolk County,Massachusetts
1500000US250250008024,1026,306,0,12,13,27,0,12,41,40,99,64,197,167,67,62,248,102,62,57,78,62,17,30,13,27,63,47,128,104,4,8.02,Suffolk County,Massachusetts
1500000US250250008025,952,275,0,12,18,28,53,63,58,47,71,68,83,69,55,45,128,78,61,43,148,88,29,35,48,54,94,62,106,74,5,8.02,Suffolk County,Massachusetts
1500000US250250008031,488,160,0,12,0,12,0,12,8,14,26,31,77,69,83,66,57,31,26,22,100,69,10,16,13,26,61,32,27,22,1,8.03,Suffolk County,Massachusetts
1500000US250250008032,1409,346,0,12,0,12,10,24,0,12,59,57,17,34,35,50,137,116,170,78,114,103,81,73,127,90,380,153,279,125,2,8.03,Suffolk County,Massachusetts
1500000US250250101031,409,153,0,12,0,12,0,12,14,22,4,7,64,52,40,30,70,41,22,25,72,74,27,38,0,12,52,48,44,38,1,101.03,Suffolk County,Massachusetts
1500000US250250101032,345,126,0,12,18,35,0,12,0,12,0,12,31,34,23,37,5,9,4,6,54,52,19,25,72,82,63,37,56,41,2,101.03,Suffolk County,Massachusetts
1500000US250250101033,552,100,12,12,0,12,5,10,8,13,0,12,15,16,85,65,42,25,33,40,26,19,50,31,28,22,149,46,99,53,3,101.03,Suffolk County,Massachusetts
1500000US250250101041,608,122,49,55,0,12,0,12,34,32,18,16,89,60,160,74,70,36,84,44,49,31,22,20,0,12,18,22,15,13,1,101.04,Suffolk County,Massachusetts
1500000US250250101042,1354,258,56,60,0,12,29,43,54,45,39,31,73,53,191,90,124,69,146,68,180,79,59,50,38,43,246,131,119,65,2,101.04,Suffolk County,Massachusetts
1500000US250250101043,723,172,0,12,0,12,10,19,6,9,12,15,85,56,95,58,119,76,47,30,129,81,71,64,28,27,54,41,67,96,3,101.04,Suffolk County,Massachusetts
1500000US250250102031,337,95,0,12,0,12,0,12,0,12,44,53,2,5,75,70,81,51,60,44,21,24,0,12,37,43,0,12,17,27,1,102.03,Suffolk County,Massachusetts
1500000US250250102032,943,210,0,12,0,12,30,34,0,12,69,51,97,48,169,126,124,86,202,94,184,105,9,14,36,33,0,12,23,30,2,102.03,Suffolk County,Massachusetts
1500000US250250102033,927,227,0,12,0,12,41,38,59,47,86,96,111,100,145,113,193,136,81,65,69,56,43,44,7,14,3,10,89,80,3,102.03,Suffolk County,Massachusetts
1500000US250250102034,366,172,0,12,0,12,0,12,27,30,0,12,56,55,6,10,73,91,73,72,99,111,0,12,0,12,16,24,16,26,4,102.03,Suffolk County,Massachusetts
1500000US250250102041,516,159,16,26,10,15,0,12,10,14,0,12,25,31,45,31,62,47,65,52,71,60,23,31,35,27,84,47,70,43,1,102.04,Suffolk County,Massachusetts
1500000US250250102042,772,247,3,8,0,12,15,24,9,12,45,49,181,133,54,46,53,37,112,66,66,39,46,37,13,16,121,70,54,40,2,102.04,Suffolk County,Massachusetts
1500000US250250102043,419,138,0,12,0,12,10,15,0,12,20,21,38,32,19,19,70,54,54,37,54,45,31,47,0,12,23,22,100,107,3,102.04,Suffolk County,Massachusetts
1500000US250250103001,484,109,0,12,0,12,0,12,12,14,24,20,20,36,49,46,43,38,22,25,76,53,26,22,22,19,101,52,89,40,1,103,Suffolk County,Massachusetts
1500000US250250103002,1712,251,10,15,4,6,35,30,12,18,61,40,35,25,60,36,111,70,194,98,106,60,176,81,122,67,464,171,322,94,2,103,Suffolk County,Massachusetts
1500000US250250104031,361,123,0,12,36,56,0,12,12,19,108,68,9,15,30,47,43,42,23,32,17,28,21,35,0,12,34,39,28,33,1,104.03,Suffolk County,Massachusetts
1500000US250250104032,501,115,29,43,30,41,0,12,16,26,10,14,66,45,14,22,157,73,32,36,24,29,22,34,0,12,32,49,69,57,2,104.03,Suffolk County,Massachusetts
1500000US250250104033,667,180,11,19,29,49,0,12,114,97,0,12,69,58,84,46,106,66,123,112,38,43,0,12,0,12,0,12,93,87,3,104.03,Suffolk County,Massachusetts
1500000US250250104041,928,242,17,27,0,12,10,15,64,49,26,34,41,33,57,31,462,215,81,63,15,14,64,36,6,9,46,30,39,30,1,104.04,Suffolk County,Massachusetts
1500000US250250104042,588,175,3,8,0,12,0,12,19,17,4,8,4,8,43,31,99,76,39,37,125,62,33,29,20,28,131,64,68,39,2,104.04,Suffolk County,Massachusetts
1500000US250250104043,480,122,0,12,9,17,0,12,14,19,4,6,28,27,58,61,73,41,22,21,51,42,13,17,9,18,101,57,98,69,3,104.04,Suffolk County,Massachusetts
1500000US250250104051,1317,180,4,8,8,17,8,15,15,22,9,17,124,61,217,112,151,59,121,65,86,58,77,53,46,37,248,97,203,69,1,104.05,Suffolk County,Massachusetts
1500000US250250104052,940,124,0,12,17,28,0,12,75,52,29,18,36,30,25,22,152,81,112,41,58,28,86,52,61,35,159,54,130,60,2,104.05,Suffolk County,Massachusetts
1500000US250250104053,177,59,0,12,0,12,0,12,0,12,27,22,14,17,6,10,0,12,14,27,48,26,13,16,21,20,9,11,25,21,3,104.05,Suffolk County,Massachusetts
1500000US250250104081,979,118,6,9,4,7,34,20,68,38,54,38,94,43,194,65,189,58,149,46,88,39,25,16,6,9,41,26,27,17,1,104.08,Suffolk County,Massachusetts
1500000US250250105001,384,145,0,12,0,12,8,13,0,12,11,12,113,98,25,33,43,40,56,40,32,37,37,31,14,24,38,40,7,12,1,105,Suffolk County,Massachusetts
1500000US250250105002,569,173,0,12,0,12,11,17,0,12,23,25,131,83,64,57,133,104,35,29,85,53,40,51,8,13,12,17,27,26,2,105,Suffolk County,Massachusetts
1500000US250250105003,610,150,0,12,10,16,15,17,61,38,43,37,71,54,98,48,103,68,84,63,34,29,10,17,27,38,31,37,23,22,3,105,Suffolk County,Massachusetts
1500000US250250106001,1205,242,0,12,27,30,12,17,11,16,76,70,200,90,127,68,220,89,334,126,88,73,44,37,0,12,8,14,58,84,1,106,Suffolk County,Massachusetts
1500000US250250106002,594,177,21,33,0,12,12,20,44,45,28,30,126,79,45,36,87,67,60,48,154,120,9,14,0,12,8,13,0,12,2,106,Suffolk County,Massachusetts
1500000US250250107011,703,151,0,12,6,14,4,7,23,37,15,24,94,78,92,50,124,56,91,55,92,48,57,51,20,21,66,66,19,22,1,107.01,Suffolk County,Massachusetts
1500000US250250107012,523,124,0,12,9,14,11,18,82,53,8,12,54,53,80,38,125,56,117,61,26,28,8,13,0,12,0,12,3,7,2,107.01,Suffolk County,Massachusetts
1500000US250250107013,551,105,15,22,21,24,6,8,12,13,44,38,18,21,25,24,83,44,106,49,110,61,39,38,13,20,0,12,59,51,3,107.01,Suffolk County,Massachusetts
1500000US250250107021,605,128,11,17,0,12,0,12,29,33,17,18,24,23,105,57,185,71,91,50,87,45,32,38,0,12,18,28,6,8,1,107.02,Suffolk County,Massachusetts
1500000US250250107022,520,105,0,12,0,12,0,12,0,12,31,21,6,13,109,64,101,58,67,43,87,50,9,19,9,18,50,43,51,34,2,107.02,Suffolk County,Massachusetts
1500000US250250107023,550,118,10,14,0,12,19,23,20,24,41,36,67,40,96,47,71,48,112,61,53,31,29,27,24,31,8,11,0,12,3,107.02,Suffolk County,Massachusetts
1500000US250250108011,474,109,5,8,5,8,0,12,32,30,36,51,41,31,78,54,126,71,17,17,46,38,0,12,6,11,64,52,18,21,1,108.01,Suffolk County,Massachusetts
1500000US250250108012,662,143,0,12,0,12,1,5,27,26,0,12,156,76,133,66,145,73,98,71,63,40,16,19,0,12,23,34,0,12,2,108.01,Suffolk County,Massachusetts
1500000US250250108013,575,114,0,12,13,20,0,12,33,38,26,35,57,33,123,61,107,51,115,53,64,60,0,12,7,12,0,12,30,26,3,108.01,Suffolk County,Massachusetts
1500000US250250108021,680,159,0,12,0,12,7,11,21,20,24,40,29,27,104,61,135,65,90,53,109,63,113,83,5,10,23,25,20,19,1,108.02,Suffolk County,Massachusetts
1500000US250250108022,990,200,0,12,9,14,9,14,104,100,39,31,97,51,110,66,192,75,183,97,107,72,40,35,12,14,47,43,41,48,2,108.02,Suffolk County,Massachusetts
1500000US250250108023,388,79,0,12,0,12,0,12,48,45,22,24,8,12,17,18,104,49,119,56,27,25,15,20,28,45,0,12,0,12,3,108.02,Suffolk County,Massachusetts
1500000US250250201011,437,158,0,12,0,12,18,28,83,106,15,24,53,48,78,96,140,100,38,43,12,17,0,12,0,12,0,12,0,12,1,201.01,Suffolk County,Massachusetts
1500000US250250201012,582,195,16,27,0,12,19,29,85,87,15,25,0,12,151,108,87,117,163,116,30,35,0,12,0,12,0,12,16,26,2,201.01,Suffolk County,Massachusetts
1500000US250250201013,782,175,30,43,16,26,0,12,117,116,38,45,55,44,123,66,160,87,35,40,138,87,17,27,0,12,0,12,53,61,3,201.01,Suffolk County,Massachusetts
1500000US250250201014,933,267,0,12,0,12,21,35,47,46,279,171,21,24,130,84,195,190,194,98,31,37,0,12,0,12,7,13,8,12,4,201.01,Suffolk County,Massachusetts
1500000US250250202001,907,235,0,12,0,12,0,12,45,48,41,50,46,42,276,152,250,129,79,42,56,53,67,75,0,12,11,14,36,42,1,202,Suffolk County,Massachusetts
1500000US250250202002,917,186,0,12,14,22,19,28,0,12,64,54,88,73,133,77,161,70,204,112,147,80,51,48,0,12,9,14,27,37,2,202,Suffolk County,Massachusetts
1500000US250250202003,956,224,0,12,37,39,0,12,28,32,110,74,27,33,68,52,233,125,287,123,83,59,13,22,0,12,47,61,23,28,3,202,Suffolk County,Massachusetts
1500000US250250203011,42,40,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,0,12,0,12,11,22,13,22,11,22,1,203.01,Suffolk County,Massachusetts
1500000US250250203012,1266,180,59,80,26,53,22,25,106,65,203,122,152,64,204,87,174,66,198,87,35,22,26,24,0,12,30,37,31,29,2,203.01,Suffolk County,Massachusetts
1500000US250250203021,689,107,19,24,0,12,18,27,27,24,12,13,81,39,134,60,91,48,144,52,79,46,10,11,0,12,12,14,62,39,1,203.02,Suffolk County,Massachusetts
1500000US250250203031,774,159,12,20,11,18,10,17,0,12,76,63,89,61,133,64,252,97,85,45,22,23,24,27,0,12,30,27,30,26,1,203.03,Suffolk County,Massachusetts
1500000US250250203032,708,214,4,9,10,16,0,12,61,52,18,16,149,92,88,40,132,93,123,53,80,57,37,59,0,12,0,12,6,9,2,203.03,Suffolk County,Massachusetts
1500000US250250203033,634,185,24,22,13,20,0,12,22,24,23,27,87,54,158,119,129,78,65,44,51,47,11,18,11,17,23,36,17,24,3,203.03,Suffolk County,Massachusetts
1500000US250250301001,1025,180,0,12,17,19,0,12,45,38,139,123,141,86,87,43,184,78,254,139,61,55,48,59,0,12,9,14,40,39,1,301,Suffolk County,Massachusetts
1500000US250250301002,668,131,41,53,5,7,0,12,64,75,28,27,58,39,108,69,92,41,159,51,41,54,9,14,11,15,13,20,39,32,2,301,Suffolk County,Massachusetts
1500000US250250302001,1389,168,20,33,35,48,17,27,89,95,64,59,247,143,189,75,342,115,204,83,33,34,94,54,0,12,24,35,31,24,1,302,Suffolk County,Massachusetts
1500000US250250303001,926,228,0,12,15,23,23,29,25,28,16,25,196,136,129,67,224,132,109,67,106,130,24,27,0,12,0,12,59,75,1,303,Suffolk County,Massachusetts
1500000US250250303002,687,272,22,50,43,100,7,11,0,12,45,51,155,140,24,28,171,111,161,98,13,20,16,26,0,12,0,12,30,48,2,303,Suffolk County,Massachusetts
1500000US250250303003,722,216,58,62,5,11,60,68,19,29,15,19,43,37,0,12,62,61,195,140,87,70,35,29,18,26,66,62,59,61,3,303,Suffolk County,Massachusetts
1500000US250250303004,452,142,0,12,0,12,14,23,27,42,24,19,25,42,77,71,118,97,64,71,79,64,0,12,0,12,24,28,0,12,4,303,Suffolk County,Massachusetts
1500000US250250304001,1182,197,18,22,23,27,19,20,30,48,79,58,77,49,168,71,224,75,294,159,163,85,22,24,0,12,7,11,58,43,1,304,Suffolk County,Massachusetts
1500000US250250304002,826,147,0,12,0,12,58,74,28,25,5,7,44,34,120,80,317,95,145,67,81,49,0,12,0,12,0,12,28,26,2,304,Suffolk County,Massachusetts
1500000US250250305001,296,78,0,12,0,12,0,12,58,43,20,31,19,20,41,29,59,32,58,42,13,12,28,32,0,12,0,12,0,12,1,305,Suffolk County,Massachusetts
1500000US250250305002,777,139,15,19,0,12,6,10,22,20,10,15,76,48,92,59,299,109,123,61,57,39,0,12,24,25,12,20,41,31,2,305,Suffolk County,Massachusetts
1500000US250250305003,719,144,0,12,17,26,25,37,8,14,26,30,146,89,54,36,165,69,139,52,99,53,9,14,25,28,0,12,6,9,3,305,Suffolk County,Massachusetts
1500000US250250401001,581,152,41,42,0,12,0,12,2,5,66,50,96,49,139,78,79,53,69,55,47,32,35,29,0,12,0,12,7,11,1,401,Suffolk County,Massachusetts
1500000US250250401002,949,178,33,50,0,12,0,12,56,40,72,49,151,68,134,77,235,108,95,50,64,70,12,18,0,12,13,21,84,68,2,401,Suffolk County,Massachusetts
1500000US250250402001,194,103,0,12,3,5,0,12,8,20,52,46,60,47,15,18,0,12,8,12,12,12,0,12,0,12,6,9,30,33,1,402,Suffolk County,Massachusetts
1500000US250250402002,580,91,19,26,0,12,44,40,13,13,39,20,54,29,100,59,133,50,50,28,64,36,15,16,14,22,16,21,19,16,2,402,Suffolk County,Massachusetts
1500000US250250403001,350,140,0,12,10,19,8,12,113,82,0,12,0,12,8,12,106,86,86,82,10,17,0,12,0,12,9,13,0,12,1,403,Suffolk County,Massachusetts
1500000US250250403002,998,199,23,27,22,32,8,13,27,27,115,104,92,62,232,105,174,63,151,73,75,52,16,23,11,18,0,12,52,40,2,403,Suffolk County,Massachusetts
1500000US250250403003,407,98,9,13,0,12,26,25,12,19,51,37,50,29,57,40,98,55,98,69,0,12,0,12,0,12,6,9,0,12,3,403,Suffolk County,Massachusetts
1500000US250250403004,549,167,0,12,0,12,23,22,23,25,33,29,81,62,117,80,190,82,19,22,39,27,9,14,0,12,11,17,4,10,4,403,Suffolk County,Massachusetts
1500000US250250403005,516,116,0,12,0,12,42,42,22,21,10,16,106,58,93,60,108,57,63,41,30,36,9,14,0,12,0,12,33,36,5,403,Suffolk County,Massachusetts
1500000US250250404011,1163,216,51,52,53,65,56,45,60,59,61,34,79,50,68,55,462,167,113,53,91,73,0,12,14,22,6,13,49,51,1,404.01,Suffolk County,Massachusetts
1500000US250250404012,427,95,0,12,12,20,0,12,10,16,34,28,101,83,112,55,116,60,15,18,17,29,0,12,0,12,0,12,10,17,2,404.01,Suffolk County,Massachusetts
1500000US250250406001,926,180,0,12,0,12,8,13,52,32,22,20,104,46,273,105,220,96,43,32,73,50,59,52,10,16,37,31,25,30,1,406,Suffolk County,Massachusetts
1500000US250250406002,1204,202,0,12,0,12,54,46,72,53,84,56,238,109,111,49,287,96,205,78,27,26,30,29,29,27,49,41,18,22,2,406,Suffolk County,Massachusetts
