Geography,Total Estimate,Total Margin of Error,Estimate - 12 00 a.m. to 4 59 a.m.,Margin of Error - 12 00 a.m. to 4 59 a.m.,Estimate - 5 00 a.m. to 5 29 a.m.,Margin of Error - 5 00 a.m. to 5 29 a.m.,Estimate - 5 30 a.m. to 5 59 a.m.,Margin of Error - 5 30 a.m. to 5 59 a.m.,Estimate - 6 00 a.m. to 6 29 a.m.,Margin of Error - 6 00 a.m. to 6 29 a.m.,Estimate - 6 30 a.m. to 6 59 a.m.,Margin of Error - 6 30 a.m. to 6 59 a.m.,Estimate - 7 00 a.m. to 7 29 a.m.,Margin of Error - 7 00 a.m. to 7 29 a.m.,Estimate - 7 30 a.m. to 7 59 a.m.,Margin of Error - 7 30 a.m. to 7 59 a.m.,Estimate - 8 00 a.m. to 8 29 a.m.,Margin of Error - 8 00 a.m. to 8 29 a.m.,Estimate - 8 30 a.m. to 8 59 a.m.,Margin of Error - 8 30 a.m. to 8 59 a.m.,Estimate - 9 00 a.m. to 9 59 a.m.,Margin of Error - 9 00 a.m. to 9 59 a.m.,Estimate - 10 00 a.m. to 10 59 a.m.,Margin of Error - 10 00 a.m. to 10 59 a.m.,Estimate - 11 00 a.m. to 11 59 a.m.,Margin of Error - 11 00 a.m. to 11 59 a.m.,Estimate - 12 00 p.m. to 3 59 p.m.,Margin of Error - 12 00 p.m. to 3 59 p.m.,Estimate - 4 00 p.m. to 11 59 p.m.,Margin of Error - 4 00 p.m. to 11 59 p.m.,Block Group,Census Tract,County,State
1500000US250250001001,1039,293,0,12,0,12,35,33,0,12,39,35,153,104,196,94,234,135,80,74,167,129,55,39,0,12,80,59,0,12,1,1,Suffolk County,Massachusetts
1500000US250250001002,803,227,0,12,28,33,74,89,108,101,18,19,36,35,96,43,163,79,40,32,43,36,83,66,20,23,68,43,26,33,2,1,Suffolk County,Massachusetts
1500000US250250001003,406,143,0,12,0,12,16,24,9,14,29,32,10,11,74,45,64,46,22,25,57,37,44,42,22,22,59,39,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,835,293,8,13,0,12,21,34,116,95,42,32,121,91,107,62,152,98,88,70,91,66,36,30,0,12,0,12,53,45,4,1,Suffolk County,Massachusetts
1500000US250250002011,840,174,21,18,0,12,27,42,81,45,89,61,239,99,119,68,91,60,20,22,71,50,0,12,0,12,12,14,70,56,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,481,189,8,12,13,14,0,12,48,40,38,30,87,61,47,48,60,67,88,90,73,64,5,7,0,12,14,21,0,12,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,831,170,19,20,0,12,0,12,22,21,91,52,156,74,93,53,181,77,41,40,58,50,35,28,8,12,97,60,30,35,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,594,211,0,12,20,23,0,12,43,37,58,44,98,82,52,35,169,86,61,48,5,7,13,16,0,12,28,34,47,71,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,977,214,30,46,0,12,0,12,42,32,55,45,180,79,206,84,178,84,65,32,57,43,50,50,9,16,54,48,51,47,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,767,197,0,12,9,15,27,41,41,32,15,17,104,66,115,72,167,69,78,63,102,68,33,30,0,12,0,12,76,48,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,430,149,0,12,0,12,18,21,32,25,22,25,117,94,59,42,94,53,20,31,37,46,22,34,0,12,6,14,3,8,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,176,96,0,12,0,12,0,12,0,12,19,26,0,12,20,24,36,25,10,12,14,20,0,12,17,26,22,32,38,46,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,505,217,0,12,24,26,58,46,43,39,20,31,18,23,10,19,120,85,57,55,30,31,0,12,0,12,48,59,77,54,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,496,201,0,12,0,12,8,14,71,68,26,32,47,37,50,32,184,113,19,20,10,18,0,12,0,12,31,48,50,40,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,467,220,0,12,0,12,0,12,59,43,48,76,86,79,65,45,71,54,55,59,20,23,0,12,0,12,39,44,24,39,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,458,183,0,12,11,17,14,18,19,22,17,21,20,19,38,21,131,93,54,41,91,112,47,41,0,12,9,15,7,12,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,1109,279,21,24,0,12,59,55,135,94,78,93,49,41,147,86,327,160,97,67,93,54,0,12,11,18,68,100,24,29,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,826,203,17,27,0,12,0,12,62,42,49,44,146,77,169,87,140,79,88,55,89,55,0,12,17,28,28,26,21,26,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,939,217,37,39,25,39,0,12,90,63,82,90,161,99,187,88,230,117,41,42,34,32,15,25,0,12,37,35,0,12,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,840,318,9,15,0,12,0,12,16,25,8,13,78,91,193,110,178,113,77,86,105,86,53,63,10,16,40,47,73,101,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,594,172,12,19,0,12,0,12,21,32,0,12,27,29,113,94,192,103,65,48,65,51,0,12,0,12,14,23,85,67,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,962,325,9,17,0,12,18,28,18,30,45,56,122,111,69,54,380,216,55,72,59,43,0,12,63,83,99,88,25,40,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,660,145,0,12,0,12,0,12,8,9,28,32,86,43,71,46,102,47,153,74,57,29,77,58,0,12,56,48,22,20,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,517,122,7,10,11,16,0,12,6,9,6,9,113,41,107,83,126,62,29,25,35,39,19,24,6,7,21,21,31,25,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,770,185,0,12,5,7,25,22,78,59,78,58,138,62,104,57,172,77,35,32,115,103,11,16,0,12,9,15,0,12,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,572,89,0,12,0,12,9,14,49,51,15,18,81,9,94,46,123,58,53,49,106,53,4,7,0,12,16,19,22,28,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,503,127,0,12,9,12,12,11,23,18,28,23,81,52,71,31,98,50,21,32,63,36,15,17,53,74,4,7,25,23,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,842,120,0,12,0,12,9,14,8,12,62,32,123,56,121,47,155,59,96,42,94,55,28,25,16,17,75,43,55,39,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1038,213,0,12,0,12,0,12,21,30,16,31,22,31,72,63,32,39,64,49,95,75,119,61,44,39,396,149,157,79,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,446,84,10,15,39,49,0,12,7,13,41,29,89,56,101,49,70,40,49,44,4,7,0,12,0,12,18,22,18,18,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,966,112,12,13,0,12,0,12,0,12,90,64,127,50,92,43,254,62,130,56,105,67,31,42,7,9,43,27,75,53,2,5.03,Suffolk County,Massachusetts
