Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250250001001,843,224,42,44,0,12,31,36,24,30,11,17,111,88,116,61,216,104,65,72,160,113,0,12,0,12,67,58,0,12,1,1,Suffolk County,Massachusetts
1500000US250250001002,725,240,0,12,28,35,20,24,44,57,10,15,48,55,95,57,158,89,20,24,56,53,108,66,25,31,93,49,20,26,2,1,Suffolk County,Massachusetts
1500000US250250001003,281,118,0,12,0,12,2,6,10,16,36,39,0,12,36,33,66,56,9,14,57,39,30,30,0,12,35,27,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,447,142,16,19,0,12,17,31,38,32,36,43,94,56,53,39,59,43,25,23,7,11,54,35,0,12,10,16,38,38,4,1,Suffolk County,Massachusetts
1500000US250250002011,634,191,21,21,0,12,30,32,42,37,81,68,209,99,43,40,53,42,20,22,69,48,8,11,0,12,4,6,54,45,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,384,182,0,12,14,16,0,12,36,34,30,28,78,76,0,12,29,36,78,98,55,44,18,22,0,12,19,20,27,32,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,931,199,13,20,16,25,0,12,21,21,105,65,175,77,95,44,193,93,50,41,71,56,30,21,13,20,117,72,32,37,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,424,155,0,12,0,12,0,12,24,32,94,68,27,27,40,32,136,66,24,22,19,17,6,9,0,12,33,29,21,35,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,700,226,25,39,0,12,0,12,47,42,29,34,130,77,107,68,171,80,44,34,50,39,44,45,7,14,22,24,24,31,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,729,166,0,12,0,12,31,36,33,31,0,12,82,69,135,60,167,88,46,38,116,56,25,24,0,12,11,18,83,49,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,381,125,0,12,0,12,0,12,42,34,23,27,109,70,61,34,67,45,0,12,44,41,0,12,0,12,29,41,6,11,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,190,82,0,12,0,12,0,12,12,20,31,29,7,11,16,24,37,27,0,12,9,14,0,12,17,25,42,47,19,21,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,330,119,6,9,23,26,56,56,38,28,9,16,14,16,30,26,48,37,33,37,35,34,0,12,0,12,0,12,38,33,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,513,212,0,12,0,12,8,13,34,44,53,44,58,44,30,28,132,83,36,32,29,30,28,30,13,19,34,53,58,51,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,278,117,0,12,0,12,0,12,24,28,13,20,75,77,32,28,93,67,10,16,0,12,0,12,0,12,0,12,31,37,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,313,83,0,12,11,17,10,15,4,6,15,24,28,26,39,33,96,70,43,35,12,18,18,20,0,12,32,39,5,9,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,740,195,20,23,0,12,45,33,112,85,38,38,82,50,98,63,121,68,44,45,63,39,0,12,8,13,81,81,28,38,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,957,236,20,33,0,12,47,74,43,38,97,55,132,91,166,87,119,76,115,66,89,50,22,25,0,12,45,32,62,55,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,794,195,36,40,0,12,8,12,74,52,96,83,120,67,105,93,104,70,97,75,51,37,12,21,0,12,42,32,49,51,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,473,196,10,16,13,20,0,12,0,12,9,16,83,74,86,68,63,43,78,85,63,78,0,12,29,34,27,42,12,21,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,734,222,14,22,0,12,0,12,125,76,33,51,67,43,78,74,235,106,57,51,51,51,0,12,0,12,14,22,60,51,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,626,216,0,12,0,12,15,24,20,33,48,53,88,108,52,58,183,113,28,28,28,32,0,12,91,76,73,56,0,12,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,623,140,0,12,0,12,11,16,32,23,15,17,83,51,53,45,90,46,114,73,43,24,42,28,6,10,81,61,53,42,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,412,150,0,12,18,22,0,12,16,18,23,22,60,43,86,69,118,70,27,34,20,39,9,17,7,8,20,21,8,15,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,689,159,0,12,0,12,52,46,36,44,38,44,94,61,146,62,130,65,62,65,72,51,37,47,0,12,22,26,0,12,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,538,87,0,12,0,12,18,19,32,44,40,26,50,36,89,43,101,57,41,44,108,56,4,6,0,12,24,22,31,33,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,444,100,0,12,7,13,24,22,9,13,16,18,83,58,59,35,103,56,18,28,57,36,10,15,9,13,32,41,17,19,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,828,127,0,12,0,12,9,13,9,14,66,37,111,48,118,48,200,66,75,37,118,59,9,14,15,18,62,36,36,30,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1130,203,0,12,0,12,0,12,16,23,11,20,25,35,79,70,70,54,57,33,66,59,96,63,44,45,472,132,194,86,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,491,144,14,23,43,49,0,12,17,23,39,34,76,52,162,124,62,36,57,53,6,10,0,12,0,12,10,16,5,8,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,830,148,0,12,0,12,19,27,7,11,58,44,90,50,112,58,159,73,88,44,128,71,53,34,15,13,63,60,38,35,2,5.03,Suffolk County,Massachusetts
1500000US250250005041,563,184,0,12,0,12,0,12,46,35,15,24,33,31,135,104,184,132,42,43,72,55,20,31,0,12,16,27,0,12,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,538,134,0,12,0,12,0,12,14,23,22,28,92,103,67,48,116,77,93,66,0,12,42,40,0,12,15,23,77,85,2,5.04,Suffolk County,Massachusetts
1500000US250250005043,879,226,0,12,0,12,31,37,46,51,47,48,87,63,161,88,174,86,120,70,146,126,38,43,18,29,11,17,0,12,3,5.04,Suffolk County,Massachusetts
1500000US250250005044,356,207,0,12,0,12,0,12,62,99,103,102,36,56,17,29,55,68,20,25,44,37,19,29,0,12,0,12,0,12,4,5.04,Suffolk County,Massachusetts
1500000US250250006011,316,161,0,12,0,12,0,12,15,35,16,18,43,39,75,66,70,72,37,47,42,29,0,12,0,12,18,19,0,12,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,649,136,0,12,0,12,18,21,37,30,33,26,193,101,130,55,67,44,69,39,18,18,13,19,0,12,39,29,32,29,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,376,123,20,32,8,13,0,12,13,14,35,37,14,16,93,49,78,53,42,37,28,26,0,12,10,15,26,24,9,14,3,6.01,Suffolk County,Massachusetts
