Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250251207002,809,168,0,12,8,11,6,9,11,12,30,26,71,49,194,98,127,57,120,77,170,83,49,33,0,12,10,15,13,14,2,1207,Suffolk County,Massachusetts
1500000US250251301001,788,245,22,34,38,58,94,123,23,25,66,61,134,85,105,62,191,127,54,61,12,19,13,21,0,12,24,38,12,20,1,1301,Suffolk County,Massachusetts
1500000US250251301002,721,173,19,33,15,24,0,12,55,70,44,43,85,67,111,75,119,74,62,54,84,56,28,33,10,17,16,26,73,59,2,1301,Suffolk County,Massachusetts
1500000US250251301003,219,117,0,12,0,12,14,23,19,31,40,55,44,43,18,29,43,60,25,27,16,25,0,12,0,12,0,12,0,12,3,1301,Suffolk County,Massachusetts
1500000US250251301004,395,167,0,12,0,12,0,12,0,12,88,75,153,102,54,58,54,59,0,12,0,12,0,12,0,12,29,41,17,26,4,1301,Suffolk County,Massachusetts
1500000US250251301005,401,145,0,12,0,12,0,12,10,17,0,12,38,48,174,104,79,64,9,20,67,73,0,12,0,12,0,12,24,37,5,1301,Suffolk County,Massachusetts
1500000US250251301006,172,121,0,12,0,12,0,12,19,29,33,50,0,12,42,47,14,23,11,18,0,12,0,12,0,12,53,58,0,12,6,1301,Suffolk County,Massachusetts
1500000US250251301007,363,166,0,12,0,12,14,22,13,22,36,57,37,40,72,78,14,24,56,48,39,55,0,12,0,12,82,76,0,12,7,1301,Suffolk County,Massachusetts
1500000US250251302001,386,129,0,12,36,45,0,12,22,26,19,21,72,55,73,82,73,40,0,12,60,53,0,12,0,12,22,26,9,14,1,1302,Suffolk County,Massachusetts
1500000US250251302002,359,123,0,12,0,12,7,11,62,39,31,26,59,45,40,29,58,49,8,14,18,20,13,19,0,12,53,66,10,17,2,1302,Suffolk County,Massachusetts
1500000US250251302003,848,247,0,12,16,25,0,12,137,73,65,47,116,63,68,55,119,63,39,48,108,97,58,55,0,12,96,98,26,30,3,1302,Suffolk County,Massachusetts
1500000US250251302004,338,126,0,12,0,12,0,12,10,17,71,58,39,32,81,50,41,43,0,12,43,31,22,32,0,12,19,23,12,18,4,1302,Suffolk County,Massachusetts
1500000US250251302005,802,264,0,12,0,12,0,12,48,46,64,59,143,76,76,46,140,101,85,69,128,145,7,11,0,12,80,53,31,38,5,1302,Suffolk County,Massachusetts
1500000US250251303001,586,134,0,12,10,16,17,25,67,46,98,55,65,42,182,74,50,39,52,57,0,12,0,12,0,12,8,13,37,54,1,1303,Suffolk County,Massachusetts
1500000US250251303002,506,148,0,12,0,12,12,19,72,55,51,45,51,42,138,81,91,63,10,15,37,38,0,12,23,34,21,23,0,12,2,1303,Suffolk County,Massachusetts
1500000US250251303003,374,103,11,19,0,12,0,12,68,41,40,35,83,52,22,24,42,33,38,28,23,24,13,21,12,20,22,24,0,12,3,1303,Suffolk County,Massachusetts
1500000US250251303004,629,183,0,12,0,12,0,12,38,30,97,69,94,71,89,58,63,59,63,60,26,24,12,21,0,12,16,18,131,124,4,1303,Suffolk County,Massachusetts
1500000US250251303005,306,94,0,12,0,12,0,12,12,17,52,35,50,38,71,50,10,17,23,26,33,32,0,12,0,12,6,10,49,44,5,1303,Suffolk County,Massachusetts
1500000US250251304021,567,233,1,4,23,37,0,12,93,69,43,49,115,103,77,86,79,76,52,49,45,43,21,32,0,12,0,12,18,29,1,1304.02,Suffolk County,Massachusetts
1500000US250251304022,360,177,17,25,0,12,0,12,4,8,44,41,71,85,54,54,0,12,15,24,45,50,19,30,0,12,58,71,33,40,2,1304.02,Suffolk County,Massachusetts
1500000US250251304023,667,232,19,33,35,53,15,23,146,107,21,32,30,34,69,71,101,70,36,56,13,19,73,87,0,12,45,52,64,59,3,1304.02,Suffolk County,Massachusetts
1500000US250251304024,473,181,0,12,0,12,47,72,119,68,17,23,134,129,49,47,63,69,0,12,0,12,0,12,19,32,25,31,0,12,4,1304.02,Suffolk County,Massachusetts
1500000US250251304025,446,174,0,12,0,12,0,12,20,32,69,43,84,54,34,29,125,106,13,21,19,25,0,12,0,12,47,45,35,40,5,1304.02,Suffolk County,Massachusetts
1500000US250251304041,914,200,0,12,51,58,0,12,51,44,99,45,186,112,70,48,132,77,0,12,22,26,22,24,14,21,141,69,126,101,1,1304.04,Suffolk County,Massachusetts
1500000US250251304042,414,159,19,28,0,12,0,12,37,43,177,110,84,55,12,19,24,27,9,16,15,26,0,12,0,12,16,25,21,27,2,1304.04,Suffolk County,Massachusetts
1500000US250251304043,235,110,0,12,29,31,0,12,15,25,27,32,60,47,52,49,0,12,9,16,0,12,0,12,0,12,32,50,11,16,3,1304.04,Suffolk County,Massachusetts
1500000US250251304061,840,244,0,12,41,54,80,86,106,98,154,98,80,92,96,86,18,30,37,59,83,85,9,23,0,12,72,72,64,95,1,1304.06,Suffolk County,Massachusetts
1500000US250251304062,1003,291,18,31,0,12,2,14,73,61,178,130,203,140,106,63,77,76,20,31,96,90,35,40,0,12,55,52,140,95,2,1304.06,Suffolk County,Massachusetts
1500000US250251304063,191,142,0,12,0,12,17,27,30,43,55,72,36,55,20,32,0,12,0,12,0,12,0,12,0,12,0,12,33,57,3,1304.06,Suffolk County,Massachusetts
1500000US250251401021,444,197,55,72,0,12,7,13,39,61,18,31,101,63,69,65,49,56,18,23,9,13,27,41,29,33,23,25,0,12,1,1401.02,Suffolk County,Massachusetts
1500000US250251401022,435,192,31,43,0,12,0,12,58,52,45,47,100,70,20,24,99,87,12,19,26,30,28,48,0,12,0,12,16,22,2,1401.02,Suffolk County,Massachusetts
1500000US250251401023,484,148,23,27,28,45,14,23,34,24,81,64,71,56,93,63,31,31,1,2,46,49,25,29,0,12,27,26,10,16,3,1401.02,Suffolk County,Massachusetts
1500000US250251401024,569,181,41,35,0,12,25,29,96,71,53,49,65,50,110,73,41,32,7,14,0,12,19,24,47,35,11,17,54,41,4,1401.02,Suffolk County,Massachusetts
1500000US250251401051,1055,252,11,19,17,25,132,91,154,75,100,103,222,133,97,58,117,70,31,31,35,30,24,32,0,12,36,38,79,71,1,1401.05,Suffolk County,Massachusetts
1500000US250251401052,832,277,9,13,39,48,37,56,163,99,190,145,68,54,54,59,96,89,20,22,32,31,8,23,0,12,82,78,34,47,2,1401.05,Suffolk County,Massachusetts
1500000US250251401061,583,123,14,18,0,12,96,77,41,42,86,60,106,68,47,31,45,35,19,19,31,30,3,5,0,12,62,68,33,29,1,1401.06,Suffolk County,Massachusetts
1500000US250251401062,68,53,9,14,1,4,0,12,11,19,0,12,8,10,6,11,0,12,0,12,14,19,0,12,0,12,17,21,2,7,2,1401.06,Suffolk County,Massachusetts
1500000US250251401071,779,182,23,22,0,12,48,53,37,42,55,38,217,80,102,61,120,74,34,33,37,37,22,31,13,20,42,34,29,31,1,1401.07,Suffolk County,Massachusetts
1500000US250251401072,487,157,31,37,16,17,27,29,16,18,25,23,54,39,66,54,37,29,10,15,47,68,0,12,30,47,128,66,0,12,2,1401.07,Suffolk County,Massachusetts
1500000US250251402011,780,176,0,12,0,12,49,32,95,78,203,95,77,50,60,39,145,70,39,44,10,11,0,12,13,11,80,63,9,15,1,1402.01,Suffolk County,Massachusetts
1500000US250251402012,671,203,18,21,6,8,65,59,45,47,160,126,112,49,20,18,37,35,45,47,28,36,0,12,12,21,72,55,51,35,2,1402.01,Suffolk County,Massachusetts
1500000US250251402021,471,174,7,13,26,27,0,12,104,83,20,22,33,25,64,51,41,64,19,31,12,19,0,12,5,8,96,72,44,61,1,1402.02,Suffolk County,Massachusetts
1500000US250251402022,599,154,12,19,71,68,17,27,90,71,37,37,67,62,13,19,52,60,34,45,80,63,18,20,10,16,80,51,18,22,2,1402.02,Suffolk County,Massachusetts
1500000US250251402023,667,201,8,13,0,12,67,65,57,37,106,78,74,63,69,42,19,24,6,11,25,29,17,26,42,61,78,85,99,83,3,1402.02,Suffolk County,Massachusetts
1500000US250251402024,623,224,0,12,0,12,98,83,138,94,118,66,66,59,55,43,15,24,34,29,29,27,10,16,12,19,38,48,10,17,4,1402.02,Suffolk County,Massachusetts
1500000US250251402025,471,160,0,12,27,32,13,20,58,52,158,118,0,12,128,65,6,9,19,23,0,12,15,23,0,12,35,53,12,19,5,1402.02,Suffolk County,Massachusetts
1500000US250251403001,829,446,60,93,56,86,69,96,109,114,29,29,122,144,13,22,0,12,28,34,216,192,19,31,0,12,48,50,60,94,1,1403,Suffolk County,Massachusetts
1500000US250251403002,244,194,0,12,55,75,8,15,72,97,34,39,0,12,9,16,0,12,14,22,33,36,0,12,0,12,19,31,0,12,2,1403,Suffolk County,Massachusetts
1500000US250251403003,632,230,10,18,0,12,48,76,33,41,129,94,40,53,33,58,46,41,17,28,63,67,36,38,14,21,125,109,38,38,3,1403,Suffolk County,Massachusetts
1500000US250251403004,403,168,0,12,7,13,0,12,70,107,12,19,49,48,120,78,29,37,0,12,45,71,0,12,0,12,71,68,0,12,4,1403,Suffolk County,Massachusetts
1500000US250251403005,406,229,12,19,51,82,0,12,51,65,0,12,108,88,17,30,75,72,32,37,0,12,0,12,0,12,47,56,13,24,5,1403,Suffolk County,Massachusetts
1500000US250251403006,421,234,0,12,10,19,21,35,0,12,47,56,53,42,14,22,91,92,26,32,17,28,31,39,0,12,90,118,21,40,6,1403,Suffolk County,Massachusetts
