Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250250001001,602,210,46,48,0,12,20,27,18,27,17,19,120,96,77,51,155,83,15,20,103,76,0,12,0,12,31,38,0,12,1,1,Suffolk County,Massachusetts
1500000US250250001002,736,273,0,12,25,31,19,21,47,63,10,15,62,62,70,46,135,86,48,51,33,37,93,68,22,26,150,121,22,29,2,1,Suffolk County,Massachusetts
1500000US250250001003,233,99,0,12,0,12,2,6,11,17,30,33,0,12,30,30,70,50,10,15,24,28,20,25,0,12,36,28,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,437,208,8,13,0,12,26,40,24,23,44,45,110,76,50,46,38,40,0,12,0,12,103,77,0,12,10,16,24,30,4,1,Suffolk County,Massachusetts
1500000US250250002011,598,158,22,23,0,12,26,30,48,42,93,61,134,71,70,57,56,45,8,15,67,47,6,10,0,12,0,12,68,49,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,251,114,0,12,13,15,0,12,27,31,21,20,36,33,0,12,25,37,15,33,49,40,18,21,0,12,20,23,27,32,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,864,180,13,21,12,19,0,12,18,20,112,70,141,67,103,47,220,81,36,32,55,48,25,18,13,20,76,38,40,46,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,417,104,0,12,0,12,0,12,25,33,55,38,35,33,85,44,99,49,25,22,20,19,24,38,0,12,29,26,20,35,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,692,251,29,45,0,12,0,12,41,39,38,51,60,39,97,75,196,98,29,36,59,43,57,55,13,22,20,23,53,40,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,652,182,0,12,0,12,10,17,19,20,0,12,85,70,95,54,159,101,41,36,128,61,13,15,0,12,13,21,89,55,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,398,133,0,12,0,12,6,14,38,31,19,28,68,65,86,47,84,51,0,12,58,51,0,12,0,12,31,37,8,12,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,156,76,0,12,0,12,10,17,13,21,11,17,10,15,0,12,37,27,8,14,12,19,0,12,0,12,46,51,9,13,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,268,87,9,13,0,12,33,40,21,24,7,11,26,24,19,22,32,29,59,82,51,35,0,12,0,12,0,12,11,14,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,467,222,0,12,0,12,10,17,39,49,30,27,59,38,0,12,125,83,42,34,47,37,33,36,9,14,33,53,40,49,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,347,127,0,12,0,12,0,12,30,23,31,35,37,36,43,33,117,82,47,61,8,12,0,12,0,12,0,12,34,40,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,299,88,0,12,12,18,10,15,11,13,40,33,10,16,35,34,59,53,35,32,22,24,11,17,0,12,32,37,22,23,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,613,201,25,26,0,12,59,44,65,64,42,35,56,38,92,61,104,66,47,48,70,39,0,12,16,18,37,27,0,12,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,967,213,28,32,0,12,44,70,46,36,103,53,93,72,221,102,149,73,70,50,81,46,27,31,0,12,54,33,51,49,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,997,298,30,34,0,12,9,14,99,98,130,97,117,79,162,117,156,88,120,77,35,34,10,15,0,12,43,30,86,61,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,511,192,27,23,11,18,0,12,0,12,0,12,51,83,89,65,95,56,118,89,75,77,21,30,16,27,8,13,0,12,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,650,193,12,20,0,12,0,12,88,73,47,58,64,42,107,78,178,81,32,35,50,52,0,12,0,12,12,20,60,54,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,636,186,10,16,0,12,28,34,20,32,12,19,92,113,69,66,183,107,53,39,40,40,0,12,39,28,80,66,10,17,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,583,151,0,12,0,12,7,13,26,22,43,32,59,40,43,30,68,32,102,70,31,23,46,28,7,11,97,64,54,53,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,356,135,0,12,17,18,15,24,10,16,37,33,89,70,20,24,78,39,7,11,13,46,6,20,4,7,17,20,43,61,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,564,170,0,12,0,12,4,7,31,46,45,36,87,59,138,73,115,63,78,72,39,42,6,13,0,12,21,21,0,12,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,509,119,0,12,0,12,13,16,30,39,40,24,89,65,85,44,76,44,38,42,77,49,0,12,0,12,29,22,32,28,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,297,90,0,12,9,13,23,21,6,12,0,12,49,40,26,23,64,45,31,33,45,37,0,12,0,12,30,39,14,17,2,5.02,Suffolk County,Massachusetts
